OrthoGroups	Sce_pIDs	Kma_pIDs	Yli_pIDs
OG0003322	P06787	W0TID8	Q6C3K3
OG0003324	Q01976	W0TG34	Q6C0B7
OG0003326	P14922	W0THQ9	Q6CFF2
OG0003328	P07702	W0TGV0	Q6C6T5
OG0003329	P40347	W0TG40	Q6C3R6
OG0003330	P23254	W0THR5	Q6C6T4
OG0003332	P02994	W0TGV8	O59949
OG0003334	P38088	W0THS3	Q6C5W5
OG0003336	P36531	W0TGW2	Q6C5W3
OG0003337	P32367	W0TIG5	Q6C5W2
OG0003339	P10174	W0THT4	B5FVH7
OG0003341	Q03496	W0THT9	Q6CE83
OG0003343	P32178	W0THU4	Q6C5J7
OG0003345	Q12178	W0TGY4	Q6C0Q9
OG0003351	P00899	W0TGZ5	Q6C5V8
OG0003353	P34223	W0TG81	Q6C5V3
OG0003354	P05694	W0TKF9	Q6C638
OG0003357	P25451	W0TH06	Q6C0R7
OG0003364	P09436	W0TH20	Q6CIA2
OG0003365	P33893	W0TIM9	Q6C6I6
OG0003366	P40066	W0THZ2	Q6C4W1
OG0003367	P38179	W0TH32	Q6C774
OG0003368	P40069	W0TIN4	Q6C657
OG0003369	P40070	W0THZ6	Q6CGF6
OG0003373	P42840	W0TGC9	Q6C7Y6
OG0003374	P07260	W0TI07	Q6C7Y7
OG0003375	P42839	W0TKK2	Q6C7Y9
OG0003376	P18544	W0TIQ0	Q6C846
OG0003379	Q12108	W0TKK9	Q6CB30
OG0003380	Q06344	W0TH53	Q6CBN0
OG0003382	P33297	W0TGE1	Q6C9Q7
OG0003386	P38821	W0TIR2	Q6CFM9
OG0003387	P38716	W0TGE6	Q6CB42
OG0003388	Q07878	W0TI22	Q6C2L6
OG0003389	P21801	W0TKL8	Q6C823
OG0003391	P32190	W0TI27	Q6C3E1
OG0003392	P32386	W0TIS3	Q6C5X7
OG0003393	Q03048	W0TI32	Q6C0Y0
OG0003397	P15274	W0TE06	Q6C690
OG0003399	Q08651	W0TIB3	Q6C4P8
OG0003400	P26637	W0TEU3	Q6C4Q2
OG0003404	P07267	W0TFQ2	Q6C080
OG0003405	P43556	W0TE18	Q6C6X5
OG0003407	Q08023	W0TEV5	Q6C9T1
OG0003409	P07283	W0TE22	Q6C985
OG0003412	P43558	W0TFR7	Q6C989
OG0003414	P25039	W0TID5	Q6C9Y6
OG0003418	P01123	W0TE41	Q6C9V1
OG0003419	P02557	W0TIE6	Q6C7H8
OG0003425	Q07418	W0TGJ1	F2Z6D3
OG0003427	Q07395	W0TFT8	Q6C196
OG0003428	Q06010	W0TEY8	Q6C0F8
OG0003430	Q07381	W0TE52	Q6CFA9
OG0003431	Q06708	W0TIG2	Q6CDN0
OG0003433	P25386	W0TFU8	Q6C359
OG0003434	Q12749	W0TIG7	Q6C360
OG0003435	P11325	W0TEZ8	Q6C363
OG0003438	P39678	W0TIH2	Q6CGF5
OG0003439	P41940	W0TF02	Q6CCU3
OG0003441	P00445	W0TF05	Q6C662
OG0003443	P23724	W0TF10	Q6CA23
OG0003445	P47150	W0TF15	Q6C9T7
OG0003447	P34216	W0TE80	Q6CAW1
OG0003453	P38431	W0TGN4	Q6C9Y1
OG0003460	P41807	W0TF40	Q6C6K9
OG0003461	P32288	W0TGP2	Q6C3E0
OG0003463	P47127	W0TIL3	Q6C749
OG0003464	P07263	W0TF43	Q6C624
OG0003466	P24583	W0TFZ4	Q6C292
OG0003467	P38164	W0TIL7	Q6C8L0
OG0003470	Q12028	W0TF52	Q6CDT5
OG0003471	Q12402	W0TGQ1	Q6CE07
OG0003472	P48016	W0TEC0	Q6C6P1
OG0003473	P07251	W0TG03	Q6C326
OG0003475	P32795	W0TF56	Q6CG28
OG0003478	P38172	W0TIN2	Q6C498
OG0003479	P38682	W0TF61	Q6CAR0
OG0003481	P38061	W0TEC9	Q6C406
OG0003482	P38174	W0TG09	Q6CA79
OG0003483	P40073	W0TGR0	Q6CAC5
OG0003485	P42841	W0TGR4	Q6CGP9
OG0003488	P32452	W0TF75	Q6CEA0
OG0003489	P32453	W0TGR8	Q6CEA1
OG0003490	P42842	W0TG20	Q6CAS7
OG0003491	P40045	W0TF78	W0TYP3
OG0003492	P32844	W0TGS2	Q6C9T6
OG0003496	P40517	W0TGS5	Q6C6B2
OG0003497	P40518	W0TEF5	Q6C6B4
OG0003498	Q01217	W0TG27	Q6CE87
OG0003500	P34909	W0TF86	Q6C372
OG0003502	P28240	W0TEG0	P41555
OG0003505	P39525	W0TEG5	Q6BZV1
OG0003509	P37254	W0TGU3	Q6CHS7
OG0003512	P25382	W0TFA0	Q6CHQ3
OG0003513	P25642	W0TGU8	Q6CHQ2
OG0003516	P35180	W0TFA3	Q6CHM8
OG0003517	Q06089	W0TGV3	Q6CFA2
OG0003520	P53250	W0TFA7	Q6C3H9
OG0003527	Q12464	W0TG63	Q6C3X6
OG0003530	P19097	W0TEK0	Q6CE16
OG0003535	Q08972	W0TG71	Q6CFS2
OG0003536	Q03219	W0TIV3	Q6CFT3
OG0003537	Q08971	W0TFC3	Q6CFT2
OG0003539	P53378	W0TIV7	Q6CFF9
OG0003542	Q12250	W0TEL2	Q6C9M3
OG0003545	P25441	W0TFC9	Q6C321
OG0003550	P39517	W0TGZ2	Q6C0X2
OG0003551	Q05788	W0TEM5	Q6BZX6
OG0003552	Q04491	W0TG96	Q6BZX5
OG0003556	P38713	W0TFE6	Q6C4Y2
OG0003560	P34167	W0TGB1	Q6C403
OG0003562	P32460	W0TGB6	Q6C4Y8
OG0003563	P18408	W0TIY9	Q6CFD3
OG0003567	Q06188	W0TFG5	Q6CD93
OG0003568	P52917	W0TEQ1	Q6CEE2
OG0003570	P53043	W0TH34	Q6CFH3
OG0003574	Q06508	W0TFH5	Q6CBZ8
OG0003575	Q06506	W0TGD7	Q6CGB7
OG0003577	P48837	W0TH44	Q6CGB3
OG0003578	Q06505	W0TJ10	Q6CGB2
OG0003580	P45978	W0TGE8	Q6C957
OG0003582	P23615	W0TES5	W0TYP5
OG0003586	P33759	W0TH59	Q6CAL1
OG0003587	P25042	W0TET1	Q6CFZ3
OG0003588	P40013	W0TJ21	Q6CGL9
OG0003590	P40012	W0TH65	Q6C826
OG0003591	P22141	W0TGG5	Q6CF05
OG0003595	P40303	W0TFL4	Q6CEN6
OG0003597	Q00772	W0TGH5	Q6CFX3
OG0003600	P38254	W0TGI1	Q6CC87
OG0003601	P15873	W0TEV9	Q6C9K1
OG0003605	P08425	W0TEW5	Q6CBI1
OG0003606	P38064	W0TGJ2	Q6CBJ9
OG0003607	P38251	W0TJ50	Q6CB59
OG0003608	P38065	W0TFN8	Q6CBH9
OG0003609	P38197	W0TH96	Q6CB49
OG0003610	P38250	W0TEX1	Q6CB66
OG0003611	P38121	W0TJ55	Q6C5E1
OG0003613	P38066	W0TEX6	Q6C7A9
OG0003620	P35177	W0TJ78	Q6C3U2
OG0003622	P38790	W0TF01	Q6CGI2
OG0003624	P38791	W0TJ83	Q6CG56
OG0003625	Q06668	W0TFS4	Q6CA65
OG0003626	P38792	W0THC5	Q6CA66
OG0003630	P11491	W0TFS9	Q6C1F6
OG0003631	P39107	W0THD2	Q6CEV8
OG0003634	P40459	W0TGN7	Q6CFK9
OG0003637	P18899	W0TJA6	Q6CBL5
OG0003638	Q12405	W0TFU6	Q6C6V6
OG0003643	P38629	W0TFV1	Q6CI37
OG0003646	P32074	W0TGP9	Q6C314
OG0003651	Q12482	W0TFW2	Q6C7R0
OG0003653	Q12432	W0TF46	Q6C9M9
OG0003655	P39940	W0TFW8	Q6C5H0
OG0003656	P40078	W0TF51	Q6C6D1
OG0003659	P47077	W0TFX5	Q6C9H2
OG0003660	P35719	W0THG9	Q6C9H1
OG0003663	P33299	W0TFY0	Q6C9G4
OG0003664	Q02207	W0TJE4	F2Z6I5
OG0003666	Q12031	W0TF68	Q6BZP5
OG0003668	Q12480	W0TGT3	Q6C612
OG0003670	P43590	W0THK2	Q6C610
OG0003672	P43588	W0TGV1	Q6C0A6
OG0003674	P34077	W0TG15	Q6CB43
OG0003675	Q12428	W0THL5	Q6C354
OG0003676	P43635	W0TFA8	Q6C7I2
OG0003678	Q12341	W0TJI8	Q6CC99
OG0003682	Q12059	W0TGX4	Q6C046
