genes,logFC,logCPM,PValue,FDR,,,,,,
YALI1_A20441g,-0.130516148,5.804973862,0.012358201,0.027162296,,,,,,
YALI1_B29037g,-0.203162193,6.995155594,0.012379681,0.027201412,,,,,,
YALI1_B18727g,-0.175167089,5.399405711,0.012438012,0.02731587,,,,,,
YALI1_A13454g,-0.145727631,8.610661343,0.01243917,0.02731587,,,,,,
YALI1_E40970g,0.147227062,5.480809987,0.012452147,0.027336238,,,,,,
YALI1_B04781g,0.279742255,3.52031046,0.012538983,0.02751869,,,,,,
YALI1_E23521g,0.780426386,0.16921382,0.012548564,0.027531534,,,,,,
YALI1_E31075g,0.114005408,6.492129012,0.012556113,0.027539916,,,,,,
YALI1_B09518g,0.796473933,0.548624957,0.01260462,0.027638099,,,,,,
YALI1_E37956g,0.487480904,1.241302212,0.012678704,0.02779229,,,,,,
YALI1_C18391g,0.268348921,4.456647919,0.0126825,0.027792363,,,,,,
YALI1_E22159g,0.201105036,5.08568593,0.012724832,0.027874523,,,,,,
YALI1_E00337g,0.160984624,5.474155038,0.012727541,0.027874523,,,,,,
YALI1_B05185g,0.117594441,7.713684844,0.012925747,0.02830022,,,,,,
YALI1_E31131g,-0.164310115,6.417739679,0.012957431,0.028361182,,,,,,
YALI1_F38296g,-0.163213291,6.371633323,0.012974077,0.028389203,,,,,,
YALI1_F26574g,-0.183393725,5.270192165,0.01298014,0.028394056,,,,,,
YALI1_D01739g,-0.132760614,6.602176849,0.012989778,0.028406726,,,,,,
YALI1_C15489g,0.136128834,5.30164322,0.013007524,0.02843012,,,,,,
YALI1_E27826g,-0.554258054,1.862053753,0.013008175,0.02843012,,,,,,
YALI1_E31592g,0.160990246,4.803751946,0.013068624,0.028553784,,,,,,
YALI1_C21755g,-0.166741135,7.300656561,0.013107695,0.02863068,,,,,,
YALI1_F32685g,0.354962505,2.469058423,0.013124229,0.028658317,,,,,,
YALI1_D22124g,-0.122935326,11.35653403,0.013148842,0.028701994,,,,,,
YALI1_C13856g,-0.16862566,6.491372118,0.013152004,0.028701994,,,,,,
YALI1_B19668g,0.147748908,7.537957923,0.013170683,0.028734267,,,,,,
YALI1_C30058g,0.429723345,2.142015211,0.01317695,0.028739449,,,,,,
YALI1_F39457g,-0.175953424,6.842999047,0.013200278,0.028778029,,,,,,
YALI1_F19015g,0.627715043,0.124420505,0.013202432,0.028778029,,,,,,
YALI1_F11930g,-0.141754688,9.875211212,0.013218734,0.028805062,,,,,,
YALI1_C11694g,0.300786695,3.238267966,0.013253799,0.0288719,,,,,,
YALI1_D26730g,0.130213696,7.227288069,0.013257363,0.0288719,,,,,,
YALI1_E11587g,-0.161012724,7.651347126,0.013261136,0.0288719,,,,,,
YALI1_F07150g,-0.271877856,3.000410966,0.013280127,0.028904728,,,,,,
YALI1_C29104g,0.18404382,6.712966681,0.013368704,0.029088863,,,,,,
YALI1_E19014g,0.110872989,8.196657027,0.013372605,0.029088863,,,,,,
YALI1_A14199g,0.120835367,5.79344531,0.013398196,0.029135948,,,,,,
YALI1_E39193g,0.166342637,5.008130439,0.013417965,0.029163927,,,,,,
YALI1_D16959g,-0.348518027,2.530187385,0.013418961,0.029163927,,,,,,
YALI1_E18854g,-0.184056399,7.314625848,0.013458006,0.029234065,,,,,,
YALI1_D24836g,0.222015262,9.305924627,0.01345915,0.029234065,,,,,,
YALI1_A15172g,-0.260602264,3.395678992,0.013492609,0.029298124,,,,,,
YALI1_E35734g,-0.117689102,6.850424121,0.013498015,0.029301247,,,,,,
YALI1_D23377g,0.231883682,3.727437591,0.013509781,0.029318171,,,,,,
YALI1_A17983g,-1.094330754,1.73312493,0.013551067,0.029399127,,,,,,
YALI1_A06530g,0.705164409,10.27146505,0.013566295,0.029419633,,,,,,
YALI1_F21567g,-0.147049848,4.799548216,0.013568486,0.029419633,,,,,,
YALI1_B17105g,0.135432781,6.257267527,0.0135779,0.029431403,,,,,,
YALI1_C23050g,0.126593762,7.765463171,0.013609553,0.029491358,,,,,,
YALI1_E25999g,-0.125907133,6.620512655,0.013631708,0.029530702,,,,,,
YALI1_C27922g,-0.400652365,3.526134133,0.013660569,0.029584547,,,,,,
YALI1_A08065g,0.640507844,1.108102035,0.013703966,0.02966983,,,,,,
YALI1_E37063g,-0.121134597,6.752510772,0.013710654,0.029675609,,,,,,
YALI1_E12103g,-0.168358695,7.105933223,0.013730564,0.029709996,,,,,,
YALI1_C18878g,0.349795507,2.500011681,0.013741143,0.029724177,,,,,,
YALI1_E32622g,-0.164931174,5.562290542,0.013757836,0.029751571,,,,,,
YALI1_E30743g,-0.159320189,4.933708274,0.013789683,0.029811713,,,,,,
YALI1_E30496g,0.152321229,4.683906482,0.01382742,0.029882273,,,,,,
YALI1_B22905g,0.134070031,7.415124567,0.013830414,0.029882273,,,,,,
YALI1_A19829g,0.139176844,6.674455165,0.01393972,0.030096579,,,,,,
YALI1_C10860g,0.114700577,7.797314957,0.013942544,0.030096579,,,,,,
YALI1_C19912g,-0.199817281,4.162500688,0.013943748,0.030096579,,,,,,
YALI1_F04594g,-0.153428258,5.566316859,0.013945903,0.030096579,,,,,,
YALI1_B23609g,-0.194693352,4.95502479,0.013959369,0.030116838,,,,,,
YALI1_D26051g,0.553991519,10.33592517,0.014011859,0.030221255,,,,,,
YALI1_F08590g,-0.286096015,3.681329754,0.014030154,0.03025188,,,,,,
YALI1_F28537g,-0.111150144,6.238475837,0.014045444,0.030276008,,,,,,
YALI1_C08017g,-0.18117129,8.860464849,0.01406355,0.030306191,,,,,,
YALI1_C07670g,-0.131363027,5.911885785,0.014143935,0.030470524,,,,,,
YALI1_D21586g,-0.616493145,0.616531624,0.014182902,0.030545562,,,,,,
YALI1_F10867g,0.427481067,2.56708301,0.014250823,0.030682894,,,,,,
YALI1_E04033g,-0.184436976,7.877886059,0.01430322,0.030786733,,,,,,
YALI1_D00449g,0.127529554,8.729389349,0.014389914,0.03095868,,,,,,
YALI1_E23229g,-0.207768405,4.475961958,0.014394469,0.03095868,,,,,,
YALI1_F32688g,0.1311615,5.482545733,0.014395681,0.03095868,,,,,,
YALI1_E18927g,-0.175279591,9.857811896,0.014402365,0.030964038,,,,,,
YALI1_F21192g,-0.13622108,5.524841033,0.014420668,0.030994364,,,,,,
YALI1_C23826g,0.117130257,5.607549771,0.014443721,0.03103488,,,,,,
YALI1_F27871g,0.116427071,8.65317195,0.01446626,0.031074268,,,,,,
YALI1_D33901g,0.259515352,3.808978079,0.014540112,0.031223824,,,,,,
YALI1_F19126g,-0.131600255,6.927231533,0.014556647,0.031250243,,,,,,
YALI1_C32914g,-0.209007938,4.230664835,0.014568792,0.031267227,,,,,,
YALI1_A03402g,-0.119308909,6.743963305,0.014591374,0.031306594,,,,,,
YALI1_E35440g,-0.175985351,4.913072843,0.014616206,0.031350764,,,,,,
YALI1_B07915g,-0.192642519,7.505592617,0.014627049,0.031364913,,,,,,
YALI1_B13614g,-0.419166282,1.340009455,0.014746314,0.031602951,,,,,,
YALI1_F20637g,-0.116634785,8.300446152,0.014746617,0.031602951,,,,,,
YALI1_D22636g,0.190809732,7.331315166,0.014774317,0.031653127,,,,,,
YALI1_A01618g,0.124508357,5.622387805,0.014792727,0.031683379,,,,,,
YALI1_A18414g,-0.19150802,6.911326763,0.014811078,0.031713486,,,,,,
YALI1_F10270g,-0.325594756,2.545933267,0.014832775,0.031750738,,,,,,
YALI1_C14774g,-0.11437068,7.146558251,0.014847872,0.031773845,,,,,,
YALI1_D32316g,0.112406921,6.84577415,0.01485545,0.031780851,,,,,,
YALI1_F38680g,-0.228968136,4.329818602,0.01486704,0.031796436,,,,,,
YALI1_D03380g,-0.13397933,5.528683096,0.014876699,0.03180491,,,,,,
YALI1_C32156g,0.131518706,5.608909784,0.014879616,0.03180491,,,,,,
YALI1_F12946g,0.15407377,4.949802231,0.014948375,0.031942635,,,,,,
YALI1_D21167g,0.116791102,8.273524119,0.01499251,0.032027679,,,,,,
YALI1_B26322g,-0.424917282,0.835446858,0.015073514,0.032191412,,,,,,
YALI1_E32315g,0.393455881,6.093955916,0.015143938,0.03233246,,,,,,
YALI1_B11519g,-0.121926511,5.40747297,0.01515441,0.032345469,,,,,,
YALI1_E11770g,-0.35309283,1.253003368,0.01520612,0.032446459,,,,,,
YALI1_E20453g,0.144532378,7.256001122,0.01532806,0.032697204,,,,,,
YALI1_E28150g,0.186798399,4.128871309,0.015377853,0.032793949,,,,,,
YALI1_F29987g,0.131030917,6.320772777,0.015399439,0.032830502,,,,,,
YALI1_D33428g,-0.148545695,5.164104174,0.015409275,0.03284199,,,,,,
YALI1_E00340g,-0.345276453,3.271894786,0.015535942,0.033102405,,,,,,
YALI1_D29768g,0.119985554,7.595060829,0.015568516,0.033162241,,,,,,
YALI1_C18787g,0.322879162,1.767811173,0.015604653,0.033229631,,,,,,
YALI1_C25288g,-0.118065453,7.028201779,0.015625138,0.033263663,,,,,,
YALI1_F19047g,-0.18218266,5.970070019,0.015634612,0.033270904,,,,,,
YALI1_F22883g,-0.195407047,4.388833091,0.015641666,0.033270904,,,,,,
YALI1_C31576g,-0.144406391,5.781798289,0.015642056,0.033270904,,,,,,
YALI1_E27469g,0.456800971,0.938194693,0.015657374,0.033293897,,,,,,
YALI1_E09769g,0.295912777,3.719749279,0.015758784,0.03349989,,,,,,
YALI1_E12847g,-0.295998657,4.86502105,0.015782196,0.033540004,,,,,,
YALI1_B10780g,-0.489125546,0.772285164,0.015836703,0.033646161,,,,,,
YALI1_C10492g,-0.10790304,6.920514638,0.015952112,0.033881606,,,,,,
YALI1_D32070g,0.126822278,7.15898843,0.015963835,0.033896758,,,,,,
YALI1_D30420g,-0.202362407,4.033278318,0.015977622,0.033916281,,,,,,
YALI1_B27320g,-0.118607381,9.727278672,0.015997657,0.033949051,,,,,,
YALI1_F25182g,-0.13705704,7.812139246,0.016006766,0.033958308,,,,,,
YALI1_B14150g,-0.134942866,7.237259189,0.016014417,0.033958308,,,,,,
YALI1_E18622g,0.47384053,4.85091389,0.016015814,0.033958308,,,,,,
YALI1_F04259g,0.133474964,6.711834776,0.016042337,0.034001418,,,,,,
YALI1_F19619g,0.377729314,1.119066354,0.016045354,0.034001418,,,,,,
YALI1_E34832g,-0.195411997,5.237445974,0.01609058,0.034087473,,,,,,
YALI1_C05242r,0.622900373,-0.342147785,0.016101704,0.03409583,,,,,,
YALI1_B23447g,-0.293045555,3.62356493,0.016103758,0.03409583,,,,,,
YALI1_A18817g,0.238751549,3.772442058,0.016122679,0.034126107,,,,,,
YALI1_F38998g,-0.155375249,4.592112498,0.016221319,0.034325055,,,,,,
YALI1_D10858g,-0.109183552,6.940357759,0.016282976,0.034445655,,,,,,
YALI1_D09308g,-0.341815427,6.956263133,0.016289112,0.034448765,,,,,,
YALI1_D04566g,0.166311022,5.343721222,0.016304197,0.034470797,,,,,,
YALI1_E11565g,0.310773495,2.948304128,0.016342093,0.034541029,,,,,,
YALI1_B16504g,0.122048633,6.541841473,0.016367131,0.034581627,,,,,,
YALI1_F03205g,0.464688945,1.361094386,0.016370666,0.034581627,,,,,,
YALI1_C13241g,-0.111339215,6.285085027,0.016378006,0.034587239,,,,,,
YALI1_D02063g,-0.124859224,6.898762095,0.016419867,0.034665728,,,,,,
YALI1_E37455g,-0.117591779,7.974503283,0.016607347,0.035050701,,,,,,
YALI1_D02137g,-0.132458492,7.514102991,0.016611707,0.035050701,,,,,,
YALI1_C11744g,-0.618909054,2.734000144,0.01666644,0.035156145,,,,,,
YALI1_F39291g,-0.142324324,5.358409679,0.016720483,0.035260071,,,,,,
YALI1_C28434g,0.117734824,5.849444405,0.016725467,0.035260513,,,,,,
YALI1_B12313g,0.283259717,3.855504378,0.016848246,0.035509216,,,,,,
YALI1_D30161g,0.12969269,6.253960201,0.016866552,0.035524875,,,,,,
YALI1_F33008g,0.152295154,5.900267456,0.016868056,0.035524875,,,,,,
YALI1_D12147g,0.130744831,6.519346121,0.016870107,0.035524875,,,,,,
YALI1_E19070g,0.724923161,1.249697027,0.016893934,0.03556491,,,,,,
YALI1_A21550g,-0.119692219,6.107034167,0.016908239,0.035584881,,,,,,
YALI1_F34870g,-0.155419738,8.07459464,0.017008071,0.035784789,,,,,,
YALI1_D04186g,0.108634333,6.557176479,0.017024688,0.035809546,,,,,,
YALI1_A16068r,-0.495734668,0.820206265,0.017045727,0.035843592,,,,,,
YALI1_F24247g,-0.25667365,6.789443519,0.017077159,0.035899465,,,,,,
YALI1_B30181g,-0.126442381,5.909517144,0.017167514,0.036063001,,,,,,
YALI1_F31875g,-0.206723386,4.370522083,0.01716833,0.036063001,,,,,,
YALI1_E29665g,-0.129005416,7.587316485,0.017169602,0.036063001,,,,,,
YALI1_D32754g,-0.157620583,10.82511557,0.017316307,0.036360798,,,,,,
YALI1_F33790g,0.099294143,5.884760018,0.017339282,0.036398692,,,,,,
YALI1_E18514g,-0.136824729,6.121922893,0.017347812,0.03640625,,,,,,
YALI1_A14882g,0.508945358,0.602962995,0.017470787,0.03665391,,,,,,
YALI1_E18990g,-0.197759441,7.42442217,0.017504445,0.036714095,,,,,,
YALI1_B02091g,-0.104744679,8.374605377,0.017600447,0.03690497,,,,,,
YALI1_D00537g,-0.118768112,6.546017051,0.017625168,0.036946315,,,,,,
YALI1_D07335g,-0.150086219,5.941248946,0.01765082,0.036989588,,,,,,
YALI1_E03039g,-0.114805654,7.032016165,0.017683155,0.037046838,,,,,,
YALI1_E19795g,-0.13040391,6.633906074,0.017689317,0.037049237,,,,,,
YALI1_F11889g,-0.253442242,2.858265705,0.017762803,0.037192601,,,,,,
YALI1_D09055g,0.132720622,7.518125252,0.017846674,0.03735762,,,,,,
YALI1_D26993g,0.110694278,7.461837616,0.017859406,0.03737368,,,,,,
YALI1_D32812g,-0.192083244,5.217861388,0.017864927,0.037374642,,,,,,
YALI1_B15742g,0.131784565,5.900338904,0.017910515,0.037459403,,,,,,
YALI1_A17824g,-0.209295316,5.219880211,0.01791951,0.037467604,,,,,,
YALI1_D30324g,-0.115959599,8.093061952,0.017932342,0.037483822,,,,,,
YALI1_E23038g,0.169617103,5.924308408,0.017951764,0.037513802,,,,,,
YALI1_B14418g,-0.144007279,7.533940253,0.017996559,0.037596771,,,,,,
YALI1_B02021g,0.225648544,4.413383798,0.018003792,0.037601245,,,,,,
YALI1_F29192g,0.127977605,5.731717151,0.018082904,0.037739588,,,,,,
YALI1_C06681g,0.155998334,6.059727821,0.018083122,0.037739588,,,,,,
YALI1_F21426g,-0.133509898,8.409476258,0.018085362,0.037739588,,,,,,
YALI1_F09965g,-0.107636534,7.519990959,0.018107893,0.037775929,,,,,,
YALI1_C07664g,0.449032707,0.995003795,0.018150151,0.037853393,,,,,,
YALI1_C01847g,0.096477766,6.481265545,0.018159824,0.037862874,,,,,,
YALI1_D01796g,0.149628511,6.273570107,0.018196283,0.037928182,,,,,,
YALI1_E08021g,-0.138766566,5.083439066,0.018203778,0.037933098,,,,,,
YALI1_F15367g,0.317493451,3.304271083,0.018268061,0.038056314,,,,,,
YALI1_B18971g,0.398915446,1.695339441,0.018286278,0.03808352,,,,,,
YALI1_E14925g,0.163402399,6.26496254,0.018317268,0.038137306,,,,,,
YALI1_A10827g,-0.103903361,9.937497824,0.01853721,0.038583328,,,,,,
YALI1_F18122g,0.10560966,6.83112618,0.01854194,0.038583328,,,,,,
YALI1_E27792g,0.287437835,2.70681533,0.018565763,0.038622017,,,,,,
YALI1_C19369g,0.307220392,2.421209281,0.018620778,0.038725556,,,,,,
YALI1_E21026g,0.223946314,4.070844071,0.018689209,0.038856927,,,,,,
YALI1_A09766g,-0.120293646,8.905108671,0.018720269,0.038905496,,,,,,
YALI1_D17564g,0.113700644,6.864585784,0.018723105,0.038905496,,,,,,
YALI1_C12900g,-0.123862187,9.294684559,0.018924203,0.039312303,,,,,,
YALI1_E08071g,0.11146799,6.188818484,0.018966442,0.039388969,,,,,,
YALI1_D06251g,-0.121341922,6.185952672,0.018986816,0.039420197,,,,,,
YALI1_D25968g,0.118160173,5.944876222,0.019005281,0.039447442,,,,,,
YALI1_F13709r,-0.217580486,4.398777742,0.019108782,0.039651126,,,,,,
YALI1_E29894g,0.241595359,3.594705964,0.019134812,0.039693986,,,,,,
YALI1_B09894g,-0.128674666,7.592226746,0.019145565,0.039705139,,,,,,
YALI1_C11836g,-0.531354658,-0.135322425,0.019267645,0.039947096,,,,,,
YALI1_E04790g,-0.118075136,6.964398405,0.019313852,0.040031658,,,,,,
YALI1_A00801g,0.135864512,5.312356778,0.01949211,0.040389795,,,,,,
YALI1_F04157g,-0.11756154,6.92918776,0.019713393,0.04083686,,,,,,
YALI1_C26501g,0.152277849,8.607312806,0.019719725,0.040838521,,,,,,
YALI1_C11707g,0.226378341,3.591599702,0.019783232,0.040958555,,,,,,
YALI1_E04706g,-0.171753225,4.439571665,0.019816404,0.041015735,,,,,,
YALI1_F19153g,0.225460208,4.537697891,0.019839571,0.04105218,,,,,,
YALI1_B16922g,0.413098881,5.00614208,0.019845369,0.041052676,,,,,,
YALI1_E10500g,-0.125259648,5.769041749,0.019861925,0.041075418,,,,,,
YALI1_E17574g,-0.113409939,8.135098221,0.019907479,0.04115257,,,,,,
YALI1_D09277g,-0.240590955,9.075876343,0.019910377,0.04115257,,,,,,
YALI1_D23995g,0.117453564,7.450551869,0.019988532,0.041302549,,,,,,
YALI1_C02588g,0.125136289,5.496147769,0.020010835,0.041336363,,,,,,
YALI1_E15432g,-0.136869583,6.506409092,0.020016091,0.041336363,,,,,,
YALI1_F32638g,0.244990613,2.998002801,0.02012452,0.041548666,,,,,,
YALI1_D16997g,0.377012575,1.788175562,0.020135207,0.041559113,,,,,,
YALI1_D04467g,0.145953883,5.392636422,0.020151887,0.041581918,,,,,,
YALI1_E36308g,-0.138113757,7.911109035,0.020173003,0.041613861,,,,,,
YALI1_B20145g,-0.474635062,1.2960779,0.02022215,0.041703596,,,,,,
YALI1_E12668g,0.12165148,7.602410998,0.020300655,0.041851658,,,,,,
YALI1_B21798g,-0.144944689,6.472757285,0.020310844,0.041851658,,,,,,
YALI1_D30850g,0.260029121,3.545292532,0.020310947,0.041851658,,,,,,
YALI1_E40744g,-0.153603477,4.956082719,0.020372674,0.041967141,,,,,,
YALI1_E04744g,-0.133175088,5.444862741,0.020400573,0.042012891,,,,,,
YALI1_D05956g,-0.160505743,6.9651469,0.020420518,0.042041237,,,,,,
YALI1_A03883g,0.137757492,5.225244753,0.020426314,0.042041237,,,,,,
YALI1_C17988g,-0.128615938,6.608239953,0.020431415,0.042041237,,,,,,
YALI1_E13223g,-0.210488364,7.327218242,0.020541238,0.042255444,,,,,,
YALI1_C14433g,0.278332702,2.270938623,0.020572941,0.042308875,,,,,,
YALI1_F28031g,-0.144284791,4.639774195,0.020581634,0.042314969,,,,,,
YALI1_D28062g,0.41872571,0.674861946,0.02064226,0.042427802,,,,,,
YALI1_A04848g,0.124854977,7.016297853,0.020683444,0.042500622,,,,,,
YALI1_D33191g,-0.440851285,1.297062177,0.020733325,0.042591268,,,,,,
YALI1_F33572g,0.21586087,4.602793021,0.020767724,0.042650068,,,,,,
YALI1_A13749g,-0.420860427,1.548634561,0.020869355,0.042846869,,,,,,
YALI1_C19866g,-0.197232334,4.288451011,0.020877273,0.042851213,,,,,,
YALI1_C16515g,-0.117173391,7.550295653,0.02088459,0.04285432,,,,,,
YALI1_E28405g,0.376052776,1.426251088,0.021058947,0.043200091,,,,,,
YALI1_D20695g,0.129528369,6.120520605,0.021077628,0.043226404,,,,,,
YALI1_C02441g,0.140729978,5.608655901,0.02111081,0.043282435,,,,,,
YALI1_B16318g,0.104530562,6.459575936,0.021129712,0.043309165,,,,,,
YALI1_D11015g,-0.178353326,7.055922609,0.021146889,0.043332347,,,,,,
YALI1_D17899g,-0.120597613,7.697629303,0.021155277,0.043337509,,,,,,
YALI1_A16988g,-0.153865355,5.100615857,0.021172353,0.043360462,,,,,,
YALI1_C11552g,0.197311068,4.717538633,0.021246536,0.043500324,,,,,,
YALI1_C17514g,-0.332799382,3.305898215,0.021266244,0.043526086,,,,,,
YALI1_E35168g,0.604061281,1.469448468,0.021270906,0.043526086,,,,,,
YALI1_E38766g,0.129208744,6.185195838,0.021412038,0.043802742,,,,,,
YALI1_E02959g,-0.144958175,5.062873781,0.021471338,0.043911888,,,,,,
YALI1_E27059g,0.152610589,5.478703612,0.021512451,0.043983791,,,,,,
YALI1_F34202g,-0.109549229,6.676020788,0.021556858,0.044062385,,,,,,
YALI1_C28593g,0.127937905,6.492566048,0.021666403,0.044274041,,,,,,
YALI1_B17660g,-0.175366841,6.438346842,0.021752515,0.04443771,,,,,,
YALI1_F11711g,0.560184168,0.589965213,0.021854215,0.044633125,,,,,,
YALI1_B27777g,0.122782744,7.327272718,0.021913998,0.044742847,,,,,,
YALI1_F27968g,0.131284737,5.417530194,0.021921339,0.044745464,,,,,,
YALI1_B27645g,0.13270156,7.628385734,0.021942957,0.044777214,,,,,,
YALI1_C20255g,0.142068738,5.301797861,0.022006436,0.044894346,,,,,,
YALI1_B21618g,0.170098361,4.858375621,0.022016067,0.044896561,,,,,,
YALI1_E13402g,0.491590868,1.061176517,0.022019681,0.044896561,,,,,,
YALI1_E30373g,-0.20309151,3.426085643,0.02205,0.044945971,,,,,,
YALI1_D33843g,-0.152735197,4.979221116,0.022067469,0.044969166,,,,,,
YALI1_B01357g,-0.560539991,0.619340191,0.022080323,0.044982947,,,,,,
YALI1_E40076g,0.132302363,6.368370469,0.022162406,0.045124333,,,,,,
YALI1_F38859g,0.138302575,5.439438254,0.022163037,0.045124333,,,,,,
YALI1_C00098g,0.249301024,3.486002202,0.022168054,0.045124333,,,,,,
YALI1_D35334g,-0.254926758,2.473937625,0.022222356,0.045222402,,,,,,
YALI1_B25223g,0.169276983,7.221330329,0.022230649,0.045226817,,,,,,
YALI1_E14028g,-0.2276087,3.841393418,0.022238844,0.045231029,,,,,,
YALI1_B04466g,0.163576239,4.576319164,0.022316848,0.045377181,,,,,,
YALI1_F21974g,0.110600317,5.664387026,0.022324529,0.045380304,,,,,,
YALI1_E01657g,-0.108966802,6.972462215,0.022348332,0.04541619,,,,,,
YALI1_E31982g,0.145667688,5.340688698,0.022453667,0.045617698,,,,,,
YALI1_D09712g,-0.188419467,9.090142765,0.022479951,0.045650523,,,,,,
YALI1_A15515g,0.203539771,3.716059931,0.022482187,0.045650523,,,,,,
YALI1_A21797g,-0.123045285,5.709836837,0.022506149,0.045679942,,,,,,
YALI1_C21497g,-0.200604327,5.415036861,0.022509047,0.045679942,,,,,,
YALI1_D12996g,0.108309571,5.474973413,0.022628965,0.045910689,,,,,,
YALI1_E15093g,0.150950488,6.042644656,0.022636231,0.045912818,,,,,,
YALI1_D27884g,-0.134853464,5.886221409,0.022658044,0.04594444,,,,,,
YALI1_E39171g,-0.124917701,8.709049387,0.022750492,0.046119238,,,,,,
YALI1_D04936g,-0.128769203,5.236311895,0.022790987,0.046188649,,,,,,
YALI1_E16164g,-0.143791172,6.514080431,0.022810681,0.046215879,,,,,,
YALI1_B18607g,-0.100852294,6.734326745,0.022855114,0.046280559,,,,,,
YALI1_D28242g,0.448495889,0.306198872,0.022855139,0.046280559,,,,,,
YALI1_B04391g,0.12551954,5.891996107,0.02289045,0.046339356,,,,,,
YALI1_F21690g,-0.11839024,7.573166753,0.022898332,0.04634261,,,,,,
YALI1_F17953g,0.630858794,0.311956894,0.022909374,0.046352253,,,,,,
YALI1_C15359g,0.10892997,7.145925841,0.022936984,0.046395406,,,,,,
YALI1_E02000g,-0.173958448,6.563069883,0.022981188,0.046472089,,,,,,
YALI1_D15458g,-0.186829036,8.833496382,0.023130837,0.046761902,,,,,,
YALI1_B05364g,-0.106820317,11.38412402,0.023217004,0.046923255,,,,,,
YALI1_C02391g,-0.135170084,8.164475642,0.023292126,0.047062202,,,,,,
YALI1_F01929g,0.130750661,5.774755465,0.023338014,0.047141289,,,,,,
YALI1_C18161g,0.228735529,3.364898582,0.023344034,0.047141289,,,,,,
YALI1_E39335g,-0.208817908,4.865373815,0.023407132,0.047255788,,,,,,
YALI1_E37921r,-0.239321364,5.897791322,0.023421423,0.047271716,,,,,,
YALI1_E10712g,-0.119756774,6.504260279,0.02343569,0.047287587,,,,,,
YALI1_E10358g,-0.112215663,6.03946158,0.023742945,0.047894468,,,,,,
YALI1_D03766g,-0.189095004,4.469352344,0.023768659,0.047933247,,,,,,
YALI1_F06353g,-0.279050183,3.405639408,0.023801171,0.047985707,,,,,,
YALI1_C09230g,-0.11105708,10.18915954,0.02389191,0.048155501,,,,,,
YALI1_C19348g,-0.140955833,6.747586386,0.023954881,0.048269249,,,,,,
YALI1_F15827g,0.105627248,6.783111771,0.0239648,0.048276064,,,,,,
YALI1_B29895g,-0.138443192,5.679019406,0.023971969,0.048277335,,,,,,
YALI1_E01877g,0.17630884,3.992456577,0.024024552,0.048370042,,,,,,
YALI1_E38692g,-0.229505819,3.776042428,0.024046241,0.048400516,,,,,,
YALI1_F20589g,0.103885741,6.165400888,0.024103854,0.048503259,,,,,,
YALI1_A22129g,0.134785254,5.12543838,0.024123618,0.048529807,,,,,,
YALI1_E27697g,-0.111440061,7.315738869,0.024133095,0.04853565,,,,,,
YALI1_F14946g,-0.446010608,0.790986213,0.024167495,0.048591602,,,,,,
YALI1_B29753g,-0.125089255,5.686048328,0.02422145,0.048686828,,,,,,
YALI1_E00613g,-0.290579096,4.414330405,0.024247837,0.048726605,,,,,,
YALI1_A02947g,0.189340085,3.872355525,0.024290112,0.048798279,,,,,,
YALI1_D08251g,0.113654468,6.863242081,0.024335566,0.048866038,,,,,,
YALI1_A14377g,0.220718427,3.80561727,0.024341583,0.048866038,,,,,,
YALI1_C07894g,0.256464077,3.72313066,0.024343691,0.048866038,,,,,,
YALI1_F29852g,0.096126637,6.070576666,0.024410852,0.04898754,,,,,,
YALI1_F28686t,0.568594695,1.31907751,0.024426779,0.049006185,,,,,,
YALI1_A04533g,-0.220525797,3.954337563,0.02455254,0.049245113,,,,,,
YALI1_E39243g,0.116938147,7.111008779,0.024590744,0.049303793,,,,,,
YALI1_C30749g,-0.519999177,5.67583166,0.024595149,0.049303793,,,,,,
YALI1_F12983g,-0.237835511,3.370942994,0.024602967,0.049306082,,,,,,
YALI1_D16086g,0.363509958,1.759942508,0.024668861,0.049424725,,,,,,
YALI1_C30474g,0.381068742,2.744142792,0.024706143,0.049485996,,,,,,
YALI1_E38243g,-0.110869631,6.798345682,0.024752255,0.049564913,,,,,,
YALI1_D32550g,0.098649374,8.703311973,0.024869463,0.049786116,,,,,,
YALI1_F29704g,-0.115063737,5.389692097,0.024919839,0.049873444,,,,,,
YALI1_F06466g,-0.175716528,5.461240702,0.024985059,0.049990425,,,,,,
YALI1_B07220g,-0.123998849,5.839724555,0.025006587,0.050019947,,,,,,
YALI1_E40671g,0.28392757,2.286171383,0.025028426,0.050050075,,,,,,
YALI1_C08938g,0.227353867,3.66490853,0.025080766,0.050141163,,,,,,
YALI1_A18036g,-0.118227867,6.091704525,0.025088531,0.050143113,,,,,,
YALI1_D35484g,-0.145651664,6.376695164,0.02510771,0.050167868,,,,,,
YALI1_E31649g,0.493205679,0.742374738,0.025205867,0.050350372,,,,,,
YALI1_B21714g,0.165039368,5.217508436,0.025254243,0.050433366,,,,,,
YALI1_F21612g,0.108637194,6.37880082,0.025294656,0.050500415,,,,,,
YALI1_F09996g,0.12039986,8.167134379,0.025428366,0.050753643,,,,,,
YALI1_E11351g,-0.232141633,3.854776288,0.025439559,0.050762265,,,,,,
YALI1_B19107g,0.11235348,6.127704847,0.025449596,0.050768576,,,,,,
YALI1_F33925g,-0.143723096,7.119306625,0.025555482,0.05096569,,,,,,
