W29_NCBI	CLIB122_NCBI	CLIB122_UNIPROT	high_temp_A	high_temp_B	high_temp_C	low_pH_A	low_pH_B	low_pH_C	low_pH_D	standard_A	standard_B	standard_C	standard_D
YALI1_C19005g	YALI0C13706g1_1	Q6CC10	6.775436898	6.608696239	6.580455334	6.898492344	7.017005115	7.02804815	6.879728078	6.929052321	6.940217889	6.851892662	6.913407482
YALI1_F27667g	YALI0F20768g1_1	Q6C0Y4	7.028063655	6.814482494	6.992201787	6.510557815	6.78389908	6.590753093	6.638090926	6.991909609	7.040971796	6.903398396	6.997227615
YALI1_F35061g	YALI0F27643g1_1	F2Z6H1	6.727464107	6.727297389	6.717105953	6.549967214	6.600302626	6.59060684	6.423684905	6.865066504	6.726235788	6.735766651	6.791144863
YALI1_A17085g	YALI0A17020g1_1	Q6CGR5	67	86	79	9	24	17	8	64	51	67	59
YALI1_A18062g	YALI0A17875g1_1	Q6CGN3	0	0	0	12	13	22	15	0	0	1	0
YALI1_C23738g	YALI0C16621g1_1	Q6CBQ1	0	0	0	22	13	18	0	0	0	0	0
YALI1_D06131g	YALI0D04851g1_1	Q6CA92	9	12	11	0	0	0	0	14	12	12	9
YALI1_F11481g	YALI0F08129g1_1	Q6C2G3	0	0	0	8	6	7	10	0	0	0	0
YALI1_B12489g	YALI0B09361g1_1	F2Z5Z7	8	6	13	0	0	0	0	8	5	11	10
YALI1_F35868g	YALI0F28193g1_1	Q6C031	12	6	8	0	0	0	0	10	7	8	9
YALI1_F02545g	YALI0F01650g1_1	Q6C392	8	9	9	0	0	0	0	9	7	10	8
YALI1_F01981g	YALI0F01210g1_1	Q6C3A8	9	8	12	0	0	1	0	6	8	7	9
YALI1_E27625g	YALI0E23452g1_1	Q6C4V2	4	4	7	6	12	15	0	0	0	0	0
YALI1_E17643g	YALI0E14707g1_1	Q6C5W0	9	6	10	0	0	0	0	5	4	7	5
YALI1_B16022g	YALI0B12188g1_1	Q6CEX3	5	4	5	15	20	22	18	6	5	6	6
YALI1_A17957g	YALI0A17831g1_1	Q6CGN5	4	4	4	11	23	23	14	5	7	3	8
YALI1_C24891g	YALI0C17567g1_1	Q6CBL5	15	18	27	11	41	44	19	38	45	42	47
YALI1_F26367g	YALI0F19822g1_1	Q6C124	0	0	0	4	2	4	5	0	0	0	0
YALI1_D03412g	YALI0D02739g1_1	Q6CAH4	5	0	1	11	17	11	8	14	12	7	12
YALI1_B14492g	YALI0B10802g1_1	Q6CF27	5	2	3	0	0	0	0	4	6	6	4
YALI1_D12050g	YALI0D09427g1_1	Q6C9P4	11	12	11	3	3	2	1	12	8	11	7
YALI1_F24864g	YALI0F18656g1_1	Q6C174	6	5	4	0	0	0	0	2	3	5	2
YALI1_A09064g	YALI0A09383g1_1	F2Z6D9	10	5	9	0	2	2	0	7	6	3	11
YALI1_E14988g	YALI0E12133g1_1	Q6C662	42	46	40	13	26	20	32	38	42	35	38
YALI1_E31865g	YALI0E26917g1_1	Q6C4G8	5	5	3	0	0	0	0	5	3	4	1
YALI1_C24262g	YALI0C16951g1_1	Q6CBN6	3	4	3	0	0	0	0	6	3	4	3
YALI1_C00841g	YALI0C00649g1_1	Q6CDG8	3	4	4	0	0	0	0	3	2	3	7
YALI1_C29762g	YALI0C21538g1_1	Q6CB66	27	28	29	17	18	29	11	34	30	41	41
YALI1_C30022g	YALI0C21758g1_1	Q6CB57	0	0	0	3	3	2	6	0	0	0	1
YALI1_F29356g	YALI0F22165g1_1	Q6C0S3	0	1	2	3	7	4	5	1	0	0	0
YALI1_E23068g	YALI0E19294g1_1	Q6C5C2	0	0	0	3	2	3	3	0	0	0	0
YALI1_E17484g	YALI0E14487g1_1	Q6C5W8	11	11	11	5	0	0	5	9	9	0	0
YALI1_F08683g	YALI0F05852g1_1	Q6C2R0	0	0	0	0	0	0	0	3	0	5	2
YALI1_F34351g	YALI0F27005g1_1	Q6C083	0	0	0	2	4	3	1	0	0	0	0
YALI1_D09308g	YALI0D07304g1_1	Q6C9Y7	0	0	0	3	1	4	2	0	0	0	0
YALI1_C12121g	YALI0C08855g1_1	Q6CCJ5	0	0	0	4	3	1	2	0	0	0	0
YALI1_C12941g	YALI0C09284g1_1	Q6CCH6	8	9	7	12	9	16	13	5	3	3	4
YALI1_E09924g	YALI0E08162g1_1	Q6C6M6	5	0	0	4	16	12	5	7	8	5	8
YALI1_A20063g	YALI0A19074g1_1	Q6CGI3	30	36	34	17	21	19	14	31	24	34	29
YALI1_E02626g	YALI0E02112g1_1	Q6C7B7	3	4	4	0	0	0	0	3	2	3	1
YALI1_F26793g	YALI0F20174g1_1	Q6C111	0	1	1	2	6	6	2	0	0	1	0
YALI1_D08884g	YALI0D06930g1_1	Q6CA04	19	24	22	12	6	7	11	14	15	19	14
YALI1_E30462g	YALI0E25696g1_1	Q6C4L9	3	5	15	4	3	0	2	1	1	1	3
YALI1_F23157g	YALI0F17402g1_1	Q6C1C8	0	0	0	3	6	3	4	1	0	1	4
YALI1_B14733g	YALI0B11044g1_1	Q6CF18	0	5	9	0	1	0	0	3	1	6	3
YALI1_B08461g	YALI0B06391g1_1	Q6CFJ6	0	0	0	2	4	4	4	2	1	0	0
YALI1_E38706g	YALI0E32703g1_1	Q99158	7	9	12	16	13	6	8	3	4	1	5
YALI1_A06416g	YALI0A06743g1_1	Q6CHP3	2	2	14	0	3	1	0	0	0	0	5
YALI1_B13828g	YALI0B10241g1_1	Q6CF51	0	1	0	8	4	3	4	1	2	2	0
YALI1_E00628g	YALI0E00308g1_1	Q6C7J4	0	0	0	3	2	2	2	0	0	0	0
YALI1_E13428g	YALI0E10549g1_1	Q6C6C7	9	5	9	2	5	4	2	11	10	12	11
YALI1_B17927g	YALI0B13464g1_1	Q6CES1	6	7	9	3	1	2	1	5	7	10	7
YALI1_F17082g	YALI0F12749g1_1	Q6C1X0	0	0	0	2	3	6	0	0	0	0	1
YALI1_F02592g	YALI0F01672g1_1	Q6C391	3	1	4	0	0	0	0	5	4	0	2
YALI1_B03644g	YALI0B02332g1_1	Q6CFZ0	37	27	34	15	33	22	19	36	36	39	41
YALI1_B02194g	YALI0B01298g1_1	Q6CG32	3	1	1	0	0	0	0	4	1	4	3
YALI1_F16656g	YALI0F12463g1_1	Q6C1Y2	23	34	37	23	20	13	17	14	16	18	23
YALI1_E02162g	YALI0E01584g1_1	Q6C7E0	3	11	11	1	1	4	1	4	5	7	2
YALI1_E24532g	YALI0E20691g1_1	Q6C564	1	3	4	0	0	0	0	0	0	1	0
YALI1_F10115g	YALI0F06826g1_1	B5RSL1	5	6	5	0	1	2	0	4	4	6	4
YALI1_F34397g	YALI0F27049g1_1	Q6C081	0	0	0	0	3	0	5	0	0	0	0
YALI1_E36619g	YALI0E31108g1_1	Q6C3Z2	0	0	0	0	4	1	3	0	0	0	0
YALI1_B19747g	YALI0B15015g1_1	Q6CEK2	4	2	0	0	0	0	0	0	0	0	0
YALI1_E38034g	YALI0E32065g1_1	Q6C3U4	0	0	0	1	4	2	3	1	0	0	0
YALI1_F34324g	YALI0F26983g1_1	Q6C084	2	1	1	4	8	8	2	2	1	1	1
YALI1_F38756g	YALI0F31053g1_1	Q6BZT4	7	4	3	1	2	0	0	5	6	4	4
YALI1_C30706g	YALI0C22341g1_1	Q6CB30	6	6	4	0	2	0	1	3	2	6	5
YALI1_B19323g	YALI0B14685g1_1	Q6CEL7	0	0	0	1	0	1	3	4	3	2	4
YALI1_B13536g	YALI0B10021g1_1	Q6CF61	1	4	3	0	0	0	0	0	0	1	1
YALI1_E36866g	YALI0E31317g1_1	Q6C3Y2	0	0	0	2	2	2	0	4	2	3	4
YALI1_D15848g	YALI0D12661g1_1	Q6C9A7	0	0	0	3	4	3	2	3	3	3	2
YALI1_A12437g	YALI0A12177g1_1	Q6CH56	10	12	15	4	2	8	3	6	9	10	7
YALI1_E38113g	YALI0E32153g1_1	Q6C3U0	2	4	2	8	10	12	9	7	7	4	7
YALI1_C24567g	YALI0C17237g1_1	Q6CBM6	0	0	1	0	3	5	1	0	0	0	0
YALI1_D05195g	YALI0D04136g1_1	Q6CAC1	0	1	1	2	3	5	3	0	1	0	0
YALI1_F33103g	YALI0F25729g1_1	Q6C0D2	12	13	10	0	7	6	4	11	11	11	6
YALI1_E22543g	YALI0E18788g1_1	F2Z693	1	3	3	0	0	0	0	0	0	0	1
YALI1_E04143g	YALI0E03476g1_1	Q6C762	0	0	0	0	2	3	2	0	0	0	0
YALI1_E32754g	YALI0E27764g1_1	Q6C4D1	2	1	2	6	0	1	3	0	0	0	0
YALI1_E08937g	YALI0E07535g1_1	Q6C6P6	0	0	0	3	2	2	3	0	1	1	0
YALI1_A01628g	YALI0A01155g1_1	Q6CI66	6	3	6	0	2	2	0	5	4	6	4
YALI1_E17699g	YALI0E14729g1_1	Q6C5V9	1	0	1	3	6	6	2	6	5	5	4
YALI1_B14804g	YALI0B11132g1_1	Q6CF15	6	5	4	1	1	2	0	3	0	0	2
YALI1_E25018g	YALI0E21021g1_1	Q6C549	14	5	9	3	16	19	6	22	21	14	17
YALI1_B11983g	YALI0B08921g1_1	Q6CFA1	21	29	37	30	20	16	23	14	14	13	24
YALI1_A18847g			9	9	8	3	3	3	5	7	11	9	10
YALI1_A00789g	YALI0A00616g1_1	Q6CI88	3	7	7	3	2	3	3	1	8	18	7
YALI1_D36215g			0	0	0	2	0	0	4	1	2	5	3
YALI1_D27500g	YALI0D21736g1_1		35	37	45	19	25	28	26	20	25	32	35
YALI1_D08564g	YALI0D06688g1_1	Q6CA15	0	0	0	0	0	0	0	2	1	0	3
YALI1_C05204g	YALI0C03916g1_1	Q6CD43	0	0	0	0	0	1	5	0	0	0	0
YALI1_C20078g	YALI0C14388g1_1	Q6CBY7	0	0	0	2	2	0	2	0	0	0	0
YALI1_B26596g	YALI0B20306g1_1	Q6CDY2	0	0	0	0	0	2	4	0	0	0	0
YALI1_E13541g	YALI0E10659g1_1	Q99156	0	0	0	1	2	1	2	0	0	0	0
YALI1_D16173g	YALI0D13046g1_1	Q6C989	3	2	2	2	0	1	0	0	0	0	0
YALI1_A06128g	YALI0A06479g1_1	Q6CHQ3	4	0	3	0	0	0	0	4	1	0	0
YALI1_B24335g	YALI0B18722g1_1	Q6CE42	5	4	4	3	0	0	1	2	4	8	5
YALI1_F30479g	YALI0F23243g1_1	Q6C0N2	6	4	6	1	1	1	1	2	1	4	2
YALI1_E12703g	YALI0E10109g1_1	Q6C6E8	2	1	3	0	2	2	3	0	0	0	0
YALI1_E33150g	YALI0E28153g1_1	Q6C4B9	18	20	19	21	28	30	25	30	32	35	32
YALI1_C24850g	YALI0C17545g1_1	Q6CBL6	17	27	29	43	44	34	35	23	32	32	39
YALI1_F11199g	YALI0F07821g1_1	Q6C2H6	3	1	5	0	1	0	0	2	3	3	2
YALI1_C26890g	YALI0C19580g1_1		2	1	3	6	9	8	7	5	4	3	8
YALI1_C12333g	YALI0C08987g1_1	Q6CCI8	25	25	58	26	31	17	24	18	19	25	31
YALI1_E14350g	YALI0E11517g1_1	Q6C689	3	5	4	0	1	0	1	2	2	1	2
YALI1_D07831g	YALI0D06149g1_1	Q6CA40	0	3	3	0	0	0	0	0	1	3	2
YALI1_C26017g	YALI0C18755g1_1	Q6CBH3	3	3	3	3	5	3	6	2	0	0	1
YALI1_E08211g	YALI0E06853g1_1	Q6C6R7	24	24	33	26	19	15	20	10	16	16	20
YALI1_F19899g	YALI0F14927g1_1	Q6C1M7	7	9	8	9	9	12	10	4	2	7	3
YALI1_D15333g	YALI0D12320g1_1	Q6C9C4	2	1	0	7	3	3	6	0	2	1	4
YALI1_E20635g	YALI0E17369g1_1	Q6C5K2	2	2	1	4	2	6	6	1	1	1	1
YALI1_E33400g	YALI0E28292g1_1	Q6C4B2	4	4	5	10	10	5	9	4	2	5	2
YALI1_E04968g	YALI0E04136g1_1	Q6C733	1	0	0	4	3	4	2	1	0	0	3
YALI1_D01796g	YALI0D01529g1_1	Q6CAM2	0	0	1	2	0	1	4	0	0	0	0
YALI1_F25924g	YALI0F19470g1_1	Q6C140	7	11	11	8	7	5	2	11	13	13	12
YALI1_B14441g	YALI0B10780g1_1	Q6CF28	2	3	8	12	16	8	9	4	10	3	16
YALI1_C20646g	YALI0C14828g1_1	Q6CBW7	2	0	1	3	5	6	7	2	3	6	4
YALI1_F14933g	YALI0F11275g1_1	Q6C232	3	2	2	0	1	0	0	4	3	2	2
YALI1_C10345g	YALI0C07777g1_1	Q6CCP1	2	8	4	1	0	1	2	2	0	4	0
YALI1_D01234g	YALI0D01111g1_1	Q6CAP1	2	1	3	0	0	0	0	1	2	1	1
YALI1_E17326g	YALI0E14256g1_1	Q6C5X6	0	0	1	3	5	0	3	0	0	2	0
YALI1_A16095g	YALI0A16170g1_1	Q6CGU5	3	4	3	0	2	0	1	4	3	5	4
YALI1_E20361g	YALI0E17105g1_1	Q6C5L2	0	1	0	3	2	5	2	1	1	0	1
YALI1_D12483g	YALI0D09845g1_1	Q6C9M9	0	0	0	0	2	3	2	0	2	1	6
YALI1_C16204g	YALI0C11561g1_1	Q6CC84	18	21	20	9	11	11	13	16	17	23	16
YALI1_E26229g	YALI0E22264g1_1	Q6C501	5	5	7	2	2	3	1	6	5	6	8
YALI1_D13201g	YALI0D10549g1_1	Q6C9K2	0	0	0	2	2	2	2	0	1	1	0
YALI1_A10105g	YALI0A10230g1_1	Q6CHC6	2	2	2	0	0	0	0	2	1	1	0
YALI1_E40671g	YALI0E34265g1_1	Q6C3J7	4	4	2	0	4	3	2	6	6	6	9
YALI1_B13150g	YALI0B09812g1_1	Q6CF68	0	0	0	2	3	1	1	0	0	1	0
YALI1_A07575g	YALI0A08041g1_1	Q6CHK1	4	3	2	0	0	0	1	0	2	2	3
YALI1_B15092g	YALI0B11374g1_1	Q6CF05	6	9	3	12	7	9	12	4	5	2	6
YALI1_F17988g	YALI0F13475g1_1	Q6C1T7	3	3	4	6	7	9	6	2	2	3	3
YALI1_A02461g	YALI0A02068g1_1	Q6CI37	3	5	2	0	0	3	1	4	3	6	5
YALI1_D05705g	YALI0D04554g1_1	Q6CAA3	23	24	25	18	14	15	14	16	14	14	14
YALI1_D12723g	YALI0D10043g1_1	Q6C9M0	2	0	0	0	0	0	0	2	2	1	2
YALI1_F09051g	YALI0F06072g1_1	Q6C2Q0	2	0	0	0	0	0	0	3	1	0	3
YALI1_C25093g	YALI0C17941g1_1	Q6CBK6	2	1	5	1	0	0	0	3	2	2	2
YALI1_B14194g	YALI0B10538g1_1	Q6CF37	1	3	3	1	0	0	2	3	4	6	3
YALI1_F26186g	YALI0F19734g1_1	Q6C128	4	3	3	0	1	0	1	2	2	4	3
YALI1_D06311g	YALI0D04961g1_1	Q6CA87	2	1	2	1	0	0	0	0	0	0	0
YALI1_D34893g	YALI0D26389g1_1	Q6C7P8	0	2	3	0	0	0	1	0	0	0	0
YALI1_D20706g	YALI0D16797g1_1	Q6C8V1	0	3	2	0	0	0	0	1	0	0	0
YALI1_E38640g	YALI0E32593g1_1	Q6C3S0	0	1	4	0	0	0	0	0	1	0	0
YALI1_A22093g	YALI0A21098g1_1	Q6CG95	1	1	3	0	0	0	0	0	0	1	0
YALI1_E27279g	YALI0E23185g1_1	B5FVF1	4	4	4	2	0	0	1	3	3	2	4
YALI1_E12067g	YALI0E09691g1_1	Q6C6G7	0	0	1	5	3	2	3	1	2	1	2
YALI1_E25692g	YALI0E21670g1_1	Q6C523	0	0	0	1	1	1	0	2	2	1	3
YALI1_B29133g	YALI0B22308g1_1	F2Z672	33	31	32	22	23	19	18	27	26	30	28
YALI1_E18269g	YALI0E15224g1_1	Q6C5T9	3	2	7	3	1	2	0	0	0	1	2
YALI1_B01698g	YALI0B00990g1_1	Q6CG44	5	3	6	0	1	2	1	3	1	4	1
YALI1_C25576g	YALI0C18381g1_1	Q6CBI8	0	0	0	1	2	2	1	2	3	1	2
