"","protein","orthogroup","Gene"
"1372","P36059","S+LYT","YKL151C"
"1373","P36060","S+LYT","YKL150W"
"1374","P36062","S+LYT","YKL146W"
"1375","P36064","S+LYT","YKL137W"
"1376","P36066","S+LYT","YKL133C"
"1377","P36069","S+LYT","YKL128C"
"1378","P36070","S+LYT","YKL125W"
"1379","P36075","S+LYT","YKL090W"
"1380","P36076","S+LYT","YKL088W"
"1381","P36077","S+LYT","YKL086W"
"1382","P36078","S+LYT","YKL084W"
"1383","P36080","S+LYT","YKL082C"
"1384","P36081","S+LYT","YKL077W"
"1385","P36084","S+LYT","YKL074C"
"1386","P36085","S+LYT","YKL072W"
"1387","P36086","S+LYT","YKL071W"
"1388","P36087","S+LYT","YKL070W"
"1389","P36088","S+LYT","YKL069W"
"1390","P36090","S+LYT","YKL047W"
"1391","P36091","S+LYT","YKL046C"
"1392","P36093","S+LYT","YKL043W"
"1393","P36095","S+LYT","YKL041W"
"1394","P36096","S+LYT","YKL034W"
"1395","P36097","S+LYT","YKL033W"
"1396","P36100","S+LYT","YKL028W"
"1397","P36101","S+LYT","YKL027W"
"1398","P36102","S+LYT","YKL025C"
"1399","P36104","S+LYT","YKL018W"
"1400","P36105","S+LYT","YKL006W"
"1401","P36107","S+LYT","YKL004W"
"1402","P36108","S+LYT","YKL002W"
"1403","P36110","S+LYT","YKR013W"
"1404","P36112","S+LYT","YKR016W"
"1405","P36113","S+LYT","YKR017C"
"1406","P36114","S+LYT","YKR018C"
"1407","P36115","S+LYT","YKR019C"
"1408","P36117","S+LYT","YKR021W"
"1409","P36119","S+LYT","YKR023W"
"1410","P36120","S+LYT","YKR024C"
"1411","P36121","S+LYT","YKR025W"
"1412","P36123","S+LYT","YKR028W"
"1413","P36124","S+LYT","YKR029C"
"1414","P36125","S+LYT","YKR030W"
"1415","P36126","S+LYT","YKR031C"
"1416","P36130","S+LYT","YKR036C"
"1417","P36132","S+LYT","YKR038C"
"1418","P36135","S+LYT","YKR042W"
"1419","P36136","S+LYT","YKR043C"
"1420","P36142","S+LYT","YKR051W"
"1421","P36143","S+LYT","YKR058W"
"1422","P36144","S+LYT","YKR060W"
"1423","P36145","S+LYT","YKR062W"
"1424","P36146","S+LYT","YKR063C"
"1425","P36147","S+LYT","YKR065C"
"1426","P36149","S+LYT","YKR068C"
"1427","P36150","S+LYT","YKR069W"
"1428","P36151","S+LYT","YKR070W"
"1429","P36152","S+LYT","YKR071C"
"1430","P36154","S+LYT","YKR074W"
"1431","P36156","S+LYT","YKR076W"
"1432","P36159","S+LYT","YKR079C"
"1433","P36160","S+LYT","YKR081C"
"1434","P36161","S+LYT","YKR082W"
"1435","P36162","S+LYT","YKR083C"
"1436","P36163","S+LYT","YKR087C"
"1437","P36164","S+LYT","YKR088C"
"1438","P36165","S+LYT","YKR089C"
"1439","P36166","S+LYT","YKR090W"
"1440","P36167","S+LYT","YKR091W"
"1441","P36172","S+LYT","YKR105C"
"1442","P36173","S+LYT","YKR106W"
"1443","P36421","S+LYT","YGR185C"
"1444","P36516","S+LYT","YMR024W"
"1445","P36517","S+LYT","YLR439W"
"1446","P36519","S+LYT","YDR237W"
"1447","P36520","S+LYT","YNL284C"
"1448","P36521","S+LYT","YDL202W"
"1449","P36523","S+LYT","YLR312W-A"
"1450","P36525","S+LYT","YMR193W"
"1451","P36526","S+LYT","YBR282W"
"1452","P36527","S+LYT","YDR462W"
"1453","P36528","S+LYT","YNL252C"
"1454","P36531","S+LYT","YBR122C"
"1455","P36532","S+LYT","YBR268W"
"1456","P36533","S+LYT","YML009C"
"1457","P36534","S+LYT","YPL173W"
"1458","P36775","S+LYT","YBL022C"
"1459","P37012","S+LYT","YMR105C"
"1460","P37020","S+LYT","YJR040W"
"1461","P37254","S+LYT","YNR033W"
"1462","P37261","S+LYT","YCL026C-A"
"1463","P37262","S+LYT","YCR073W-A"
"1464","P37263","S+LYT","YCR087C-A"
"1465","P37267","S+LYT","YGR174C"
"1466","P37291","S+LYT","YLR058C"
"1467","P37292","S+LYT","YBR263W"
"1468","P37293","S+LYT","YGR147C"
"1469","P37297","S+LYT","YLR305C"
"1470","P37298","S+LYT","YDR178W"
"1471","P37302","S+LYT","YBR286W"
"1472","P37303","S+LYT","YEL046C"
"1473","P37304","S+LYT","YDR251W"
"1474","P37366","S+LYT","YPR025C"
"1475","P37370","S+LYT","YLR337C"
"1476","P37838","S+LYT","YPL043W"
"1477","P37898","S+LYT","YHR047C"
"1478","P38009","S+LYT","YMR120C"
"1479","P38011","S+LYT","YMR116C"
"1480","P38013","S+LYT","YLR109W"
"1481","P38041","S+LYT","YBL085W"
"1482","P38042","S+LYT","YBL084C"
"1483","P38061","S+LYT","YBL092W"
"1484","P38063","S+LYT","YBL068W"
"1485","P38064","S+LYT","YBL038W"
"1486","P38065","S+LYT","YBL037W"
"1487","P38066","S+LYT","YBL033C"
"1488","P38067","S+LYT","YBR006W"
"1489","P38068","S+LYT","YBR014C"
"1490","P38069","S+LYT","YBR015C"
"1491","P38070","S+LYT","YBR028C"
"1492","P38071","S+LYT","YBR026C"
"1493","P38072","S+LYT","YBR024W"
"1494","P38073","S+LYT","YBR033W"
"1495","P38074","S+LYT","YBR034C"
"1496","P38075","S+LYT","YBR035C"
"1497","P38077","S+LYT","YBR039W"
"1498","P38079","S+LYT","YBR054W"
"1499","P38081","S+LYT","YBR056W"
"1500","P38082","S+LYT","YBR066C"
"1501","P38086","S+LYT","YBR073W"
"1502","P38087","S+LYT","YBR104W"
"1503","P38088","S+LYT","YBR121C"
"1504","P38090","S+LYT","YBR132C"
"1505","P38110","S+LYT","YBL088C"
"1506","P38111","S+LYT","YBR136W"
"1507","P38112","S+LYT","YBR142W"
"1508","P38113","S+LYT","YBR145W"
"1509","P38116","S+LYT","YBR164C"
"1510","P38120","S+LYT","YBR146W"
"1511","P38121","S+LYT","YBL035C"
"1512","P38122","S+LYT","YBR176W"
"1513","P38123","S+LYT","YBR175W"
"1514","P38124","S+LYT","YBR008C"
"1515","P38126","S+LYT","YBR186W"
"1516","P38127","S+LYT","YBR192W"
"1517","P38128","S+LYT","YBR182C"
"1518","P38129","S+LYT","YBR198C"
"1519","P38130","S+LYT","YBR205W"
"1520","P38131","S+LYT","YBR199W"
"1521","P38132","S+LYT","YBR202W"
"1522","P38137","S+LYT","YBR222C"
"1523","P38138","S+LYT","YBR229C"
"1524","P38139","S+LYT","YBR204C"
"1525","P38140","S+LYT","YBR239C"
"1526","P38141","S+LYT","YBR240C"
"1527","P38142","S+LYT","YBR241C"
"1528","P38143","S+LYT","YBR244W"
"1529","P38145","S+LYT","YBR256C"
"1530","P38147","S+LYT","YBR274W"
"1531","P38148","S+LYT","YBR276C"
"1532","P38149","S+LYT","YBR281C"
"1533","P38151","S+LYT","YBR233W"
"1534","P38152","S+LYT","YBR291C"
"1535","P38153","S+LYT","YBR288C"
"1536","P38156","S+LYT","YBR298C"
"1537","P38157","S+LYT","YBR297W"
"1538","P38158","S+LYT","YBR299W"
"1539","P38162","S+LYT","YBL107C"
"1540","P38163","S+LYT","YBL106C"
"1541","P38164","S+LYT","YBL104C"
"1542","P38165","S+LYT","YBL103C"
"1543","P38166","S+LYT","YBL102W"
"1544","P38169","S+LYT","YBL098W"
"1545","P38170","S+LYT","YBL097W"
"1546","P38172","S+LYT","YBL095W"
"1547","P38174","S+LYT","YBL091C"
"1548","P38176","S+LYT","YBL089W"
"1549","P38177","S+LYT","YBL086C"
"1550","P38179","S+LYT","YBL082C"
"1551","P38181","S+LYT","YBL079W"
"1552","P38182","S+LYT","YBL078C"
"1553","P38187","S+LYT","YBL067C"
"1554","P38191","S+LYT","YBL049W"
"1555","P38193","S+LYT","YBL046W"
"1556","P38196","S+LYT","YBL042C"
"1557","P38197","S+LYT","YBL036C"
"1558","P38198","S+LYT","YBL034C"
"1559","P38199","S+LYT","YBL032W"
"1560","P38201","S+LYT","YBL029W"
"1561","P38203","S+LYT","YBL026W"
"1562","P38205","S+LYT","YBL024W"
"1563","P38206","S+LYT","YBL020W"
"1564","P38207","S+LYT","YBL019W"
"1565","P38208","S+LYT","YBL018C"
"1566","P38211","S+LYT","YBR004C"
"1567","P38212","S+LYT","YBR005W"
"1568","P38213","S+LYT","YBR007C"
"1569","P38216","S+LYT","YBR016W"
"1570","P38217","S+LYT","YBR017C"
"1571","P38218","S+LYT","YBR022W"
"1572","P38219","S+LYT","YBR025C"
"1573","P38221","S+LYT","YBR029C"
"1574","P38222","S+LYT","YBR030W"
"1575","P38224","S+LYT","YBR040W"
"1576","P38225","S+LYT","YBR041W"
"1577","P38226","S+LYT","YBR042C"
"1578","P38227","S+LYT","YBR043C"
"1579","P38230","S+LYT","YBR046C"
"1580","P38235","S+LYT","YBR053C"
"1581","P38236","S+LYT","YBR057C"
"1582","P38237","S+LYT","YBR058C"
"1583","P38238","S+LYT","YBR061C"
"1584","P38239","S+LYT","YBR062C"
"1585","P38241","S+LYT","YBR065C"
"1586","P38242","S+LYT","YBR070C"
"1587","P38244","S+LYT","YBR074W"
"1588","P38248","S+LYT","YBR078W"
"1589","P38249","S+LYT","YBR079C"
"1590","P38250","S+LYT","YBR086C"
"1591","P38251","S+LYT","YBR087W"
"1592","P38254","S+LYT","YBR094W"
"1593","P38255","S+LYT","YBR095C"
"1594","P38256","S+LYT","YBR096W"
"1595","P38260","S+LYT","YBR101C"
"1596","P38261","S+LYT","YBR102C"
"1597","P38262","S+LYT","YBR103W"
"1598","P38263","S+LYT","YBR105C"
"1599","P38264","S+LYT","YBR106W"
"1600","P38274","S+LYT","YBR133C"
"1601","P38276","S+LYT","YBR137W"
"1602","P38278","S+LYT","YBR141C"
"1603","P38279","S+LYT","YBR147W"
"1604","P38281","S+LYT","YBR151W"
"1605","P38283","S+LYT","YBR156C"
"1606","P38285","S+LYT","YBR158W"
"1607","P38286","S+LYT","YBR159W"
"1608","P38287","S+LYT","YBR161W"
"1609","P38288","S+LYT","YBR162C"
"1610","P38291","S+LYT","YBR167C"
"1611","P38293","S+LYT","YBR173C"
"1612","P38295","S+LYT","YBR177C"
"1613","P38297","S+LYT","YBR179C"
"1614","P38298","S+LYT","YBR183W"
"1615","P38300","S+LYT","YBR185C"
"1616","P38301","S+LYT","YBR187W"
"1617","P38304","S+LYT","YBR193C"
"1618","P38308","S+LYT","YBR203W"
"1619","P38310","S+LYT","YBR207W"
"1620","P38314","S+LYT","YBR214W"
"1621","P38315","S+LYT","YBR216C"
"1622","P38316","S+LYT","YBR217W"
"1623","P38318","S+LYT","YBR220C"
"1624","P38319","S+LYT","YBR223C"
"1625","P38323","S+LYT","YBR227C"
"1626","P38324","S+LYT","YBR228W"
"1627","P38326","S+LYT","YBR231C"
"1628","P38328","S+LYT","YBR234C"
"1629","P38329","S+LYT","YBR235W"
"1630","P38331","S+LYT","YBR242W"
"1631","P38332","S+LYT","YBR246W"
"1632","P38333","S+LYT","YBR247C"
"1633","P38334","S+LYT","YBR254C"
"1634","P38335","S+LYT","YBR255W"
"1635","P38336","S+LYT","YBR257W"
"1636","P38339","S+LYT","YBR260C"
"1637","P38340","S+LYT","YBR261C"
"1638","P38342","S+LYT","YBR265W"
"1639","P38344","S+LYT","YBR267W"
"1640","P38345","S+LYT","YBR269C"
"1641","P38346","S+LYT","YBR270C"
"1642","P38347","S+LYT","YBR271W"
"1643","P38349","S+LYT","YBR273C"
"1644","P38351","S+LYT","YBR279W"
"1645","P38352","S+LYT","YBR280C"
"1646","P38355","S+LYT","YBR287W"
"1647","P38356","S+LYT","YBR290W"
"1648","P38358","S+LYT","YBR293W"
"1649","P38359","S+LYT","YBR294W"
"1650","P38360","S+LYT","YBR295W"
"1651","P38361","S+LYT","YBR296C"
"1652","P38374","S+LYT","YBR162W-A"
"1653","P38426","S+LYT","YMR261C"
"1654","P38427","S+LYT","YML100W"
"1655","P38428","S+LYT","YMR264W"
"1656","P38429","S+LYT","YMR263W"
"1657","P38430","S+LYT","YMR262W"
"1658","P38431","S+LYT","YPR041W"
"1659","P38439","S+LYT","YOR123C"
"1660","P38523","S+LYT","YOR232W"
"1661","P38555","S+LYT","YER031C"
"1662","P38604","S+LYT","YHR072W"
"1663","P38615","S+LYT","YMR139W"
"1664","P38620","S+LYT","YER099C"
"1665","P38623","S+LYT","YLR248W"
"1666","P38624","S+LYT","YJL001W"
"1667","P38625","S+LYT","YMR217W"
"1668","P38626","S+LYT","YIL043C"
"1669","P38627","S+LYT","YJR103W"
"1670","P38628","S+LYT","YEL058W"
"1671","P38629","S+LYT","YNL290W"
"1672","P38630","S+LYT","YOR217W"
"1673","P38631","S+LYT","YLR342W"
"1674","P38633","S+LYT","YGL127C"
"1675","P38635","S+LYT","YFR025C"
"1676","P38636","S+LYT","YNL259C"
"1677","P38637","S+LYT","YIR011C"
"1678","P38682","S+LYT","YER122C"
"1679","P38687","S+LYT","YPL243W"
"1680","P38688","S+LYT","YPL210C"
"1681","P38689","S+LYT","YHL011C"
"1682","P38690","S+LYT","YHR033W"
"1683","P38691","S+LYT","YHR082C"
"1684","P38692","S+LYT","YHR102W"
"1685","P38693","S+LYT","YHR215W"
"1686","P38694","S+LYT","YHR039C"
"1687","P38695","S+LYT","YHR096C"
"1688","P38698","S+LYT","YHR201C"
"1689","P38699","S+LYT","YHR178W"
"1690","P38701","S+LYT","YHL015W"
"1691","P38702","S+LYT","YHR002W"
"1692","P38703","S+LYT","YHL003C"
"1693","P38704","S+LYT","YHR006W"
"1694","P38705","S+LYT","YHR011W"
"1695","P38707","S+LYT","YHR019C"
"1696","P38708","S+LYT","YHR020W"
"1697","P38711","S+LYT","YHR021C"
"1698","P38712","S+LYT","YHR065C"
"1699","P38713","S+LYT","YHR073W"
"1700","P38715","S+LYT","YHR104W"
"1701","P38716","S+LYT","YHR112C"
"1702","P38717","S+LYT","YNL257C"
"1703","P38719","S+LYT","YHR169W"
"1704","P38720","S+LYT","YHR183W"
"1705","P38724","S+LYT","YHL047C"
"1706","P38731","S+LYT","YHL040C"
"1707","P38732","S+LYT","YHL039W"
"1708","P38736","S+LYT","YHL031C"
"1709","P38737","S+LYT","YHL030W"
"1710","P38738","S+LYT","YHL029C"
"1711","P38739","S+LYT","YHL028W"
"1712","P38741","S+LYT","YHL024W"
"1713","P38742","S+LYT","YHL023C"
"1714","P38745","S+LYT","YHL017W"
"1715","P38747","S+LYT","YHL013C"
"1716","P38748","S+LYT","YHL010C"
"1717","P38749","S+LYT","YHL009C"
"1718","P38750","S+LYT","YHL008C"
"1719","P38753","S+LYT","YHL002W"
"1720","P38754","S+LYT","YHL001W"
"1721","P38755","S+LYT","YHR001W"
"1722","P38756","S+LYT","YHR003C"
"1723","P38757","S+LYT","YHR004C"
"1724","P38758","S+LYT","YHR009C"
"1725","P38759","S+LYT","YHR012W"
"1726","P38764","S+LYT","YHR027C"
"1727","P38765","S+LYT","YHR029C"
"1728","P38766","S+LYT","YHR031C"
"1729","P38767","S+LYT","YHR032W"
"1730","P38768","S+LYT","YHR034C"
"1731","P38771","S+LYT","YHR038W"
"1732","P38772","S+LYT","YHR040W"
"1733","P38775","S+LYT","YHR045W"
"1734","P38776","S+LYT","YHR048W"
"1735","P38781","S+LYT","YHR056C"
"1736","P38782","S+LYT","YHR058C"
"1737","P38783","S+LYT","YHR059W"
"1738","P38786","S+LYT","YHR062C"
"1739","P38787","S+LYT","YHR063C"
"1740","P38788","S+LYT","YHR064C"
"1741","P38789","S+LYT","YHR066W"
"1742","P38790","S+LYT","YHR067W"
"1743","P38791","S+LYT","YHR068W"
"1744","P38792","S+LYT","YHR069C"
"1745","P38793","S+LYT","YHR070W"
"1746","P38794","S+LYT","YHR071W"
"1747","P38795","S+LYT","YHR074W"
"1748","P38796","S+LYT","YHR075C"
"1749","P38797","S+LYT","YHR076W"
"1750","P38798","S+LYT","YHR077C"
"1751","P38799","S+LYT","YHR078W"
"1752","P38800","S+LYT","YHR080C"
"1753","P38803","S+LYT","YHR085W"
"1754","P38804","S+LYT","YHR087W"
"1755","P38805","S+LYT","YHR088W"
"1756","P38806","S+LYT","YHR090C"
"1757","P38809","S+LYT","YHR097C"
"1758","P38810","S+LYT","YHR098C"
"1759","P38811","S+LYT","YHR099W"
"1760","P38812","S+LYT","YHR100C"
"1761","P38813","S+LYT","YHR101C"
"1762","P38817","S+LYT","YHR108W"
"1763","P38819","S+LYT","YHR110W"
"1764","P38820","S+LYT","YHR111W"
"1765","P38821","S+LYT","YHR113W"
"1766","P38822","S+LYT","YHR114W"
"1767","P38823","S+LYT","YHR115C"
"1768","P38824","S+LYT","YHR116W"
"1769","P38825","S+LYT","YHR117W"
"1770","P38827","S+LYT","YHR119W"
"1771","P38828","S+LYT","YHR121W"
"1772","P38829","S+LYT","YHR122W"
"1773","P38830","S+LYT","YHR124W"
"1774","P38835","S+LYT","YHR131C"
"1775","P38836","S+LYT","YHR132C"
"1776","P38837","S+LYT","YHR133C"
"1777","P38838","S+LYT","YHR134W"
"1778","P38840","S+LYT","YHR137W"
"1779","P38841","S+LYT","YHR138C"
"1780","P38842","S+LYT","YHR140W"
"1781","P38843","S+LYT","YHR142W"
"1782","P38845","S+LYT","YHR146W"
"1783","P38848","S+LYT","YHR150W"
"1784","P38849","S+LYT","YHR151C"
"1785","P38850","S+LYT","YHR154W"
"1786","P38851","S+LYT","YHR155W"
"1787","P38853","S+LYT","YHR158C"
"1788","P38856","S+LYT","YHR161C"
"1789","P38857","S+LYT","YHR162W"
"1790","P38858","S+LYT","YHR163W"
"1791","P38859","S+LYT","YHR164C"
"1792","P38860","S+LYT","YHR168W"
"1793","P38861","S+LYT","YHR170W"
"1794","P38862","S+LYT","YHR171W"
"1795","P38863","S+LYT","YHR172W"
"1796","P38865","S+LYT","YHR175W"
"1797","P38866","S+LYT","YHR176W"
"1798","P38867","S+LYT","YHR177W"
"1799","P38869","S+LYT","YHR181W"
"1800","P38873","S+LYT","YHR186C"
"1801","P38874","S+LYT","YHR187W"
"1802","P38875","S+LYT","YHR188C"
"1803","P38876","S+LYT","YHR189W"
"1804","P38877","S+LYT","YHR191C"
"1805","P38879","S+LYT","YHR193C"
"1806","P38880","S+LYT","YHR194W"
"1807","P38884","S+LYT","YHR198C"
"1808","P38885","S+LYT","YHR199C"
"1809","P38886","S+LYT","YHR200W"
"1810","P38887","S+LYT","YHR202W"
"1811","P38888","S+LYT","YHR204W"
"1812","P38889","S+LYT","YHR206W"
"1813","P38890","S+LYT","YHR207C"
"1814","P38891","S+LYT","YHR208W"
"1815","P38893","S+LYT","YHR210C"
"1816","P38902","S+LYT","YOL005C"
"1817","P38903","S+LYT","YOR014W"
"1818","P38904","S+LYT","YDR464W"
"1819","P38907","S+LYT","YDR254W"
"1820","P38909","S+LYT","YOR037W"
"1821","P38910","S+LYT","YOR020C"
"1822","P38911","S+LYT","YML074C"
"1823","P38912","S+LYT","YMR260C"
"1824","P38913","S+LYT","YDL045C"
"1825","P38915","S+LYT","YLR055C"
"1826","P38920","S+LYT","YMR167W"
"1827","P38921","S+LYT","YNL003C"
"1828","P38922","S+LYT","YNL004W"
"1829","P38925","S+LYT","YOL122C"
"1830","P38928","S+LYT","YIL140W"
"1831","P38929","S+LYT","YGL006W"
"1832","P38930","S+LYT","YOR039W"
"1833","P38931","S+LYT","YDR443C"
"1834","P38932","S+LYT","YGL095C"
"1835","P38953","S+LYT","YDR076W"
"1836","P38958","S+LYT","YDR079W"
"1837","P38959","S+LYT","YDR080W"
"1838","P38961","S+LYT","YDR083W"
"1839","P38962","S+LYT","YDR084C"
"1840","P38966","S+LYT","YDR089W"
"1841","P38968","S+LYT","YDL195W"
"1842","P38971","S+LYT","YNL270C"
"1843","P38972","S+LYT","YGR061C"
"1844","P38985","S+LYT","YDL092W"
"1845","P38987","S+LYT","YML064C"
"1846","P38988","S+LYT","YDL198C"
"1847","P38989","S+LYT","YFR031C"
"1848","P38991","S+LYT","YPL209C"
"1849","P38992","S+LYT","YDR297W"
"1850","P38993","S+LYT","YMR058W"
"1851","P38994","S+LYT","YDR208W"
"1852","P38995","S+LYT","YDR270W"
"1853","P38996","S+LYT","YPL190C"
"1854","P38998","S+LYT","YIR034C"
"1855","P38999","S+LYT","YNR050C"
"1856","P39001","S+LYT","YDR207C"
"1857","P39002","S+LYT","YIL009W"
"1858","P39003","S+LYT","YDR343C"
"1859","P39004","S+LYT","YDR342C"
"1860","P39005","S+LYT","YJL174W"
"1861","P39006","S+LYT","YNL169C"
"1862","P39007","S+LYT","YGL022W"
"1863","P39008","S+LYT","YNR052C"
"1864","P39009","S+LYT","YDL101C"
"1865","P39010","S+LYT","YDR264C"
"1866","P39012","S+LYT","YLR088W"
"1867","P39013","S+LYT","YNL084C"
"1868","P39014","S+LYT","YIL046W"
"1869","P39015","S+LYT","YLR150W"
"1870","P39016","S+LYT","YGL178W"
"1871","P39073","S+LYT","YPL042C"
"1872","P39076","S+LYT","YIL142W"
"1873","P39077","S+LYT","YJL014W"
"1874","P39078","S+LYT","YDL143W"
"1875","P39079","S+LYT","YDR188W"
"1876","P39081","S+LYT","YDR228C"
"1877","P39083","S+LYT","YOR127W"
"1878","P39102","S+LYT","YLR090W"
"1879","P39103","S+LYT","YML129C"
"1880","P39104","S+LYT","YNL267W"
"1881","P39105","S+LYT","YMR008C"
"1882","P39107","S+LYT","YPL050C"
"1883","P39108","S+LYT","YDR142C"
"1884","P39109","S+LYT","YDR135C"
"1885","P39110","S+LYT","YMR138W"
"1886","P39111","S+LYT","YGR020C"
"1887","P39112","S+LYT","YMR287C"
"1888","P39113","S+LYT","YMR280C"
"1889","P39515","S+LYT","YJL143W"
"1890","P39516","S+LYT","YJL191W"
"1891","P39517","S+LYT","YDL160C"
"1892","P39518","S+LYT","YER015W"
"1893","P39521","S+LYT","YPR104C"
"1894","P39522","S+LYT","YJR016C"
"1895","P39524","S+LYT","YAL026C"
"1896","P39525","S+LYT","YER061C"
"1897","P39526","S+LYT","YJL207C"
"1898","P39529","S+LYT","YJL206C"
"1899","P39531","S+LYT","YJL204C"
"1900","P39533","S+LYT","YJL200C"
"1901","P39538","S+LYT","YJL197W"
"1902","P39540","S+LYT","YJL196C"
"1903","P39676","S+LYT","YGR234W"
"1904","P39677","S+LYT","YJL102W"
"1905","P39678","S+LYT","YDL056W"
"1906","P39682","S+LYT","YML046W"
"1907","P39683","S+LYT","YOR209C"
"1908","P39685","S+LYT","YMR129W"
"1909","P39692","S+LYT","YFR030W"
"1910","P39702","S+LYT","YAL002W"
"1911","P39704","S+LYT","YAL007C"
"1912","P39705","S+LYT","YAR002W"
"1913","P39706","S+LYT","YAR003W"
"1914","P39707","S+LYT","YAR008W"
"1915","P39708","S+LYT","YAL062W"
"1916","P39709","S+LYT","YAL067C"
"1917","P39713","S+LYT","YAL061W"
"1918","P39714","S+LYT","YAL060W"
"1919","P39719","S+LYT","YAL053W"
"1920","P39721","S+LYT","YAL049C"
"1921","P39722","S+LYT","YAL048C"
"1922","P39724","S+LYT","YAL046C"
"1923","P39726","S+LYT","YAL044C"
"1924","P39727","S+LYT","YAL042W"
"1925","P39729","S+LYT","YAL036C"
"1926","P39730","S+LYT","YAL035W"
"1927","P39731","S+LYT","YAL034W-A"
"1928","P39742","S+LYT","YLR292C"
"1929","P39743","S+LYT","YDR388W"
"1930","P39744","S+LYT","YOR206W"
"1931","P39875","S+LYT","YOR033C"
"1932","P39904","S+LYT","YDR484W"
"1933","P39923","S+LYT","YEL062W"
"1934","P39924","S+LYT","YEL069C"
"1935","P39925","S+LYT","YER017C"
"1936","P39926","S+LYT","YMR183C"
"1937","P39928","S+LYT","YIL147C"
"1938","P39929","S+LYT","YLR025W"
"1939","P39931","S+LYT","YLR250W"
"1940","P39932","S+LYT","YDR536W"
"1941","P39935","S+LYT","YGR162W"
"1942","P39936","S+LYT","YGL049C"
"1943","P39937","S+LYT","YER007W"
"1944","P39938","S+LYT","YGL189C"
"1945","P39939","S+LYT","YER131W"
"1946","P39940","S+LYT","YER125W"
"1947","P39943","S+LYT","YER028C"
"1948","P39944","S+LYT","YER144C"
"1949","P39945","S+LYT","YER101C"
"1950","P39946","S+LYT","YOR269W"
"1951","P39952","S+LYT","YER154W"
"1952","P39953","S+LYT","YEL006W"
"1953","P39954","S+LYT","YER043C"
"1954","P39955","S+LYT","YER047C"
"1955","P39956","S+LYT","YER169W"
"1956","P39958","S+LYT","YER136W"
"1957","P39959","S+LYT","YER130C"
"1958","P39960","S+LYT","YER155C"
"1959","P39965","S+LYT","YER087W"
"1960","P39966","S+LYT","YER089C"
"1961","P39967","S+LYT","YER098W"
"1962","P39968","S+LYT","YEL013W"
"1963","P39969","S+LYT","YER114C"
"1964","P39979","S+LYT","YEL066W"
"1965","P39980","S+LYT","YEL065W"
"1966","P39981","S+LYT","YEL064C"
"1967","P39984","S+LYT","YEL056W"
"1968","P39985","S+LYT","YEL055C"
"1969","P39986","S+LYT","YEL031W"
"1970","P39987","S+LYT","YEL030W"
"1971","P39988","S+LYT","YEL029C"
"1972","P39990","S+LYT","YEL026W"
"1973","P39992","S+LYT","YEL023C"
"1974","P39993","S+LYT","YEL022W"
"1975","P39994","S+LYT","YEL020C"
"1976","P39997","S+LYT","YEL016C"
"1977","P39998","S+LYT","YEL015W"
"1978","P40002","S+LYT","YEL007W"
"1979","P40004","S+LYT","YEL004W"
"1980","P40005","S+LYT","YEL003W"
"1981","P40006","S+LYT","YEL001C"
"1982","P40007","S+LYT","YER002W"
"1983","P40008","S+LYT","YER004W"
"1984","P40009","S+LYT","YER005W"
"1985","P40010","S+LYT","YER006W"
"1986","P40011","S+LYT","YER010C"
"1987","P40012","S+LYT","YER014W"
"1988","P40013","S+LYT","YER016W"
"1989","P40015","S+LYT","YER019W"
"1990","P40016","S+LYT","YER021W"
"1991","P40018","S+LYT","YER029C"
"1992","P40019","S+LYT","YER030W"
"1993","P40024","S+LYT","YER036C"
"1994","P40025","S+LYT","YER037W"
"1995","P40028","S+LYT","YER041W"
"1996","P40029","S+LYT","YER042W"
"1997","P40030","S+LYT","YER044C"
"1998","P40032","S+LYT","YER049W"
"1999","P40033","S+LYT","YER050C"
"2000","P40034","S+LYT","YER051W"
"2001","P40035","S+LYT","YER053C"
"2002","P40036","S+LYT","YER054C"
"2003","P40037","S+LYT","YER057C"
"2004","P40038","S+LYT","YER059W"
"2005","P40039","S+LYT","YER060W"
"2006","P40040","S+LYT","YER063W"
"2007","P40041","S+LYT","YER064C"
"2008","P40042","S+LYT","YER066W"
"2009","P40045","S+LYT","YER071C"
"2010","P40046","S+LYT","YER072W"
"2011","P40047","S+LYT","YER073W"
"2012","P40051","S+LYT","YER078C"
"2013","P40053","S+LYT","YER080W"
"2014","P40054","S+LYT","YER081W"
"2015","P40055","S+LYT","YER082C"
"2016","P40061","S+LYT","YER093C"
"2017","P40064","S+LYT","YER105C"
"2018","P40066","S+LYT","YER107C"
"2019","P40069","S+LYT","YER110C"
"2020","P40070","S+LYT","YER112W"
"2021","P40071","S+LYT","YER113C"
"2022","P40072","S+LYT","YER116C"
"2023","P40073","S+LYT","YER118C"
"2024","P40074","S+LYT","YER119C"
"2025","P40075","S+LYT","YER120W"
"2026","P40077","S+LYT","YER124C"
"2027","P40078","S+LYT","YER126C"
"2028","P40079","S+LYT","YER127W"
"2029","P40080","S+LYT","YER128W"
"2030","P40081","S+LYT","YER134C"
"2031","P40084","S+LYT","YER139C"
"2032","P40085","S+LYT","YER140W"
"2033","P40086","S+LYT","YER141W"
"2034","P40087","S+LYT","YER143W"
"2035","P40088","S+LYT","YER145C"
"2036","P40089","S+LYT","YER146W"
"2037","P40093","S+LYT","YER156C"
"2038","P40094","S+LYT","YER157W"
"2039","P40096","S+LYT","YER159C"
"2040","P40098","S+LYT","YER182W"
