Orthogroup	S.cerevisiae	L.starkeyi	T.caseinolytica	Y.lipo-CLIB122
OG0001876	Q12382	tr|A0A1E3QAJ1|A0A1E3QAJ1_LIPST	Tortispora_caseinolytica@Seq_1094	tr|Q6C158|Q6C158_YARLI
OG0001877	P39517	tr|A0A1E3Q7P8|A0A1E3Q7P8_LIPST	Tortispora_caseinolytica@Seq_2883	sp|Q6C0X2|DHH1_YARLI
OG0001878	Q12743	tr|A0A1E3QFF7|A0A1E3QFF7_LIPST	Tortispora_caseinolytica@Seq_1558	tr|Q6C149|Q6C149_YARLI
OG0001879	Q04217	tr|A0A1E3QAZ6|A0A1E3QAZ6_LIPST	Tortispora_caseinolytica@Seq_1696	tr|Q6C7N7|Q6C7N7_YARLI
OG0001880	P36009	tr|A0A1E3QDM6|A0A1E3QDM6_LIPST	Tortispora_caseinolytica@Seq_794	tr|Q6CEY0|Q6CEY0_YARLI
OG0001881	P53891, P54005, Q08909			tr|Q6BZR2|Q6BZR2_YARLI
OG0001882	Q04216	tr|A0A1E3PXP5|A0A1E3PXP5_LIPST	Tortispora_caseinolytica@Seq_1613	tr|Q6C7P1|Q6C7P1_YARLI
OG0001883	P09624	tr|A0A1E3QGI0|A0A1E3QGI0_LIPST	Tortispora_caseinolytica@Seq_3167	tr|Q6C8C6|Q6C8C6_YARLI
OG0001884	P08417	tr|A0A1E3QEL2|A0A1E3QEL2_LIPST	Tortispora_caseinolytica@Seq_4101	tr|Q6CCT2|Q6CCT2_YARLI
OG0001885	P31380	tr|A0A1E3QAM4|A0A1E3QAM4_LIPST	Tortispora_caseinolytica@Seq_1422	tr|Q6C008|Q6C008_YARLI
OG0001886	P43557	tr|A0A1E3Q6B0|A0A1E3Q6B0_LIPST	Tortispora_caseinolytica@Seq_340	tr|Q6C984|Q6C984_YARLI
OG0001887	P53973	tr|A0A1E3QDQ0|A0A1E3QDQ0_LIPST	Tortispora_caseinolytica@Seq_3351	tr|Q6C4P0|Q6C4P0_YARLI
OG0001888	P42837	tr|A0A1E3QCI0|A0A1E3QCI0_LIPST	Tortispora_caseinolytica@Seq_1731	tr|Q6C3P9|Q6C3P9_YARLI
OG0001889	P32599	tr|A0A1E3PVF0|A0A1E3PVF0_LIPST	Tortispora_caseinolytica@Seq_554	tr|Q6CE89|Q6CE89_YARLI
OG0001890	Q08968	tr|A0A1E3QHT4|A0A1E3QHT4_LIPST	Tortispora_caseinolytica@Seq_2937	tr|Q6C1L5|Q6C1L5_YARLI
OG0001891	P53848	tr|A0A1E3PZ72|A0A1E3PZ72_LIPST	Tortispora_caseinolytica@Seq_3218	tr|Q6CI15|Q6CI15_YARLI
OG0001892	P20081	tr|A0A1E3QF84|A0A1E3QF84_LIPST	Tortispora_caseinolytica@Seq_166	sp|Q6CF41|FKBP_YARLI
OG0001893	Q02207	tr|A0A1E3PW17|A0A1E3PW17_LIPST	Tortispora_caseinolytica@Seq_1322	tr|F2Z6I5|F2Z6I5_YARLI
OG0001894	P40464	tr|A0A1E3QG90|A0A1E3QG90_LIPST	Tortispora_caseinolytica@Seq_1056	tr|Q6CGR6|Q6CGR6_YARLI
OG0001895	P32785	tr|A0A1E3Q170|A0A1E3Q170_LIPST	Tortispora_caseinolytica@Seq_2021	tr|Q6C2L5|Q6C2L5_YARLI
OG0001896	P39521	tr|A0A1E3Q1P8|A0A1E3Q1P8_LIPST	Tortispora_caseinolytica@Seq_2763	tr|Q6CEJ1|Q6CEJ1_YARLI
OG0001897	P39719	tr|A0A1E3Q742|A0A1E3Q742_LIPST	Tortispora_caseinolytica@Seq_3025	tr|Q6CDA4|Q6CDA4_YARLI
OG0001898	Q02883	tr|A0A1E3Q5R0|A0A1E3Q5R0_LIPST	Tortispora_caseinolytica@Seq_1505	tr|Q6CE36|Q6CE36_YARLI
OG0001899	P29704	tr|A0A1E3QDM5|A0A1E3QDM5_LIPST	Tortispora_caseinolytica@Seq_517	sp|Q9Y753|FDFT_YARLI
OG0001900	P40491	tr|A0A1E3Q0H9|A0A1E3Q0H9_LIPST	Tortispora_caseinolytica@Seq_3658	tr|Q6C6Y9|Q6C6Y9_YARLI
OG0001901	P53121, Q08967			tr|Q6C548|Q6C548_YARLI, tr|Q6CER6|Q6CER6_YARLI
OG0001902	P38260	tr|A0A1E3QBH2|A0A1E3QBH2_LIPST	Tortispora_caseinolytica@Seq_318	sp|Q6C239|FES1_YARLI
OG0001903	P45976	tr|A0A1E3Q9M6|A0A1E3Q9M6_LIPST	Tortispora_caseinolytica@Seq_4283	sp|Q6C784|FIP1_YARLI
OG0001904	Q12341	tr|A0A1E3QDJ0|A0A1E3QDJ0_LIPST	Tortispora_caseinolytica@Seq_1479	sp|Q6CC99|HAT1_YARLI
OG0001905	Q12099	tr|A0A1E3QDL0|A0A1E3QDL0_LIPST	Tortispora_caseinolytica@Seq_85	sp|Q6C347|FAL1_YARLI
OG0001906	P07149	tr|A0A1E3PXI7|A0A1E3PXI7_LIPST	Tortispora_caseinolytica@Seq_3305	sp|P34229|FAS1_YARLI
OG0001907	P26793	tr|A0A1E3QB71|A0A1E3QB71_LIPST	Tortispora_caseinolytica@Seq_3711	sp|Q6C116|FEN1_YARLI
OG0001908	P40546	tr|A0A1E3Q913|A0A1E3Q913_LIPST	Tortispora_caseinolytica@Seq_4241	tr|Q6C2U1|Q6C2U1_YARLI
OG0001909	Q03254	tr|A0A1E3QG82|A0A1E3QG82_LIPST	Tortispora_caseinolytica@Seq_3822	tr|Q6C770|Q6C770_YARLI
OG0001910	Q12035	tr|A0A1E3QHI0|A0A1E3QHI0_LIPST	Tortispora_caseinolytica@Seq_1992	tr|Q6CFV8|Q6CFV8_YARLI
OG0001911	P19097	tr|A0A1E3PXR5|A0A1E3PXR5_LIPST	Tortispora_caseinolytica@Seq_386	tr|Q6CE16|Q6CE16_YARLI
OG0001912	P25333	tr|A0A1E3Q6D8|A0A1E3Q6D8_LIPST	Tortispora_caseinolytica@Seq_1995	tr|Q6CDF7|Q6CDF7_YARLI
OG0001913	P34756	tr|A0A1E3Q7U9|A0A1E3Q7U9_LIPST	Tortispora_caseinolytica@Seq_24	tr|Q6C473|Q6C473_YARLI
OG0001914	P32771	tr|A0A1E3Q7A5|A0A1E3Q7A5_LIPST	Tortispora_caseinolytica@Seq_2877	tr|Q6C297|Q6C297_YARLI
OG0001915	P53199	tr|A0A1E3PZW9|A0A1E3PZW9_LIPST	Tortispora_caseinolytica@Seq_4479	tr|Q6CB38|Q6CB38_YARLI
OG0001916	Q12452	tr|A0A1E3QBT3|A0A1E3QBT3_LIPST	Tortispora_caseinolytica@Seq_45	sp|Q6CE88|ERG27_YARLI
OG0001917	P42940	tr|A0A1E3QAN3|A0A1E3QAN3_LIPST	Tortispora_caseinolytica@Seq_2906	tr|Q6CBA9|Q6CBA9_YARLI
OG0001918	Q08421	tr|A0A1E3QGT5|A0A1E3QGT5_LIPST	Tortispora_caseinolytica@Seq_1212	sp|Q6C872|ETT1_YARLI
OG0001919	P32604	tr|A0A1E3Q4Z3|A0A1E3Q4Z3_LIPST	Tortispora_caseinolytica@Seq_2249	tr|Q6C5J2|Q6C5J2_YARLI
OG0001920	Q12283	tr|A0A1E3Q5Q0|A0A1E3Q5Q0_LIPST	Tortispora_caseinolytica@Seq_2916	tr|Q6C5F2|Q6C5F2_YARLI
OG0001921	P38137	tr|A0A1E3PYE8|A0A1E3PYE8_LIPST	Tortispora_caseinolytica@Seq_2038	tr|Q6C634|Q6C634_YARLI
OG0001922	P38874	tr|A0A1E3Q4U5|A0A1E3Q4U5_LIPST	Tortispora_caseinolytica@Seq_354	tr|W0TYP8|W0TYP8_YARLI
OG0001923	P32353	tr|A0A1E3Q0A4|A0A1E3Q0A4_LIPST	Tortispora_caseinolytica@Seq_4451	tr|Q6C8C2|Q6C8C2_YARLI
OG0001924	Q05498	tr|A0A1E3Q1H0|A0A1E3Q1H0_LIPST	Tortispora_caseinolytica@Seq_1214	tr|Q6C4V5|Q6C4V5_YARLI
OG0001925	Q12178	tr|A0A1E3QFE1|A0A1E3QFE1_LIPST	Tortispora_caseinolytica@Seq_4500	tr|Q6C0Q9|Q6C0Q9_YARLI
OG0001926	P41546	tr|A0A1E3QE33|A0A1E3QE33_LIPST	Tortispora_caseinolytica@Seq_4423	tr|Q6CEV1|Q6CEV1_YARLI
OG0001927	Q06143	tr|A0A1E3Q3B4|A0A1E3Q3B4_LIPST	Tortispora_caseinolytica@Seq_1177	tr|Q6CFV5|Q6CFV5_YARLI
OG0001928	P41819	tr|A0A1E3QAX5|A0A1E3QAX5_LIPST	Tortispora_caseinolytica@Seq_979	sp|Q6C7H6|DIM1_YARLI
OG0001929	P47027	tr|A0A1E3QAT5|A0A1E3QAT5_LIPST	Tortispora_caseinolytica@Seq_284	tr|Q6C511|Q6C511_YARLI
OG0001930	P47138	tr|A0A1E3Q812|A0A1E3Q812_LIPST	Tortispora_caseinolytica@Seq_2061	sp|Q6C6T1|DPH4_YARLI
OG0001931	P38791	tr|A0A1E3QE06|A0A1E3QE06_LIPST	Tortispora_caseinolytica@Seq_2572	sp|Q6CG56|DHYS_YARLI
OG0001932	P69771	tr|A0A1E3PYP4|A0A1E3PYP4_LIPST	Tortispora_caseinolytica@Seq_1461	tr|Q6CCE3|Q6CCE3_YARLI
OG0001933	Q03652	tr|A0A1E3QFR2|A0A1E3QFR2_LIPST	Tortispora_caseinolytica@Seq_3266	sp|Q6C6D9|DML1_YARLI
OG0001934	P40553	tr|A0A1E3PXS9|A0A1E3PXS9_LIPST	Tortispora_caseinolytica@Seq_4512	tr|Q6C5B6|Q6C5B6_YARLI
OG0001935	P38821	tr|A0A1E3QBA1|A0A1E3QBA1_LIPST	Tortispora_caseinolytica@Seq_3533	tr|Q6CFM9|Q6CFM9_YARLI
OG0001936	P14284	tr|A0A1E3Q7Q6|A0A1E3Q7Q6_LIPST	Tortispora_caseinolytica@Seq_3701	tr|Q6CB61|Q6CB61_YARLI
OG0001937	P47128	tr|A0A1E3PWE2|A0A1E3PWE2_LIPST	Tortispora_caseinolytica@Seq_2581	sp|Q6C626|EAF6_YARLI
OG0001938	P40526	tr|A0A1E3PZ82|A0A1E3PZ82_LIPST	Tortispora_caseinolytica@Seq_2848	tr|Q6C6N9|Q6C6N9_YARLI
OG0001939	P38859	tr|A0A1E3PWA3|A0A1E3PWA3_LIPST	Tortispora_caseinolytica@Seq_1644	tr|Q6C3N5|Q6C3N5_YARLI
OG0001940	P14020	tr|A0A1E3PUW3|A0A1E3PUW3_LIPST	Tortispora_caseinolytica@Seq_3981	tr|Q6CA34|Q6CA34_YARLI
OG0001941	Q07505	tr|A0A1E3QD81|A0A1E3QD81_LIPST	Tortispora_caseinolytica@Seq_4016	tr|Q6CBA7|Q6CBA7_YARLI
OG0001942	P36037	tr|A0A1E3PXS7|A0A1E3PXS7_LIPST	Tortispora_caseinolytica@Seq_2241	tr|Q6C9H6|Q6C9H6_YARLI
OG0001943	P32461	tr|A0A1E3Q3P1|A0A1E3Q3P1_LIPST	Tortispora_caseinolytica@Seq_2442	sp|Q6CGE7|DPH2_YARLI
OG0001944	Q06819	tr|A0A1E3Q474|A0A1E3Q474_LIPST	Tortispora_caseinolytica@Seq_135	tr|Q6C5W4|Q6C5W4_YARLI
OG0001945	P32469	tr|A0A1E3Q3A4|A0A1E3Q3A4_LIPST	Tortispora_caseinolytica@Seq_1530	sp|Q6C1E0|DPH5_YARLI
OG0001946	P07807	tr|A0A1E3Q5U5|A0A1E3Q5U5_LIPST	Tortispora_caseinolytica@Seq_2989	tr|Q6CC38|Q6CC38_YARLI
OG0001947	P21951	tr|A0A1E3QIF2|A0A1E3QIF2_LIPST	Tortispora_caseinolytica@Seq_869	sp|Q6C4J0|DPOE_YARLI
OG0001948	P38121	tr|A0A1E3Q311|A0A1E3Q311_LIPST	Tortispora_caseinolytica@Seq_1414	tr|Q6C5E1|Q6C5E1_YARLI
OG0001949	P53095	tr|A0A1E3QD79|A0A1E3QD79_LIPST	Tortispora_caseinolytica@Seq_1489	tr|Q6C8Z7|Q6C8Z7_YARLI
OG0001950	P54858	tr|A0A1E3Q497|A0A1E3Q497_LIPST	Tortispora_caseinolytica@Seq_483	tr|Q6C2W6|Q6C2W6_YARLI
OG0001951	P47120	tr|A0A1E3QCI2|A0A1E3QCI2_LIPST	Tortispora_caseinolytica@Seq_840	sp|Q6CHJ7|DOHH_YARLI
OG0001952	P40516	tr|A0A1E3Q3Y5|A0A1E3Q3Y5_LIPST	Tortispora_caseinolytica@Seq_2750	tr|Q6C6B1|Q6C6B1_YARLI
OG0001953	P38737	tr|A0A1E3Q4Q8|A0A1E3Q4Q8_LIPST	Tortispora_caseinolytica@Seq_1194	tr|Q6CD47|Q6CD47_YARLI
OG0001954	P32892	tr|A0A1E3Q333|A0A1E3Q333_LIPST	Tortispora_caseinolytica@Seq_3262	sp|Q6CEB8|DRS1_YARLI
OG0001955	P34216	tr|A0A1E3QE17|A0A1E3QE17_LIPST	Tortispora_caseinolytica@Seq_250	tr|Q6CAW1|Q6CAW1_YARLI
OG0001956	P54861	tr|A0A1E3QAM6|A0A1E3QAM6_LIPST	Tortispora_caseinolytica@Seq_1849	tr|Q6C1G8|Q6C1G8_YARLI
OG0001957	Q12432	tr|A0A1E3QEX5|A0A1E3QEX5_LIPST	Tortispora_caseinolytica@Seq_1380	sp|Q6C9M9|EAF3_YARLI
OG0001958	P32471	tr|A0A1E3Q8E9|A0A1E3Q8E9_LIPST	Tortispora_caseinolytica@Seq_3482	tr|Q6C294|Q6C294_YARLI
OG0001959	P04819	tr|A0A1E3QG43|A0A1E3QG43_LIPST	Tortispora_caseinolytica@Seq_2429	tr|Q6C3B6|Q6C3B6_YARLI
OG0001960	Q03921	tr|A0A1E3QDP4|A0A1E3QDP4_LIPST	Tortispora_caseinolytica@Seq_2175	tr|Q6C184|Q6C184_YARLI
OG0001961	P15801	tr|A0A1E3PWI2|A0A1E3PWI2_LIPST	Tortispora_caseinolytica@Seq_598	tr|Q6C143|Q6C143_YARLI
OG0001962	Q08387	tr|A0A1E3Q9R2|A0A1E3Q9R2_LIPST	Tortispora_caseinolytica@Seq_185	sp|Q6C8A3|DNLI4_YARLI
OG0001963	P24482	tr|A0A1E3QCT9|A0A1E3QCT9_LIPST	Tortispora_caseinolytica@Seq_1746	sp|Q6C030|DPB2_YARLI
OG0001964	P36049	tr|A0A1E3QHE8|A0A1E3QHE8_LIPST	Tortispora_caseinolytica@Seq_3912	tr|Q6C6W1|Q6C6W1_YARLI
OG0001965	Q03212	tr|A0A1E3QEW2|A0A1E3QEW2_LIPST	Tortispora_caseinolytica@Seq_2751	tr|Q6CGJ1|Q6CGJ1_YARLI
OG0001966	P40487	tr|A0A1E3Q5H4|A0A1E3Q5H4_LIPST	Tortispora_caseinolytica@Seq_540	sp|Q6C0S8|DPH1_YARLI
OG0001967	P31385	tr|A0A1E3PUV9|A0A1E3PUV9_LIPST	Tortispora_caseinolytica@Seq_3384	tr|Q6C2Q8|Q6C2Q8_YARLI
OG0001968	P53911	tr|A0A1E3QG02|A0A1E3QG02_LIPST	Tortispora_caseinolytica@Seq_2185	sp|Q6CF40|EAF7_YARLI
OG0001969	Q3E840	tr|A0A1E3QEK1|A0A1E3QEK1_LIPST	Tortispora_caseinolytica@Seq_2318	sp|Q6C0G3|DPH3_YARLI
OG0001970	P47163	tr|A0A1E3QGC1|A0A1E3QGC1_LIPST	Tortispora_caseinolytica@Seq_2142	tr|Q6CCW7|Q6CCW7_YARLI
OG0001971	P39013	tr|A0A1E3Q594|A0A1E3Q594_LIPST	Tortispora_caseinolytica@Seq_2800	sp|Q6C370|END3_YARLI
OG0001972	P42842	tr|A0A1E3QC16|A0A1E3QC16_LIPST	Tortispora_caseinolytica@Seq_1725	tr|Q6CAS7|Q6CAS7_YARLI
OG0001973	Q04406	tr|A0A1E3QD01|A0A1E3QD01_LIPST	Tortispora_caseinolytica@Seq_133	tr|Q6CEB5|Q6CEB5_YARLI
OG0001974	P32626	tr|A0A1E3Q9J4|A0A1E3Q9J4_LIPST	Tortispora_caseinolytica@Seq_223	sp|Q6C8V1|ENOPH_YARLI
OG0001975	Q3E705	tr|A0A1E3QDU1|A0A1E3QDU1_LIPST	Tortispora_caseinolytica@Seq_1064	sp|Q6CFG6|EFG1P_YARLI
OG0001976	Q03653	tr|A0A1E3Q8A4|A0A1E3Q8A4_LIPST	Tortispora_caseinolytica@Seq_3114	sp|Q6C8F7|EFR3_YARLI
OG0001977	Q02908	tr|A0A1E3Q3E8|A0A1E3Q3E8_LIPST	Tortispora_caseinolytica@Seq_3723	tr|Q6CEV3|Q6CEV3_YARLI
OG0001978	P40564	tr|A0A1E3Q513|A0A1E3Q513_LIPST	Tortispora_caseinolytica@Seq_241	tr|Q6C1Z5|Q6C1Z5_YARLI
OG0001979	P25615	tr|A0A1E3QFI2|A0A1E3QFI2_LIPST	Tortispora_caseinolytica@Seq_986	tr|Q6C9C2|Q6C9C2_YARLI
OG0001980	P14741	tr|A0A1E3Q179|A0A1E3Q179_LIPST	Tortispora_caseinolytica@Seq_261	tr|Q6CBJ8|Q6CBJ8_YARLI
OG0001981	P32502	tr|A0A1E3Q4K9|A0A1E3Q4K9_LIPST	Tortispora_caseinolytica@Seq_1759	tr|Q6C0I8|Q6C0I8_YARLI
OG0001982	P06103	tr|A0A1E3Q9W4|A0A1E3Q9W4_LIPST	Tortispora_caseinolytica@Seq_701	sp|Q6C1H8|EIF3B_YARLI
OG0001983	P02992	tr|A0A1E3QDE6|A0A1E3QDE6_LIPST	Tortispora_caseinolytica@Seq_2971	tr|Q6C0I5|Q6C0I5_YARLI
OG0001984	Q04868	tr|A0A1E3Q5S0|A0A1E3Q5S0_LIPST	Tortispora_caseinolytica@Seq_1898	tr|Q6C898|Q6C898_YARLI
OG0001985	P02994	tr|A0A1E3Q4R9|A0A1E3Q4R9_LIPST	Tortispora_caseinolytica@Seq_1211	sp|O59949|EF1A_YARLI
OG0001986	Q05775	tr|A0A1E3QBQ4|A0A1E3QBQ4_LIPST	Tortispora_caseinolytica@Seq_3503	sp|Q6BZW8|EIF3J_YARLI
OG0001987	P53200	tr|A0A1E3QDM4|A0A1E3QDM4_LIPST	Tortispora_caseinolytica@Seq_2909	tr|Q6CB31|Q6CB31_YARLI
OG0001988	P33412	tr|A0A1E3Q550|A0A1E3Q550_LIPST	Tortispora_caseinolytica@Seq_1600	tr|Q6CCV0|Q6CCV0_YARLI
OG0001989	P38249	tr|A0A1E3Q6M6|A0A1E3Q6M6_LIPST	Tortispora_caseinolytica@Seq_2568	sp|Q6C161|EIF3A_YARLI
OG0001990	Q06337	tr|A0A1E3Q147|A0A1E3Q147_LIPST	Tortispora_caseinolytica@Seq_4468	sp|Q6C7K8|EAF1_YARLI
OG0001991	P09032	tr|A0A1E3QEP9|A0A1E3QEP9_LIPST	Tortispora_caseinolytica@Seq_545	tr|Q6C517|Q6C517_YARLI
OG0001992	P47133	tr|A0A1E3PYA2|A0A1E3PYA2_LIPST	Tortispora_caseinolytica@Seq_3419	tr|Q6CAZ3|Q6CAZ3_YARLI
OG0001993	P38182	tr|A0A1E3Q4H5|A0A1E3Q4H5_LIPST	Tortispora_caseinolytica@Seq_2074	sp|Q6C794|ATG8_YARLI
OG0001994	Q12142	tr|A0A1E3Q7S3|A0A1E3Q7S3_LIPST	Tortispora_caseinolytica@Seq_3125	sp|Q6C2F5|ATG9_YARLI
OG0001995	P31384	tr|A0A1E3Q9C8|A0A1E3Q9C8_LIPST	Tortispora_caseinolytica@Seq_1968	sp|Q6CEJ6|CCR4_YARLI
OG0001996	P40202	tr|A0A1E3PWD6|A0A1E3PWD6_LIPST	Tortispora_caseinolytica@Seq_3969	sp|Q6BZU2|CCS1_YARLI
OG0001997	O13547	tr|A0A1E3QCS1|A0A1E3QCS1_LIPST	Tortispora_caseinolytica@Seq_2660	tr|Q6C561|Q6C561_YARLI
OG0001998	P81451	tr|A0A1E3QA70|A0A1E3QA70_LIPST	Tortispora_caseinolytica@Seq_744	tr|B5FVB3|B5FVB3_YARLI
OG0001999	Q03153	tr|A0A1E3Q4L4|A0A1E3Q4L4_LIPST	Tortispora_caseinolytica@Seq_996	sp|Q6C7D6|ATP25_YARLI
OG0002000	P09798	tr|A0A1E3QC37|A0A1E3QC37_LIPST	Tortispora_caseinolytica@Seq_627	tr|Q6CEI4|Q6CEI4_YARLI
OG0002001	P34243	tr|A0A1E3QCU2|A0A1E3QCU2_LIPST	Tortispora_caseinolytica@Seq_3869	tr|Q6CFH6|Q6CFH6_YARLI
OG0002002	P06174	tr|A0A1E3Q8Z1|A0A1E3Q8Z1_LIPST	Tortispora_caseinolytica@Seq_1091	tr|Q6C2A4|Q6C2A4_YARLI
OG0002003	P33399	tr|A0A1E3Q2F5|A0A1E3Q2F5_LIPST	Tortispora_caseinolytica@Seq_2183	tr|Q6C5E0|Q6C5E0_YARLI
OG0002004	P08638	tr|A0A1E3PYQ6|A0A1E3PYQ6_LIPST	Tortispora_caseinolytica@Seq_1117	tr|Q6C954|Q6C954_YARLI
OG0002005	P32875	tr|A0A1E3Q810|A0A1E3Q810_LIPST	Tortispora_caseinolytica@Seq_2639	sp|Q6C6C6|LIPA_YARLI
OG0002006	P43586	tr|A0A1E3QFK9|A0A1E3QFK9_LIPST	Tortispora_caseinolytica@Seq_1545	sp|Q6C8H2|LOC1_YARLI
OG0002007	Q06508	tr|A0A1E3QAT4|A0A1E3QAT4_LIPST	Tortispora_caseinolytica@Seq_4486	tr|Q6CBZ8|Q6CBZ8_YARLI
OG0002008	P36146	tr|A0A1E3Q5X4|A0A1E3Q5X4_LIPST	Tortispora_caseinolytica@Seq_367	tr|Q6C8L4|Q6C8L4_YARLI
OG0002009	Q12502	tr|A0A1E3PZZ9|A0A1E3PZZ9_LIPST, tr|A0A1E3QEG1|A0A1E3QEG1_LIPST	Tortispora_caseinolytica@Seq_457	
OG0002010	P07264	tr|A0A1E3Q0M9|A0A1E3Q0M9_LIPST	Tortispora_caseinolytica@Seq_1446	tr|Q6CG29|Q6CG29_YARLI
OG0002011	P50087	tr|A0A1E3PYQ7|A0A1E3PYQ7_LIPST	Tortispora_caseinolytica@Seq_1150	tr|Q6C6R7|Q6C6R7_YARLI
OG0002012	P40079	tr|A0A1E3QB06|A0A1E3QB06_LIPST	Tortispora_caseinolytica@Seq_3078	tr|Q6C6D2|Q6C6D2_YARLI
OG0002013	Q02799	tr|A0A1E3Q7U3|A0A1E3Q7U3_LIPST	Tortispora_caseinolytica@Seq_1034	tr|Q6CEV7|Q6CEV7_YARLI
OG0002014	P04173	tr|A0A1E3Q911|A0A1E3Q911_LIPST	Tortispora_caseinolytica@Seq_3189	sp|P18120|LEU3_YARLI
OG0002015	Q96VH5	tr|A0A1E3Q7M2|A0A1E3Q7M2_LIPST	Tortispora_caseinolytica@Seq_3972	tr|Q6C8L2|Q6C8L2_YARLI
OG0002016	P50107	tr|A0A1E3Q0C7|A0A1E3Q0C7_LIPST	Tortispora_caseinolytica@Seq_980	tr|Q6C4S7|Q6C4S7_YARLI
OG0002017	Q06005	tr|A0A1E3Q7Z9|A0A1E3Q7Z9_LIPST	Tortispora_caseinolytica@Seq_1926	tr|Q6C069|Q6C069_YARLI
OG0002018	P39946	tr|A0A1E3PXF6|A0A1E3PXF6_LIPST	Tortispora_caseinolytica@Seq_637	sp|Q6CG48|LIS1_YARLI
OG0002019	P53153	tr|A0A1E3PYE0|A0A1E3PYE0_LIPST	Tortispora_caseinolytica@Seq_1804	sp|Q6C427|LCL3_YARLI
OG0002020	P36112	tr|A0A1E3Q7Y9|A0A1E3Q7Y9_LIPST	Tortispora_caseinolytica@Seq_2715	sp|Q6C060|MIC60_YARLI
OG0002021	P38873	tr|A0A1E3QFU2|A0A1E3QFU2_LIPST	Tortispora_caseinolytica@Seq_3254	tr|Q6C6R4|Q6C6R4_YARLI
OG0002022	P53158	tr|A0A1E3Q4Z0|A0A1E3Q4Z0_LIPST	Tortispora_caseinolytica@Seq_4050	tr|Q6C444|Q6C444_YARLI
OG0002023	P36046	tr|A0A1E3PX67|A0A1E3PX67_LIPST	Tortispora_caseinolytica@Seq_2902	tr|Q6C535|Q6C535_YARLI
OG0002024	P39518	tr|A0A1E3Q408|A0A1E3Q408_LIPST, tr|A0A1E3Q428|A0A1E3Q428_LIPST	Tortispora_caseinolytica@Seq_1595	
OG0002025	P40970	tr|A0A1E3Q4F0|A0A1E3Q4F0_LIPST	Tortispora_caseinolytica@Seq_3147	tr|Q6C1K9|Q6C1K9_YARLI
OG0002026	Q04081	tr|A0A1E3QDL6|A0A1E3QDL6_LIPST	Tortispora_caseinolytica@Seq_4422	sp|Q6C997|LCMT1_YARLI
OG0002027	P35191	tr|A0A1E3Q0A9|A0A1E3Q0A9_LIPST	Tortispora_caseinolytica@Seq_852	tr|Q6C1X9|Q6C1X9_YARLI
OG0002028	P53083	tr|A0A1E3Q0V3|A0A1E3Q0V3_LIPST	Tortispora_caseinolytica@Seq_743	sp|Q6C7W0|MDM34_YARLI
OG0002029	O60200	tr|A0A1E3QGG8|A0A1E3QGG8_LIPST	Tortispora_caseinolytica@Seq_3143	tr|B5RSM8|B5RSM8_YARLI
OG0002030	P15807	tr|A0A1E3QAQ0|A0A1E3QAQ0_LIPST	Tortispora_caseinolytica@Seq_256	tr|Q6C695|Q6C695_YARLI
OG0002031	P39014	tr|A0A1E3Q7R0|A0A1E3Q7R0_LIPST	Tortispora_caseinolytica@Seq_1000	tr|W0TYP9|W0TYP9_YARLI
OG0002032	P40457, Q02455		Tortispora_caseinolytica@Seq_953	tr|Q6C0Z5|Q6C0Z5_YARLI
OG0002033	P20484	tr|A0A1E3Q0U9|A0A1E3Q0U9_LIPST	Tortispora_caseinolytica@Seq_3564	tr|Q6C1X4|Q6C1X4_YARLI
OG0002034	O14467	tr|A0A1E3Q5K3|A0A1E3Q5K3_LIPST	Tortispora_caseinolytica@Seq_1922	sp|Q8TG23|MBF1_YARLI
OG0002035	Q01159	tr|A0A1E3QD15|A0A1E3QD15_LIPST	Tortispora_caseinolytica@Seq_1674	sp|Q6C783|MCE1_YARLI
OG0002036	P41910	tr|A0A1E3QBN1|A0A1E3QBN1_LIPST	Tortispora_caseinolytica@Seq_2611	tr|Q6C262|Q6C262_YARLI
OG0002037	P39692	tr|A0A1E3QDQ8|A0A1E3QDQ8_LIPST	Tortispora_caseinolytica@Seq_3352	tr|Q6C5P4|Q6C5P4_YARLI
OG0002038	P38300	tr|A0A1E3Q5U3|A0A1E3Q5U3_LIPST	Tortispora_caseinolytica@Seq_1044	tr|Q6CE08|Q6CE08_YARLI
OG0002039	P32585	tr|A0A1E3PXQ2|A0A1E3PXQ2_LIPST	Tortispora_caseinolytica@Seq_3200	sp|Q6CDK1|MED18_YARLI
OG0002040	P32259	tr|A0A1E3Q291|A0A1E3Q291_LIPST	Tortispora_caseinolytica@Seq_1640	sp|Q6C1B1|MED16_YARLI
OG0002041	P53114	tr|A0A1E3Q4G2|A0A1E3Q4G2_LIPST	Tortispora_caseinolytica@Seq_3623	sp|Q6C8D1|MED5_YARLI
OG0002042	P57743	tr|A0A1E3QBG6|A0A1E3QBG6_LIPST	Tortispora_caseinolytica@Seq_3357	tr|Q6CF19|Q6CF19_YARLI
OG0002043	P22134	tr|A0A1E3Q4J7|A0A1E3Q4J7_LIPST	Tortispora_caseinolytica@Seq_2062	tr|Q6CEP5|Q6CEP5_YARLI
OG0002044	P22855	tr|A0A1E3Q9E2|A0A1E3Q9E2_LIPST	Tortispora_caseinolytica@Seq_41	tr|Q6C883|Q6C883_YARLI
