Orthogroup	A.gossypii	K.marxianus	L.fermentati	s288c
OG0002510	tr|Q752E0|Q752E0_ASHGO	KMXK_0A07230	tr|A0A1G4MH96|A0A1G4MH96_LACFM	sp|P53617|NRD1_YEAST
OG0002511	tr|Q758S4|Q758S4_ASHGO	KMXK_0B03510	tr|A0A1G4MC30|A0A1G4MC30_LACFM	sp|P12754|EI2BD_YEAST
OG0002512	tr|Q75AS2|Q75AS2_ASHGO	KMXK_0A04470	tr|A0A1G4ML20|A0A1G4ML20_LACFM	sp|P22148|MSN1_YEAST
OG0002513	tr|Q74ZV7|Q74ZV7_ASHGO	KMXK_0D01570	tr|A0A1G4MK48|A0A1G4MK48_LACFM	sp|Q04585|YDR09_YEAST
OG0002514	tr|Q75EV1|Q75EV1_ASHGO	KMXK_0B04990	tr|A0A1G4MFG6|A0A1G4MFG6_LACFM	sp|P25559|DCC1_YEAST
OG0002515	tr|Q75CM5|Q75CM5_ASHGO	KMXK_0A01560	tr|A0A1G4MED6|A0A1G4MED6_LACFM	sp|Q06328|YPQ2_YEAST
OG0002516	tr|Q75AR2|Q75AR2_ASHGO	KMXK_0F05260	tr|A0A1G4MAJ2|A0A1G4MAJ2_LACFM	sp|P50086|PSD10_YEAST
OG0002517	tr|Q752B9|Q752B9_ASHGO	KMXK_0A07360	tr|A0A1G4MGP4|A0A1G4MGP4_LACFM	sp|P50874|ORC5_YEAST
OG0002518	tr|Q75AN2|Q75AN2_ASHGO	KMXK_0B05320	tr|A0A1G4M856|A0A1G4M856_LACFM	sp|P40533|TED1_YEAST
OG0002519	tr|Q75A80|Q75A80_ASHGO	KMXK_0H02990	tr|A0A1G4MEU5|A0A1G4MEU5_LACFM	sp|Q06504|NAT3_YEAST
OG0002520	tr|Q75C23|Q75C23_ASHGO	KMXK_0F04230	tr|A0A1G4MAJ9|A0A1G4MAJ9_LACFM	sp|P29703|FNTA_YEAST
OG0002521	tr|Q750V4|Q750V4_ASHGO	KMXK_0E05170	tr|A0A1G4MJV8|A0A1G4MJV8_LACFM	sp|P09368|PUT1_YEAST
OG0002522	tr|Q759X4|Q759X4_ASHGO	KMXK_0F03970	tr|A0A1G4MAL5|A0A1G4MAL5_LACFM	sp|Q04748|SOV1_YEAST
OG0002523	tr|Q754W0|Q754W0_ASHGO	KMXK_0B04250	tr|A0A1G4M9I7|A0A1G4M9I7_LACFM	sp|P53146|USE1_YEAST
OG0002524	tr|Q757Q5|Q757Q5_ASHGO	KMXK_0A02910	tr|A0A1G4MFN1|A0A1G4MFN1_LACFM	sp|P25618|CWH43_YEAST
OG0002525	tr|Q75CC4|Q75CC4_ASHGO	KMXK_0A05970	tr|A0A1G4MCH8|A0A1G4MCH8_LACFM	sp|Q08096|RCL1_YEAST
OG0002526	tr|Q75A66|Q75A66_ASHGO	KMXK_0H03120	tr|A0A1G4MEW0|A0A1G4MEW0_LACFM	sp|P39518|LCF2_YEAST
OG0002527	tr|Q758S5|Q758S5_ASHGO	KMXK_0B03520	tr|A0A1G4MBQ7|A0A1G4MBQ7_LACFM	sp|P12686|RT13_YEAST
OG0002528	tr|Q75BH0|Q75BH0_ASHGO	KMXK_0F05710	tr|A0A1G4MDF1|A0A1G4MDF1_LACFM	sp|P40990|MSS2_YEAST
OG0002529	tr|Q752H9|Q752H9_ASHGO	KMXK_0A06860	tr|A0A1G4MCC5|A0A1G4MCC5_LACFM	sp|Q12010|YPQ1_YEAST
OG0002530	tr|Q759N5|Q759N5_ASHGO	KMXK_0D00800	tr|A0A1G4MA51|A0A1G4MA51_LACFM	sp|Q01519|COX12_YEAST
OG0002531	tr|Q74Z04|Q74Z04_ASHGO	KMXK_0D00240	tr|A0A1G4M8Q7|A0A1G4M8Q7_LACFM	sp|Q04869|YM94_YEAST
OG0002532	tr|Q751L5|Q751L5_ASHGO	KMXK_0B00250	tr|A0A1G4MBN8|A0A1G4MBN8_LACFM	sp|P35127|UBL1_YEAST
OG0002533	tr|Q75CV5|Q75CV5_ASHGO	KMXK_0E01940	tr|A0A1G4M8G0|A0A1G4M8G0_LACFM	sp|P53224|ORM1_YEAST
OG0002534	tr|Q75A12|Q75A12_ASHGO	KMXK_0E02730	tr|A0A1G4MCG5|A0A1G4MCG5_LACFM	sp|Q99258|RIB3_YEAST
OG0002535	tr|Q757N4|Q757N4_ASHGO	KMXK_0A03990	tr|A0A1G4MFC2|A0A1G4MFC2_LACFM	sp|P38635|HIS9_YEAST
OG0002536	tr|Q75BU4|Q75BU4_ASHGO	KMXK_0H01170	tr|A0A1G4M8K1|A0A1G4M8K1_LACFM	sp|P47131|YJ55_YEAST
OG0002537	tr|Q75DN4|Q75DN4_ASHGO	KMXK_0C00930	tr|A0A1G4MBJ3|A0A1G4MBJ3_LACFM	sp|Q04740|RNH1_YEAST
OG0002538	tr|Q758N0|Q758N0_ASHGO	KMXK_0D04940	tr|A0A1G4ML89|A0A1G4ML89_LACFM	sp|P14020|DPM1_YEAST
OG0002539	tr|Q758Y6|Q758Y6_ASHGO	KMXK_0C05850	tr|A0A1G4MC88|A0A1G4MC88_LACFM	sp|Q02516|HAP5_YEAST
OG0002540	tr|Q75DR0|Q75DR0_ASHGO	KMXK_0B01610	tr|A0A1G4ML61|A0A1G4ML61_LACFM	sp|P46680|AIP1_YEAST
OG0002541	tr|Q75AJ5|Q75AJ5_ASHGO	KMXK_0H01800	tr|A0A1G4M7Z8|A0A1G4M7Z8_LACFM	sp|P40523|YIF5_YEAST
OG0002542	tr|Q75B40|Q75B40_ASHGO	KMXK_0G02350	tr|A0A1G4MF85|A0A1G4MF85_LACFM	sp|P50947|PHO23_YEAST
OG0002543	tr|Q752L8|Q752L8_ASHGO	KMXK_0A05600	tr|A0A1G4MD85|A0A1G4MD85_LACFM	sp|Q08742|RDL2_YEAST
OG0002544	tr|Q750I7|Q750I7_ASHGO	KMXK_0D01210	tr|A0A1G4MBA9|A0A1G4MBA9_LACFM	sp|P31539|HS104_YEAST
OG0002545	tr|Q75BQ0|Q75BQ0_ASHGO	KMXK_0B05080	tr|A0A1G4M7B8|A0A1G4M7B8_LACFM	sp|P05749|RL22A_YEAST
OG0002546	tr|Q752C8|Q752C8_ASHGO	KMXK_0A07280	tr|A0A1G4MH56|A0A1G4MH56_LACFM	sp|P53848|FOL1_YEAST
OG0002547	tr|Q75D79|Q75D79_ASHGO	KMXK_0A03430	tr|A0A1G4ME38|A0A1G4ME38_LACFM	sp|P25045|LCB1_YEAST
OG0002548	tr|Q75BX2|Q75BX2_ASHGO	KMXK_0H00190	tr|A0A1G4MHY9|A0A1G4MHY9_LACFM	sp|Q03649|YM60_YEAST
OG0002549	tr|Q756E3|Q756E3_ASHGO	KMXK_0D06140	tr|A0A1G4MFU2|A0A1G4MFU2_LACFM	sp|Q04093|YD444_YEAST
OG0002550	tr|Q750Z1|Q750Z1_ASHGO	KMXK_0B02020	tr|A0A1G4MD34|A0A1G4MD34_LACFM	sp|P38247|SLM4_YEAST
OG0002551	tr|Q758A8|Q758A8_ASHGO	KMXK_0E00910	tr|A0A1G4MFK3|A0A1G4MFK3_LACFM	sp|P40363|SFGH_YEAST
OG0002552	tr|Q759B0|Q759B0_ASHGO	KMXK_0E01090	tr|A0A1G4MC56|A0A1G4MC56_LACFM	sp|P39731|MTW1_YEAST
OG0002553	tr|Q75CT0|Q75CT0_ASHGO	KMXK_0B06210	tr|A0A1G4MEM0|A0A1G4MEM0_LACFM	sp|Q06390|MRB1_YEAST
OG0002554	tr|Q758V5|Q758V5_ASHGO	KMXK_0C06240	tr|A0A1G4MKQ3|A0A1G4MKQ3_LACFM	sp|Q02202|ECM9_YEAST
OG0002555	tr|Q75BI7|Q75BI7_ASHGO	KMXK_0B03850	tr|A0A1G4MC27|A0A1G4MC27_LACFM	sp|Q08220|GSHB_YEAST
OG0002556	tr|Q74ZD4|Q74ZD4_ASHGO	KMXK_0D02130	tr|A0A1G4MCF6|A0A1G4MCF6_LACFM	sp|Q12125|GET4_YEAST
OG0002557	tr|Q75E87|Q75E87_ASHGO	KMXK_0E02490	tr|A0A1G4M920|A0A1G4M920_LACFM	sp|P38222|RKM3_YEAST
OG0002558	tr|Q75CW4|Q75CW4_ASHGO	KMXK_0C06300	tr|A0A1G4M849|A0A1G4M849_LACFM	sp|P06168|ILV5_YEAST
OG0002559	tr|Q75ER5|Q75ER5_ASHGO	KMXK_0H03210	tr|A0A1G4MI69|A0A1G4MI69_LACFM	sp|P40571|RPR2_YEAST
OG0002560	tr|Q75A46|Q75A46_ASHGO	KMXK_0H02350	tr|A0A1G4M805|A0A1G4M805_LACFM	sp|Q12250|RPN5_YEAST
OG0002561	tr|Q756T9|Q756T9_ASHGO	KMXK_0D05360	tr|A0A1G4M6A2|A0A1G4M6A2_LACFM	sp|P81450|ATP18_YEAST
OG0002562	tr|Q75BK6|Q75BK6_ASHGO	KMXK_0F03350	tr|A0A1G4MEY5|A0A1G4MEY5_LACFM	sp|Q99394|TRS33_YEAST
OG0002563	tr|Q75CD5|Q75CD5_ASHGO	KMXK_0D04310	tr|A0A1G4M7U1|A0A1G4M7U1_LACFM	sp|P40050|MRX1_YEAST
OG0002564	tr|Q74Z89|Q74Z89_ASHGO	KMXK_0D03060	tr|A0A1G4ME10|A0A1G4ME10_LACFM	sp|P39077|TCPG_YEAST
OG0002565	tr|Q74ZE5|Q74ZE5_ASHGO	KMXK_0H02840	tr|A0A1G4MES9|A0A1G4MES9_LACFM	sp|Q06510|TAZ1_YEAST
OG0002566	tr|Q757V0|Q757V0_ASHGO	KMXK_0F02960	tr|A0A1G4MCI8|A0A1G4MCI8_LACFM	sp|P32179|MET22_YEAST
OG0002567	tr|Q75BU0|Q75BU0_ASHGO	KMXK_0H01210	tr|A0A1G4M8F6|A0A1G4M8F6_LACFM	sp|P41807|VATH_YEAST
OG0002568	tr|Q750Q1|Q750Q1_ASHGO	KMXK_0E05750	tr|A0A1G4MJQ6|A0A1G4MJQ6_LACFM	sp|P14905|CBS2_YEAST
OG0002569	tr|Q754V8|Q754V8_ASHGO	KMXK_0B04230	tr|A0A1G4M9H2|A0A1G4M9H2_LACFM	sp|P38332|DPH7_YEAST
OG0002570	tr|Q75AT7|Q75AT7_ASHGO	KMXK_0D04160	tr|A0A1G4MIR9|A0A1G4MIR9_LACFM	sp|P42847|RT18_YEAST
OG0002571	tr|Q75C18|Q75C18_ASHGO	KMXK_0B08180	tr|A0A1G4MI41|A0A1G4MI41_LACFM	sp|P35189|TAF14_YEAST
OG0002572	tr|Q757U5|Q757U5_ASHGO	KMXK_0F03010	tr|A0A1G4MCJ9|A0A1G4MCJ9_LACFM	sp|P38070|YPK3_YEAST
OG0002573	tr|Q75D73|Q75D73_ASHGO	KMXK_0H00970	tr|A0A1G4MIR5|A0A1G4MIR5_LACFM	sp|P47149|NNF1_YEAST
OG0002574	tr|Q74ZU7|Q74ZU7_ASHGO	KMXK_0B01870	tr|A0A1G4MK94|A0A1G4MK94_LACFM	sp|P25453|DMC1_YEAST
OG0002575	tr|Q757D6|Q757D6_ASHGO	KMXK_0D04730	tr|A0A1G4MDH7|A0A1G4MDH7_LACFM	sp|Q07458|RXT3_YEAST
OG0002576	tr|Q75EY9|Q75EY9_ASHGO	KMXK_0C04320	tr|A0A1G4MFX4|A0A1G4MFX4_LACFM	sp|P32264|PROB_YEAST
OG0002577	tr|Q74Z28|Q74Z28_ASHGO	KMXK_0G00980	tr|A0A1G4MDU4|A0A1G4MDU4_LACFM	sp|Q12513|TMA17_YEAST
OG0002578	tr|Q75EB2|Q75EB2_ASHGO	KMXK_0B02960	tr|A0A1G4MA23|A0A1G4MA23_LACFM	sp|P53012|SCS3_YEAST
OG0002579	tr|Q751E5|Q751E5_ASHGO	KMXK_0B06530	tr|A0A1G4M8Y1|A0A1G4M8Y1_LACFM	sp|P07390|PT494_YEAST
OG0002580	tr|Q74ZL0|Q74ZL0_ASHGO	KMXK_0B01750	tr|A0A1G4MJL4|A0A1G4MJL4_LACFM	sp|P39081|PCF11_YEAST
OG0002581	tr|Q752K2|Q752K2_ASHGO	KMXK_0E02880	tr|A0A1G4MD21|A0A1G4MD21_LACFM	sp|P53045|MSMO_YEAST
OG0002582	tr|Q75B68|Q75B68_ASHGO	KMXK_0H03470	tr|A0A1G4MIH5|A0A1G4MIH5_LACFM	sp|P38066|RIB1_YEAST
OG0002583	tr|Q75CD2|Q75CD2_ASHGO	KMXK_0F00830	tr|A0A1G4M7Y6|A0A1G4M7Y6_LACFM	sp|Q12027|YD176_YEAST
OG0002584	tr|Q752T0|Q752T0_ASHGO	KMXK_0D00450	tr|A0A1G4MAT5|A0A1G4MAT5_LACFM	sp|Q9URQ3|TAD3_YEAST
OG0002585	tr|Q75AH4|Q75AH4_ASHGO	KMXK_0F00510	tr|A0A1G4M7N9|A0A1G4M7N9_LACFM	sp|P48445|BPL1_YEAST
OG0002586	tr|Q752Q7|Q752Q7_ASHGO	KMXK_0F02730	tr|A0A1G4M819|A0A1G4M819_LACFM	sp|P15625|SYFA_YEAST
OG0002587	tr|Q754D8|Q754D8_ASHGO	KMXK_0A03660	tr|A0A1G4MJ76|A0A1G4MJ76_LACFM	sp|P38872|ADY1_YEAST
OG0002588	tr|Q752M7|Q752M7_ASHGO	KMXK_0B02720	tr|A0A1G4MGP3|A0A1G4MGP3_LACFM	sp|P06738|PHSG_YEAST
OG0002589	tr|Q75CE8|Q75CE8_ASHGO	KMXK_0B08090	tr|A0A1G4MI22|A0A1G4MI22_LACFM	sp|Q12283|FABD_YEAST
OG0002590	tr|Q75BW1|Q75BW1_ASHGO	KMXK_0B08260	tr|A0A1G4MHN7|A0A1G4MHN7_LACFM	sp|P39683|NPT1_YEAST
OG0002591	tr|Q75E09|Q75E09_ASHGO	KMXK_0B07590	tr|A0A1G4MJG4|A0A1G4MJG4_LACFM	sp|P53881|RM22_YEAST
OG0002592	tr|Q74ZA1|Q74ZA1_ASHGO	KMXK_0C02460	tr|A0A1G4MES5|A0A1G4MES5_LACFM	sp|P36052|NDUF7_YEAST
OG0002593	tr|Q750S0|Q750S0_ASHGO	KMXK_0E05530	tr|A0A1G4MJS6|A0A1G4MJS6_LACFM	sp|P40986|CDC1_YEAST
OG0002594	tr|Q75CR1|Q75CR1_ASHGO	KMXK_0F05090	tr|A0A1G4MA89|A0A1G4MA89_LACFM	sp|P53306|GPI1_YEAST
OG0002595	tr|Q75EZ6|Q75EZ6_ASHGO	KMXK_0C04250	tr|A0A1G4MG23|A0A1G4MG23_LACFM	sp|P38769|YHJ5_YEAST
OG0002596	tr|Q75AI8|Q75AI8_ASHGO	KMXK_0H01720	tr|A0A1G4M7R9|A0A1G4M7R9_LACFM	sp|P40518|ARPC5_YEAST
OG0002597	tr|Q75EL6|Q75EL6_ASHGO	KMXK_0C04840	tr|A0A1G4M933|A0A1G4M933_LACFM	sp|P25631|YCU1_YEAST
OG0002598	tr|Q754B5|Q754B5_ASHGO	KMXK_0B02970	tr|A0A1G4MCM2|A0A1G4MCM2_LACFM	sp|P19882|HSP60_YEAST
OG0002599	tr|Q754F5|Q754F5_ASHGO	KMXK_0D03220	tr|A0A1G4MJ56|A0A1G4MJ56_LACFM	sp|P36088|FRMSR_YEAST
OG0002600	tr|Q755S2|Q755S2_ASHGO	KMXK_0C00310	tr|A0A1G4M741|A0A1G4M741_LACFM	sp|P00937|TRPG_YEAST
OG0002601	tr|Q754L8|Q754L8_ASHGO	KMXK_0A01070	tr|A0A1G4MHW7|A0A1G4MHW7_LACFM	sp|P53904|TBCB_YEAST
OG0002602	tr|Q755N6|Q755N6_ASHGO	KMXK_0F03410	tr|A0A1G4MEZ7|A0A1G4MEZ7_LACFM	sp|P40312|CYB5_YEAST
OG0002603	tr|Q74ZS7|Q74ZS7_ASHGO	KMXK_0C02940	tr|A0A1G4MK83|A0A1G4MK83_LACFM	sp|P52490|UBC13_YEAST
OG0002604	tr|Q759S1|Q759S1_ASHGO	KMXK_0C02600	tr|A0A1G4MEQ6|A0A1G4MEQ6_LACFM	sp|Q08448|YO059_YEAST
OG0002605	tr|Q751N7|Q751N7_ASHGO	KMXK_0C06220, KMXK_0G02020	tr|A0A1G4MEA1|A0A1G4MEA1_LACFM	
OG0002606	tr|Q75BB1|Q75BB1_ASHGO	KMXK_0G03070	tr|A0A1G4MBV1|A0A1G4MBV1_LACFM	sp|P14922|CYC8_YEAST
OG0002607	tr|Q75DR8|Q75DR8_ASHGO	KMXK_0C05660	tr|A0A1G4ML71|A0A1G4ML71_LACFM	sp|P14164|ABF1_YEAST
OG0002608	tr|Q75CU9|Q75CU9_ASHGO	KMXK_0E02040	tr|A0A1G4M8E4|A0A1G4M8E4_LACFM	sp|P53219|IMO32_YEAST
OG0002609	tr|Q75E94|Q75E94_ASHGO	KMXK_0E02440	tr|A0A1G4MCV3|A0A1G4MCV3_LACFM	sp|P38075|PDX3_YEAST
OG0002610	tr|Q74Z18|Q74Z18_ASHGO	KMXK_0G01180	tr|A0A1G4MDG9|A0A1G4MDG9_LACFM	sp|Q07541|YD121_YEAST
OG0002611	tr|Q750Q0|Q750Q0_ASHGO	KMXK_0E05760	tr|A0A1G4MJW5|A0A1G4MJW5_LACFM	sp|Q03942|RKM2_YEAST
OG0002612	tr|Q75DH0|Q75DH0_ASHGO	KMXK_0F00410	tr|A0A1G4ML58|A0A1G4ML58_LACFM	sp|P20457|PRI2_YEAST
OG0002613	tr|Q756Q2|Q756Q2_ASHGO	KMXK_0A01790	tr|A0A1G4MCK8|A0A1G4MCK8_LACFM	sp|P20604|PP11_YEAST
OG0002614	tr|Q74ZI8|Q74ZI8_ASHGO	KMXK_0A00290	tr|A0A1G4MIG4|A0A1G4MIG4_LACFM	sp|Q02873|YP107_YEAST
OG0002615	tr|Q75C25|Q75C25_ASHGO	KMXK_0A01510	tr|A0A1G4MET5|A0A1G4MET5_LACFM	sp|P32854|PEP12_YEAST
OG0002616	tr|Q75EW6|Q75EW6_ASHGO	KMXK_0H03650	tr|A0A1G4MFN5|A0A1G4MFN5_LACFM	sp|P38790|HTD2_YEAST
OG0002617	tr|Q756H6|Q756H6_ASHGO	KMXK_0A02520	tr|A0A1G4MHG8|A0A1G4MHG8_LACFM	sp|P13298|PYRE_YEAST
OG0002618	tr|Q74ZU8|Q74ZU8_ASHGO	KMXK_0B01880	tr|A0A1G4MK67|A0A1G4MK67_LACFM	sp|Q12116|TMS1_YEAST
OG0002619	tr|Q75CH6|Q75CH6_ASHGO	KMXK_0C03170	tr|A0A1G4MBH8|A0A1G4MBH8_LACFM	sp|P39959|YEW0_YEAST
OG0002620	tr|Q752S2|Q752S2_ASHGO	KMXK_0D00530	tr|A0A1G4MB27|A0A1G4MB27_LACFM	sp|P49167|RL38_YEAST
OG0002621	tr|Q75BC3|Q75BC3_ASHGO	KMXK_0F01180	tr|A0A1G4M8P9|A0A1G4M8P9_LACFM	sp|P54839|HMCS_YEAST
OG0002622	tr|Q75EN5|Q75EN5_ASHGO	KMXK_0H02010	tr|A0A1G4M990|A0A1G4M990_LACFM	sp|P53729|YN8H_YEAST
OG0002623	tr|Q74ZR8|Q74ZR8_ASHGO	KMXK_0B00370	tr|A0A1G4MKE3|A0A1G4MKE3_LACFM	sp|P40089|LSM5_YEAST
OG0002624	tr|Q75E84|Q75E84_ASHGO	KMXK_0C05540	tr|A0A1G4MIE3|A0A1G4MIE3_LACFM	sp|P21182|DCAM_YEAST
OG0002625	tr|Q75EU5|Q75EU5_ASHGO	KMXK_0C06450	tr|A0A1G4MG06|A0A1G4MG06_LACFM	sp|Q12330|RUXE_YEAST
OG0002626	tr|Q754E8|Q754E8_ASHGO	KMXK_0D03140	tr|A0A1G4MFI4|A0A1G4MFI4_LACFM	sp|Q06247|YL173_YEAST
OG0002627	tr|Q75E17|Q75E17_ASHGO	KMXK_0B07510	tr|A0A1G4MJD2|A0A1G4MJD2_LACFM	sp|P53875|RM19_YEAST
OG0002628	tr|Q75C69|Q75C69_ASHGO	KMXK_0H04160	tr|A0A1G4M6R6|A0A1G4M6R6_LACFM	sp|P35719|MRP8_YEAST
OG0002629	tr|Q751J6|Q751J6_ASHGO	KMXK_0H01550	tr|A0A1G4M8S0|A0A1G4M8S0_LACFM	sp|Q01684|SPR6_YEAST
OG0002630	tr|Q75CP2|Q75CP2_ASHGO	KMXK_0F04910	tr|A0A1G4M718|A0A1G4M718_LACFM	sp|P42938|TDA10_YEAST
OG0002631	tr|Q75B86|Q75B86_ASHGO	KMXK_0H03270	tr|A0A1G4MII8|A0A1G4MII8_LACFM	sp|P22219|VPS15_YEAST
OG0002632	tr|Q759Q3|Q759Q3_ASHGO	KMXK_0A04250	tr|A0A1G4ME78|A0A1G4ME78_LACFM	sp|P41834|UFE1_YEAST
OG0002633	tr|Q75B85|Q75B85_ASHGO	KMXK_0H03280	tr|A0A1G4MIP2|A0A1G4MIP2_LACFM	sp|P41808|SMK1_YEAST
OG0002634	tr|Q75DF3|Q75DF3_ASHGO	KMXK_0G02640	tr|A0A1G4MEX4|A0A1G4MEX4_LACFM	sp|P35729|NU120_YEAST
OG0002635	tr|Q755Q3|Q755Q3_ASHGO	KMXK_0F01040	tr|A0A1G4M910|A0A1G4M910_LACFM	sp|P23644|TOM40_YEAST
OG0002636	tr|Q74Z07|Q74Z07_ASHGO	KMXK_0B06470	tr|A0A1G4MIU7|A0A1G4MIU7_LACFM	sp|Q12462|PEX11_YEAST
OG0002637	tr|Q75BP5|Q75BP5_ASHGO	KMXK_0G03620	tr|A0A1G4M7J6|A0A1G4M7J6_LACFM	sp|P25454|RAD51_YEAST
OG0002638	tr|Q75D74|Q75D74_ASHGO	KMXK_0H00960	tr|A0A1G4MIW7|A0A1G4MIW7_LACFM	sp|P34216|EDE1_YEAST
OG0002639	tr|Q756T4|Q756T4_ASHGO	KMXK_0C05480	tr|A0A1G4MIF0|A0A1G4MIF0_LACFM	sp|P18759|SEC18_YEAST
OG0002640	tr|Q75BG4|Q75BG4_ASHGO	KMXK_0D05060	tr|A0A1G4M675|A0A1G4M675_LACFM	sp|P38887|YH02_YEAST
OG0002641	tr|Q758U0|Q758U0_ASHGO	KMXK_0B03660	tr|A0A1G4MBX2|A0A1G4MBX2_LACFM	sp|P48525|SYEM_YEAST
OG0002642	tr|Q75A88|Q75A88_ASHGO	KMXK_0E04260	tr|A0A1G4MDG0|A0A1G4MDG0_LACFM	sp|Q06104|YPR09_YEAST
OG0002643	tr|Q750K4|Q750K4_ASHGO	KMXK_0B04740	tr|A0A1G4MKG6|A0A1G4MKG6_LACFM	sp|P53212|YG1D_YEAST
OG0002644	tr|Q75D56|Q75D56_ASHGO	KMXK_0F01290	tr|A0A1G4MIP4|A0A1G4MIP4_LACFM	sp|P47156|JHD2_YEAST
OG0002645	tr|Q75DU1|Q75DU1_ASHGO	KMXK_0D05280	tr|A0A1G4M6C4|A0A1G4M6C4_LACFM	sp|P46970|NMD5_YEAST
OG0002646	tr|Q75F75|Q75F75_ASHGO	KMXK_0C02120	tr|A0A1G4M6X9|A0A1G4M6X9_LACFM	sp|Q07963|UBR2_YEAST
OG0002647	tr|Q754K1|Q754K1_ASHGO	KMXK_0D02540	tr|A0A1G4M8R1|A0A1G4M8R1_LACFM	sp|P36126|SPO14_YEAST
OG0002648	tr|Q757Z6|Q757Z6_ASHGO	KMXK_0A04860	tr|A0A1G4MGY5|A0A1G4MGY5_LACFM	sp|P34237|CASP_YEAST
OG0002649	tr|Q74ZC4|Q74ZC4_ASHGO	KMXK_0B07200	tr|A0A1G4M9W5|A0A1G4M9W5_LACFM	sp|P28006|GAC1_YEAST
OG0002650	tr|Q758C6|Q758C6_ASHGO	KMXK_0E00680	tr|A0A1G4MFI3|A0A1G4MFI3_LACFM	sp|P47043|ZAP1_YEAST
OG0002651	tr|Q757R3|Q757R3_ASHGO	KMXK_0A02800	tr|A0A1G4MFU4|A0A1G4MFU4_LACFM	sp|P39996|GTT3_YEAST
OG0002652	tr|Q751B3|Q751B3_ASHGO	KMXK_0D02300	tr|A0A1G4MJQ3|A0A1G4MJQ3_LACFM	sp|P13099|TOP3_YEAST
OG0002653	tr|Q75B03|Q75B03_ASHGO	KMXK_0D03690	tr|A0A1G4MBK0|A0A1G4MBK0_LACFM	sp|P40537|ULP2_YEAST
OG0002654	tr|Q75D43|Q75D43_ASHGO	KMXK_0H02660	tr|A0A1G4MIP8|A0A1G4MIP8_LACFM	sp|Q06179|FMP27_YEAST
OG0002655	tr|Q758W3|Q758W3_ASHGO	KMXK_0E00170	tr|A0A1G4MCG6|A0A1G4MCG6_LACFM	sp|Q08887|NDD1_YEAST
OG0002656	tr|Q75AJ6|Q75AJ6_ASHGO	KMXK_0H01820	tr|A0A1G4M827|A0A1G4M827_LACFM	sp|P40040|THO1_YEAST
OG0002657	tr|Q74ZN7|Q74ZN7_ASHGO	KMXK_0C01760	tr|A0A1G4MK76|A0A1G4MK76_LACFM	sp|P06843|SPT2_YEAST
OG0002658	tr|Q74ZN5|Q74ZN5_ASHGO	KMXK_0E01530	tr|A0A1G4MAX0|A0A1G4MAX0_LACFM	sp|P43639|CSK2B_YEAST
OG0002659	tr|Q75CQ6|Q75CQ6_ASHGO	KMXK_0F05040	tr|A0A1G4MAK0|A0A1G4MAK0_LACFM	sp|P53303|ZPR1_YEAST
OG0002660	tr|Q759U3|Q759U3_ASHGO	KMXK_0D06300	tr|A0A1G4MGC1|A0A1G4MGC1_LACFM	sp|Q04080|GPI17_YEAST
OG0002661	tr|Q753E9|Q753E9_ASHGO	KMXK_0C02760	tr|A0A1G4MAD4|A0A1G4MAD4_LACFM	sp|P32617|IES6_YEAST
OG0002662	tr|Q751W6|Q751W6_ASHGO	KMXK_0A07930	tr|A0A1G4MGU3|A0A1G4MGU3_LACFM	sp|P25369|LSB5_YEAST
OG0002663	tr|Q75DP2|Q75DP2_ASHGO	KMXK_0C01020	tr|A0A1G4MKY7|A0A1G4MKY7_LACFM	sp|P32342|SRP21_YEAST
OG0002664	tr|Q758U4|Q758U4_ASHGO	KMXK_0B03700	tr|A0A1G4MBX8|A0A1G4MBX8_LACFM	sp|P05319|RLA2_YEAST
OG0002665	tr|Q754Y3|Q754Y3_ASHGO	KMXK_0F02040	tr|A0A1G4M9V2|A0A1G4M9V2_LACFM	sp|P53156|YGI1_YEAST
OG0002666	tr|Q75BH4|Q75BH4_ASHGO	KMXK_0G03190	tr|A0A1G4MC15|A0A1G4MC15_LACFM	sp|P32605|RU1A_YEAST
OG0002667	tr|Q75BY5|Q75BY5_ASHGO	KMXK_0B02160	tr|A0A1G4MHP3|A0A1G4MHP3_LACFM	sp|Q08646|SSP2_YEAST
OG0002668	tr|Q75CW0|Q75CW0_ASHGO	KMXK_0C06350	tr|A0A1G4M862|A0A1G4M862_LACFM	sp|P53227|YG1T_YEAST
OG0002669	tr|Q74ZP6|Q74ZP6_ASHGO	KMXK_0F03670	tr|A0A1G4MKE5|A0A1G4MKE5_LACFM	sp|P38961|RRP8_YEAST
OG0002670	tr|Q75DT0|Q75DT0_ASHGO	KMXK_0C05630	tr|A0A1G4ML23|A0A1G4ML23_LACFM	sp|P22936|APN1_YEAST
OG0002671	tr|Q757U0|Q757U0_ASHGO	KMXK_0G02920	tr|A0A1G4MCR3|A0A1G4MCR3_LACFM	sp|P36520|RM10_YEAST
OG0002672	tr|Q75D44|Q75D44_ASHGO	KMXK_0H02650	tr|A0A1G4MIV1|A0A1G4MIV1_LACFM	sp|P34167|IF4B_YEAST
OG0002673	tr|Q75EP7|Q75EP7_ASHGO	KMXK_0H03020	tr|A0A1G4MEM8|A0A1G4MEM8_LACFM	sp|Q06493|YLH47_YEAST
