# Program:featureCounts v1.6.0; Command:"featureCounts" "-T" "8" "-s" "2" "-p" "-t" "CDS" "-g" "Name" "-a" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/CBS6556TD.gff" "-o" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/KM_STAR_March2019.txt" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/40C1NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/40C2NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/40C3NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/KCl2NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/KCl3NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Kcl1NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Std1NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Std2NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Std3NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/pH351NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/pH352NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/pH353NewGenome_STARAligned.out.bam" 
Geneid	Chr	Start	End	Strand	Length	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/40C1NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/40C2NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/40C3NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/KCl2NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/KCl3NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Kcl1NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Std1NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Std2NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Std3NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/pH351NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/pH352NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/pH353NewGenome_STARAligned.out.bam
KMXK0D05540	ChrIV	1191133	1192494	-	1362	3211	1105	3197	2950	3098	2919	2354	2572	2283	2505	2731	2361
KMXK0D05550	ChrIV	1193025	1194386	-	1362	1036	45	833	1605	1334	1104	1450	1291	1660	1411	1213	1628
KMXK0D05560	ChrIV	1195863	1196390	+	528	307	60	485	352	338	407	356	421	464	366	352	359
KMXK0D05570	ChrIV	1196394	1196948	+	555	6	1	15	11	21	9	17	24	37	19	17	30
KMXK0D05580	ChrIV	1198375	1200432	+	2058	20800	22603	36003	26216	29024	30705	32991	50611	58579	31174	28170	35584
KMXK0D05590	ChrIV	1200955	1201767	-	813	15809	6109	24470	845	822	707	4597	3205	4050	10449	15778	5872
KMXK0D05600	ChrIV	1203268	1205721	+	2454	4700	6323	4411	5834	7331	6807	5375	6656	9502	5812	6084	6759
KMXK0D05610	ChrIV	1205993	1207576	+	1584	937	48	755	958	816	770	671	754	831	856	822	777
KMXK0D05620	ChrIV	1207680	1208774	-	1095	1329	858	1319	883	1080	946	876	1176	1607	1203	997	1307
KMXK0D05630	ChrIV	1209365	1210531	+	1167	550	160	554	240	285	310	418	482	540	450	362	567
KMXK0D05640	ChrIV	1210897	1211865	+	969	1035	218	954	563	460	637	716	725	727	1207	1076	1617
KMXK0D05650	ChrIV	1212435	1214030	+	1596	2178	482	1522	1960	1716	1633	1583	1439	2047	1686	1444	1412
KMXK0D05660	ChrIV	1214182	1215711	-	1530	3672	1793	3058	3369	3192	3387	3236	2903	3200	3625	3888	4073
KMXK0D05670	ChrIV	1216092	1217384	+	1293	1049	407	765	913	908	870	836	749	862	842	732	694
KMXK0D05680	ChrIV	1217583	1217975	-	393	720	2621	585	476	469	597	438	744	396	488	409	618
KMXK0D05690	ChrIV	1218408	1220177	-	1770	569	44	663	896	803	916	696	680	801	656	639	701
KMXK0D05700	ChrIV	1221499	1222656	+	1158	1006	77	874	659	576	552	495	476	574	704	663	546
KMXK0D05710	ChrIV	1222732	1224426	-	1695	797	154	806	630	724	633	479	600	651	441	427	580
KMXK0D05720	ChrIV	1224994	1226907	+	1914	2750	180	2419	3779	3528	3711	3065	3208	3610	2931	2829	2865
KMXK0D05730	ChrIV	1227132	1227677	-	546	382	121	390	360	364	392	246	590	303	323	290	480
KMXK0D05740	ChrIV	1228219	1229823	+	1605	1270	333	1386	1468	1517	1384	984	1283	1289	1033	1074	1217
KMXK0D05750	ChrIV	1230211	1231518	+	1308	2879	93	1852	3273	3336	3600	2389	2868	2683	2211	2019	2214
KMXK0D05760	ChrIV	1231668	1233089	-	1422	1666	266	1358	1820	1632	1575	1365	1312	1506	1376	1354	1282
KMXK0D05770	ChrIV	1233525	1238066	+	4542	1395	482	1212	1442	1266	1232	1172	1104	1156	1139	1144	945
KMXK0D05780	ChrIV	1238128	1238850	-	723	576	53	511	575	555	514	400	490	624	489	436	388
KMXK0D05790	ChrIV	1239231	1240787	+	1557	911	37	1576	1829	1456	1491	1051	1933	2070	1664	1072	884
KMXK0D05800	ChrIV	1240994	1241962	-	969	1188	200	1123	1368	1499	1694	1191	1556	1182	1082	1152	1138
KMXK0D05810	ChrIV	1242348	1245998	-	3651	1449	576	1237	1414	1388	1542	1552	1517	1591	1340	1293	1317
KMXK0D05820	ChrIV	1246574	1250092	+	3519	1341	1548	1593	1236	1207	1504	1208	1715	1354	1199	1314	2486
KMXK0D05830	ChrIV	1250226	1250798	-	573	3101	450	2808	2702	2655	3210	2736	2810	2585	3073	3274	2926
KMXK0D05840	ChrIV	1251264	1252742	-	1479	6527	1930	1963	1501	1580	2257	1588	1576	2180	1397	1245	1290
KMXK0D05850	ChrIV	1253488	1254141	-	654	7984	1631	9352	14980	15554	17604	15293	19141	14005	13058	13352	19602
KMXK0D05860	ChrIV	1254753	1255625	+	873	598	92	586	596	673	698	382	503	511	369	395	444
KMXK0D05870	ChrIV	1255824	1258058	-	2235	2852	206	2635	3489	2944	3190	3337	3337	3337	3604	3487	3535
KMXK0D05880	ChrIV	1259100	1260335	+	1236	258	156	491	945	1050	11	62	58	263	47	25	28
KMXK0D05890	ChrIV	1260446	1262821	-	2376	2955	3923	2958	2293	2110	2663	2549	3161	2391	2707	2902	3161
KMXK0D05900	ChrIV	1262844	1263359	+	516	0	1	0	0	0	0	1	0	1	0	0	0
KMXK0D05910	ChrIV	1263651	1266665	-	3015	1797	128	1288	1788	1430	1665	1396	1552	1407	1568	1562	1900
KMXK0D05920	ChrIV	1267028	1268125	-	1098	88	120	665	989	1053	20	45	48	115	26	26	33
KMXK0D05930	ChrIV	1268460	1270472	-	2013	2541	776	3047	6324	5787	5966	2192	2751	3368	2748	3367	2153
KMXK0D05940	ChrIV	1271319	1274079	+	2761	4797	1417	4741	6135	5502	5474	4741	3903	6241	4996	4746	4719
KMXK0D05950	ChrIV	1275185	1275418	+	234	4385	8640	4467	4994	6886	6128	5056	4288	8209	4739	4088	3991
KMXK0D05960	ChrIV	1275553	1285281	-	9729	1520	553	1493	1428	1242	1448	1376	1273	1109	1293	1320	1327
KMXK0D05970	ChrIV	1285849	1287186	-	1338	1390	104	1198	1452	1165	1077	1077	1037	1186	1478	1404	1495
KMXK0D05980	ChrIV	1288164	1289993	+	1830	1416	508	1155	1669	1458	1549	1343	1462	1639	1559	1409	1562
KMXK0D05990	ChrIV	1290304	1292127	-	1824	2288	1031	2002	1771	1972	1954	1550	1909	1596	1809	1787	1997
KMXK0D06000	ChrIV	1292737	1293315	+	579	1433	444	1270	1310	1185	1260	1330	1295	1472	1377	1083	1468
KMXK0D06010	ChrIV	1293656	1294135	+	480	2090	4009	1414	2472	2303	2363	1486	1573	2100	1598	1416	1497
KMXK0D06020	ChrIV	1294510	1297062	+	2553	3639	5213	3858	4148	4219	3666	2786	2989	4320	3633	3257	3433
KMXK0D06030	ChrIV	1297821	1298414	+	594	8274	1003	7139	5802	5471	6625	4586	5056	4130	5317	5758	6191
KMXK0D06040	ChrIV	1298757	1300838	-	2082	2966	394	2282	3685	3299	3459	3024	2825	3216	3178	3059	3313
KMXK0D06050	ChrIV	1302274	1303683	+	1410	2842	267	2246	2906	2423	2081	3843	2610	2703	3610	3380	3258
KMXK0D06060	ChrIV	1304108	1304500	-	393	7906	1658	7130	8671	9295	10928	10114	11916	8183	7688	8903	11409
KMXK0D06070	ChrIV	1305778	1306563	-	786	1377	151	1090	1588	1590	1828	1102	1309	1178	1027	1022	1245
KMXK0D06080	ChrIV	1307181	1308533	+	1353	441	254	495	337	338	425	321	966	388	401	414	753
KMXK0D06090	ChrIV	1308615	1309922	-	1308	1575	193	1223	1336	1293	1301	1194	1263	1259	1317	1252	1282
KMXK0D06100	ChrIV	1311183	1311557	+	375	4266	1204	4228	6088	6468	7907	6575	8204	5362	5441	5714	7458
KMXK0D06110	ChrIV	1311767	1312720	-	954	39	15	60	71	75	58	33	100	68	39	34	57
KMXK0D06130	ChrIV	1314102	1315802	+	1701	628	594	247	222	184	235	420	286	219	285	298	426
KMXK0D06140	ChrIV	1315924	1317834	-	1911	565	17	359	424	357	460	447	476	471	499	439	586
KMXK0D06150	ChrIV	1318143	1322333	+	4191	1727	301	1364	1456	1343	1499	1309	1314	1320	1229	1178	1329
KMXK0D06160	ChrIV	1322341	1323870	-	1530	570	182	614	610	580	744	823	1029	894	731	635	662
KMXK0D06170	ChrIV	1324216	1324779	+	564	611	68	557	579	591	549	791	892	888	876	702	927
KMXK0D06180	ChrIV	1324993	1326726	-	1734	988	341	939	1234	1220	1266	843	799	1049	825	803	763
KMXK0D06190	ChrIV	1326958	1328004	-	1047	1067	216	834	894	835	841	702	735	833	767	740	828
KMXK0D06200	ChrIV	1328452	1330377	+	1926	2224	718	1817	1412	1276	1370	1307	1541	1726	1511	1495	1552
KMXK0D06210	ChrIV	1330512	1331210	-	699	767	14	595	585	503	560	410	437	511	579	541	582
KMXK0D06220	ChrIV	1331544	1332539	+	996	1137	29	784	995	889	989	882	876	903	1038	1003	1132
KMXK0D06230	ChrIV	1332762	1333967	-	1206	1364	2066	1389	778	720	768	1017	964	1004	975	762	1129
KMXK0D06240	ChrIV	1334383	1334997	+	615	5	0	3	2	2	1	7	6	5	6	3	1
KMXK0D06250	ChrIV	1335081	1336805	+	1725	3021	428	2244	2640	2223	2573	2039	2203	2142	2245	2336	2253
KMXK0D06260	ChrIV	1337453	1337878	-	426	288	49	255	278	271	290	192	236	239	202	184	157
KMXK0D06270	ChrIV	1338586	1340610	-	2025	3773	1193	3248	2826	2835	2939	3089	2892	3358	3190	3215	3083
KMXK0D06280	ChrIV	1341334	1342332	+	999	1144	418	1001	745	749	741	611	627	726	646	650	605
KMXK0D06290	ChrIV	1342451	1343503	-	1053	893	158	781	681	619	821	643	604	626	597	625	625
KMXK0D06300	ChrIV	1343943	1345544	-	1602	2474	250	1955	1161	1184	1218	1449	1402	1438	1605	1909	1815
KMXK0D06310	ChrIV	1345898	1346722	+	825	1435	212	1107	748	727	640	554	632	804	844	801	905
KMXK0D06320	ChrIV	1347104	1348972	+	1869	1537	235	1278	1046	922	1094	1001	871	880	912	1023	946
KMXK0D06330	ChrIV	1350340	1351350	-	1011	1276	1623	1586	955	1108	1088	1270	1428	1254	1141	1016	1332
KMXK0D06340	ChrIV	1352114	1355068	+	2955	2232	628	2182	1805	1777	2345	1641	1763	1894	1679	1675	1841
KMXK0D06350	ChrIV	1355510	1356148	+	639	3098	101	1971	2572	2487	2543	2109	2042	1934	2096	2253	2274
KMXK0D06360	ChrIV	1356219	1356746	-	528	455	38	416	328	377	439	266	389	327	344	358	298
KMXK0D06370	ChrIV	1357106	1360198	+	3093	5723	3894	4798	5191	5022	5271	5055	5113	5481	4674	4210	4399
KMXK0D06380	ChrIV	1360412	1360627	-	216	1606	147	986	1816	1806	1857	1127	1244	1371	1072	973	919
KMXK0D06390	ChrIV	1361232	1362044	+	813	2552	468	2348	2578	2677	3088	2640	2771	2367	2164	2478	2642
KMXK0D06400	ChrIV	1362475	1363659	-	1185	2155	185	1972	2385	2309	2431	1896	1896	2156	1931	1966	2085
KMXK0D06410	ChrIV	1364002	1365741	-	1740	1584	146	1168	1306	1166	1288	1007	1092	1122	1428	1438	1555
KMXK0D06420	ChrIV	1366228	1366458	+	231	575	121	454	635	565	539	470	527	626	649	560	559
KMXK0D06430	ChrIV	1366566	1367936	-	1371	607	59	558	681	656	623	530	542	538	585	604	553
KMXK0D06440	ChrIV	1368572	1369768	+	1197	1168	888	1210	964	977	767	579	997	895	709	650	877
KMXK0D06450	ChrIV	1370050	1372650	+	2601	1910	674	1547	1394	1196	1349	1306	1325	1447	1318	1279	1273
KMXK0D06460	ChrIV	1372731	1375598	-	2868	1799	74	917	2470	2369	2180	1937	1801	1734	2008	1918	2150
KMXK0D06470	ChrIV	1377097	1377711	+	615	4040	1221	3139	3487	3412	3435	2923	3021	3155	3473	3400	3170
KMXK0D06480	ChrIV	1377961	1378455	-	495	1802	296	1752	1290	1201	1411	990	1251	1053	1188	1173	1416
KMXK0D06490	ChrIV	1378897	1379475	+	579	1912	198	1275	1526	1467	1533	1117	1297	1344	1425	1337	1054
KMXK0D06500	ChrIV	1380760	1381494	+	735	4902	4502	8136	12733	12942	9708	4618	11829	6550	11800	11238	11440
KMXK0D06510	ChrIV	1381916	1383409	+	1494	2258	555	1769	2366	2157	2370	1957	2212	2377	2093	1881	1777
KMXK0D06520	ChrIV	1383649	1385955	-	2307	1041	598	1112	608	647	828	779	1371	712	761	783	1476
KMXK0D06530	ChrIV	1386420	1388081	+	1662	2683	213	2744	2049	2106	2192	1365	1932	1745	1867	1862	1712
KMXK0D06540	ChrIV	1388203	1388814	-	612	127	68	166	327	323	61	52	47	47	34	32	23
KMXK0D06550	ChrIV	1389446	1390294	+	849	1273	122	805	1662	1655	1507	1131	2219	986	952	916	1478
KMXK0D06560	ChrIV	1391271	1392491	+	1221	97	7	63	50	38	83	168	496	92	205	174	204
KMXK0D06570	ChrIV	1394267	1395427	+	1161	76384	116255	77814	96596	102366	105175	68360	121715	67386	86412	94693	93079
KMXK0D06580	ChrIV	1395853	1396830	-	978	31	27	106	28	36	9	236	103	130	195	87	221
KMXK0D06590	ChrIV	1399014	1401224	+	2211	1147	186	1039	1370	1315	1330	9715	4078	6522	10327	5641	12604
KMXK0D06600	ChrIV	1401917	1403785	-	1869	179	86	141	140	612	42	18	20	38	44	37	34
KMXK0D06610	ChrIV	1405694	1406728	+	1035	374	49	1070	846	835	714	1774	1336	3171	2376	1182	1617
KMXK0D06620	ChrIV	1406879	1409815	-	2937	0	0	0	0	0	0	0	0	0	0	0	0
KMXK0E00110	ChrV	5891	7306	+	1416	59	2	132	320	313	189	107	40	146	75	90	52
KMXK0E00120	ChrV	8086	8790	+	705	3888	283	4653	14144	15702	15629	6016	5763	5740	5990	7431	3075
KMXK0E00130	ChrV	9236	9658	-	423	1290	181	1091	1236	1107	1214	798	894	912	1148	1034	1110
KMXK0E00140	ChrV	9861	10982	+	1122	1005	193	777	819	799	912	616	719	762	872	880	1014
KMXK0E00150	ChrV	11182	11586	-	405	3629	644	4008	6162	6781	8119	6772	8328	5774	5489	5710	7728
KMXK0E00160	ChrV	12159	14540	-	2382	848	192	806	1024	1043	1144	1034	1232	951	940	942	1186
KMXK0E00170	ChrV	15047	16720	-	1674	3724	1074	3196	4845	4494	4377	4661	4428	5540	5424	4744	4947
KMXK0E00180	ChrV	18461	21271	+	2811	1675	306	1338	1752	1652	1676	1800	1655	2334	1932	1690	1924
KMXK0E00190	ChrV	22346	23911	+	1566	163749	135352	151346	125572	146084	150339	135608	163840	121957	115027	142134	128331
KMXK0E00200	ChrV	24358	26238	-	1881	3177	315	2789	4802	4372	4635	3591	3629	3750	4025	3815	4784
KMXK0E00210	ChrV	26600	27208	-	609	2648	784	2259	2757	2634	2695	1611	2638	2363	2240	2208	2270
KMXK0E00220	ChrV	27609	28922	-	1314	10205	9767	7215	11507	12242	14034	11633	13259	9746	10680	12550	12802
KMXK0E00230	ChrV	29705	30853	-	1149	964	106	1602	462	357	594	604	349	725	437	443	341
KMXK0E00240	ChrV	31679	33499	-	1821	581	138	576	722	617	608	484	637	643	440	436	583
KMXK0E00250	ChrV	34138	35523	-	1386	1670	143	1072	6231	5734	6442	12521	6118	4807	6998	4826	13030
KMXK0E00260	ChrV	37363	39279	+	1917	1239	523	976	2293	3013	2013	1779	1222	1126	1219	1294	1669
KMXK0E00270	ChrV	40169	41317	+	1149	2851	100	1138	974	867	852	528	511	615	732	752	414
KMXK0E00280	ChrV	42469	46581	+	4113	2240	387	2940	1503	1558	1553	1416	1407	1249	1482	1713	1621
KMXK0E00290	ChrV	46968	47408	-	441	5961	2082	7048	7357	8164	6790	7317	7991	8141	6949	9158	5679
KMXK0E00300	ChrV	48651	49625	-	975	556	62	893	481	437	297	374	293	560	409	523	587
KMXK0E00310	ChrV	50813	52006	+	1194	1052	72	1084	1293	1375	1286	979	1304	1156	1179	1217	1240
KMXK0E00320	ChrV	52370	53071	-	702	2262	418	1994	2334	2244	2314	2023	1912	2191	2017	1967	1941
KMXK0E00330	ChrV	53837	55750	+	1914	1373	366	1219	1317	1179	1165	1140	1176	1360	1237	1309	1377
KMXK0E00340	ChrV	56310	57485	+	1176	4575	87	2717	4549	4237	4421	3097	2809	2901	2999	3306	2512
KMXK0E00350	ChrV	58086	61316	+	3231	1336	62	967	1729	1365	1581	1612	1670	1462	1608	1710	2043
KMXK0E00360	ChrV	61632	62750	-	1119	2823	654	3085	3936	3449	4432	2627	3182	2718	3025	3324	3079
KMXK0E00370	ChrV	64742	65209	+	468	59	17	14	73	52	59	21	15	12	13	15	7
KMXK0E00380	ChrV	66600	68264	+	1665	29133	10740	16304	13722	19088	21356	11830	11824	24173	9112	8104	9533
KMXK0E00390	ChrV	69212	71377	-	2166	2223	987	1996	1669	1608	1581	2143	1952	2272	2155	1788	2092
KMXK0E00400	ChrV	72217	73500	+	1284	2199	1760	2028	1113	1136	1200	1420	1357	1594	1479	1482	1329
KMXK0E00410	ChrV	73857	75236	-	1380	2786	57	2911	3863	3591	4303	3872	4421	4197	3494	3643	3868
KMXK0E00420	ChrV	76056	76892	+	837	2299	224	1726	2508	2232	2301	1772	1954	2394	1870	1812	1569
KMXK0E00430	ChrV	77344	78543	-	1200	1057	177	947	1031	1128	1092	709	943	925	737	707	900
KMXK0E00440	ChrV	78886	79551	+	666	906	117	847	775	707	793	733	865	729	770	729	790
KMXK0E00450	ChrV	79764	80825	-	1062	3896	127	3735	4788	5067	5156	3071	3363	3841	3144	3208	3179
KMXK0E00460	ChrV	81431	83176	-	1746	30	9	47	37	34	38	23	28	139	24	15	18
KMXK0E00470	ChrV	84100	85980	+	1881	3290	9102	4296	3395	4185	3962	3341	4232	3303	2897	2660	3490
KMXK0E00480	ChrV	87011	88501	-	1491	472	69	461	704	699	817	507	604	558	519	483	467
KMXK0E00490	ChrV	89052	92480	+	3429	1227	1349	1259	1130	1160	1310	1120	1466	1255	1120	1062	1615
KMXK0E00500	ChrV	92618	93274	-	657	29	1	54	67	58	28	25	33	42	18	7	8
KMXK0E00510	ChrV	93535	95664	-	2130	980	850	975	942	752	1040	766	1884	984	833	870	1745
KMXK0E00520	ChrV	96047	97669	+	1623	467	60	410	383	451	479	306	573	431	349	341	399
KMXK0E00530	ChrV	97969	99369	+	1401	945	411	764	1154	1060	1122	948	916	1172	951	938	789
KMXK0E00540	ChrV	99801	102365	+	2565	845	333	741	919	817	875	826	957	978	812	735	730
KMXK0E00550	ChrV	102554	104350	-	1797	120	6	85	779	434	572	225	283	160	323	537	530
KMXK0E00560	ChrV	105178	106671	+	1494	1958	161	1750	1897	2285	2330	1764	1994	1380	1484	1696	2074
KMXK0E00570	ChrV	106772	107404	-	633	602	70	532	730	606	602	517	653	617	611	503	446
KMXK0E00580	ChrV	107789	112153	+	4365	1002	98	932	1212	1074	1013	1183	1190	1119	1039	991	1164
KMXK0E00590	ChrV	112212	113777	-	1566	896	72	624	857	870	767	567	602	667	659	662	733
KMXK0E00600	ChrV	114110	115342	+	1233	3551	1638	2943	2935	3047	2843	1994	2157	2132	2610	2618	2601
KMXK0E00610	ChrV	115527	116870	-	1344	3880	1444	2763	1767	1504	1625	1239	1303	1640	1448	1545	1232
KMXK0E00620	ChrV	117136	118548	+	1413	1708	243	1085	896	842	923	670	651	787	762	816	624
KMXK0E00630	ChrV	118607	121816	-	3210	664	2094	839	921	903	1088	798	1106	805	800	787	1394
KMXK0E00640	ChrV	122635	124830	-	2196	818	75	723	1278	1317	892	813	891	813	928	1035	1046
KMXK0E00650	ChrV	125960	126838	+	879	633	99	531	528	482	499	344	437	379	364	441	380
KMXK0E00660	ChrV	126831	127745	-	915	448	66	353	343	381	455	374	319	293	396	437	648
KMXK0E00670	ChrV	128013	129413	-	1401	2896	1541	2616	2157	2383	2360	1792	2019	2298	1936	1722	2022
KMXK0E00680	ChrV	130079	132136	+	2058	6568	1603	4931	6145	5697	6052	3645	4753	4228	3427	3639	3239
KMXK0E00690	ChrV	132317	132817	-	501	8719	1690	6845	6755	5654	5864	5191	4833	4965	6979	6745	6169
KMXK0E00700	ChrV	133685	135130	+	1446	6094	3540	3910	3853	3384	3730	1942	2196	2184	2811	2799	2354
KMXK0E00710	ChrV	135313	136032	+	720	731	192	702	687	726	728	541	592	617	646	593	597
KMXK0E00720	ChrV	136064	137248	-	1185	374	14	322	423	401	519	388	391	336	412	464	415
KMXK0E00730	ChrV	137593	138378	+	786	684	14	646	782	700	669	544	489	455	462	509	400
KMXK0E00740	ChrV	139797	141410	+	1614	2753	151	3336	7660	4640	11780	4672	5570	1520	2607	4310	975
KMXK0E00750	ChrV	142001	143341	-	1341	1781	61	1852	2785	2109	2545	1851	1648	1659	2269	2378	2806
KMXK0E00760	ChrV	144247	144645	+	399	1599	644	1435	1575	1805	1290	832	809	1103	1030	847	938
KMXK0E00770	ChrV	144725	146785	-	2061	1467	184	1187	1693	1585	1712	1577	1522	1707	1396	1370	1289
KMXK0E00780	ChrV	147064	147360	-	297	618	247	424	597	640	608	410	469	539	462	372	395
KMXK0E00790	ChrV	147522	149891	-	2370	913	50	714	1079	1117	1139	804	866	901	824	792	776
KMXK0E00800	ChrV	150323	151573	-	1251	1222	1290	1219	982	911	995	818	1616	1110	997	876	1492
KMXK0E00810	ChrV	151900	152844	-	945	617	22	611	810	760	874	720	762	669	697	652	755
KMXK0E00820	ChrV	153185	153451	-	267	938	542	910	823	979	912	703	787	765	632	625	571
KMXK0E00830	ChrV	155328	156953	+	1626	146	18	280	1054	915	71	89	115	270	106	52	27
KMXK0E00840	ChrV	158308	159027	+	720	956	83	799	1235	1262	1254	867	1011	988	842	784	848
KMXK0E00850	ChrV	159344	160411	+	1068	1476	69	1279	1694	1667	1759	1328	1219	1102	1247	1392	1363
KMXK0E00860	ChrV	160609	162936	-	2328	1346	847	1200	938	1070	1072	1090	1316	1259	1300	1187	1602
KMXK0E00870	ChrV	163812	164306	+	495	363	99	262	367	350	297	337	304	351	358	321	409
KMXK0E00880	ChrV	164636	165340	+	705	5664	11016	3037	2003	2224	2668	1907	2124	2116	2448	2470	2261
KMXK0E00890	ChrV	165950	167701	+	1752	3840	383	2678	2654	2434	2197	1865	1921	2919	3373	3191	3208
KMXK0E00900	ChrV	168091	169314	+	1224	2664	532	2278	2641	2544	2612	2467	2329	2660	2271	2131	2252
KMXK0E00910	ChrV	169692	170579	+	888	2365	719	2416	2668	2418	2976	2169	2229	2035	2271	2586	2212
KMXK0E00920	ChrV	170718	172529	-	1812	1864	714	2462	2249	2178	2197	1362	1974	2217	2071	1986	2279
KMXK0E00930	ChrV	172911	175520	-	2610	972	83	930	1088	906	1017	969	1073	980	954	890	1108
KMXK0E00940	ChrV	176355	178070	+	1716	508	327	564	540	447	587	509	955	613	509	465	859
KMXK0E00950	ChrV	178449	178886	+	438	2200	372	1750	2968	3021	2586	1715	1710	2415	1761	1592	1659
KMXK0E00960	ChrV	179312	180751	-	1440	3734	304	4858	4348	4185	5152	4272	4372	4337	3773	3701	4448
KMXK0E00970	ChrV	181610	181894	+	285	1028	68	536	885	939	828	547	508	562	684	672	498
KMXK0E00980	ChrV	182251	182940	+	690	553	92	400	460	472	456	390	423	439	419	411	476
KMXK0E00990	ChrV	184025	186178	+	2154	3736	1561	3913	2851	3048	2768	2736	2760	2914	3494	3368	3763
KMXK0E01000	ChrV	186236	188347	-	2112	775	148	673	725	754	709	619	635	597	686	707	524
KMXK0E01010	ChrV	188557	190452	-	1896	487	93	461	633	628	598	520	552	493	477	482	415
KMXK0E01020	ChrV	190705	191088	+	384	736	217	599	705	663	546	437	436	754	606	569	467
KMXK0E01030	ChrV	191090	191920	-	831	722	201	758	652	672	740	577	588	705	626	544	594
KMXK0E01040	ChrV	192188	193381	+	1194	631	91	584	666	735	718	549	560	667	524	517	465
KMXK0E01050	ChrV	193404	195341	-	1938	864	34	376	601	567	671	589	543	515	582	610	633
KMXK0E01060	ChrV	196197	197057	+	861	33	0	40	45	27	43	22	37	21	23	19	16
KMXK0E01070	ChrV	198563	201295	+	2733	3089	5881	2929	3141	2720	3169	2791	2737	2575	2371	2556	2343
KMXK0E01080	ChrV	201810	202676	+	867	554	328	535	656	604	760	609	940	671	605	586	983
KMXK0E01090	ChrV	203139	204008	+	870	473	81	364	577	594	645	398	470	441	527	520	457
KMXK0E01100	ChrV	204532	205875	-	1344	5698	18200	5614	5645	5917	5824	4101	5390	6390	4841	4431	4229
KMXK0E01110	ChrV	207279	209423	-	2145	649	143	699	529	635	645	693	579	595	525	465	624
KMXK0E01120	ChrV	209889	213641	-	3753	796	26	787	1155	1089	1169	930	1070	829	949	989	1024
KMXK0E01130	ChrV	214203	217073	+	2871	2594	1946	2723	2318	2466	3000	3013	3092	2519	2426	2718	2615
KMXK0E01140	ChrV	217528	218016	+	489	290	24	299	292	322	329	222	269	311	241	208	228
KMXK0E01150	ChrV	218057	219382	-	1326	1067	320	922	1112	910	1107	683	766	1019	821	752	697
KMXK0E01160	ChrV	219605	221884	-	2280	1578	566	1562	1534	1535	1679	1388	1339	1524	1366	1388	1445
KMXK0E01170	ChrV	222255	223595	-	1341	1310	442	1239	1262	1219	1288	852	816	1043	957	913	821
KMXK0E01180	ChrV	223979	224668	-	690	3902	540	3501	3964	3719	4087	3719	3679	3773	4168	4388	4400
KMXK0E01190	ChrV	225543	229142	+	3600	1320	100	1428	1447	1457	1588	1700	1496	1496	1529	1498	1890
