"","protein","Gene","orthogroup"
"1369","P33201","YKL009W","S+KZC"
"1370","P33202","YKL010C","S+KZC"
"1371","P33203","YKL012W","S+KZC"
"1372","P33204","YKL013C","S+KZC"
"1373","P33296","YER100W","S+KZC"
"1374","P33297","YOR117W","S+KZC"
"1375","P33298","YDR394W","S+KZC"
"1376","P33299","YKL145W","S+KZC"
"1377","P33300","YPL057C","S+KZC"
"1378","P33301","YDR369C","S+KZC"
"1379","P33302","YOR153W","S+KZC"
"1380","P33303","YJR095W","S+KZC"
"1381","P33304","YDR085C","S+KZC"
"1382","P33306","YER167W","S+KZC"
"1383","P33307","YGL238W","S+KZC"
"1384","P33308","YNR010W","S+KZC"
"1385","P33309","YNL001W","S+KZC"
"1386","P33310","YLR188W","S+KZC"
"1387","P33311","YPL270W","S+KZC"
"1388","P33312","YBR153W","S+KZC"
"1389","P33313","YBR155W","S+KZC"
"1390","P33314","YKL092C","S+KZC"
"1391","P33315","YBR117C","S+KZC"
"1392","P33317","YBR252W","S+KZC"
"1393","P33322","YLR175W","S+KZC"
"1394","P33327","YDL215C","S+KZC"
"1395","P33328","YOR327C","S+KZC"
"1396","P33330","YOR184W","S+KZC"
"1397","P33331","YER009W","S+KZC"
"1398","P33332","YER008C","S+KZC"
"1399","P33333","YDL052C","S+KZC"
"1400","P33334","YHR165C","S+KZC"
"1401","P33336","YGR143W","S+KZC"
"1402","P33338","YNL243W","S+KZC"
"1403","P33339","YGR047C","S+KZC"
"1404","P33399","YDL051W","S+KZC"
"1405","P33400","YHL027W","S+KZC"
"1406","P33401","YKL127W","S+KZC"
"1407","P33411","YGR006W","S+KZC"
"1408","P33412","YGR007W","S+KZC"
"1409","P33413","YHL016C","S+KZC"
"1410","P33416","YDR258C","S+KZC"
"1411","P33417","YKL032C","S+KZC"
"1412","P33418","YKL205W","S+KZC"
"1413","P33420","YPL174C","S+KZC"
"1414","P33421","YKL141W","S+KZC"
"1415","P33441","YML062C","S+KZC"
"1416","P33442","YLR441C","S+KZC"
"1417","P33448","YOR045W","S+KZC"
"1418","P33550","YKR061W","S+KZC"
"1419","P33734","YBR248C","S+KZC"
"1420","P33748","YMR037C","S+KZC"
"1421","P33749","YKL062W","S+KZC"
"1422","P33750","YLL011W","S+KZC"
"1423","P33751","YDR538W","S+KZC"
"1424","P33753","YKR056W","S+KZC"
"1425","P33754","YBR171W","S+KZC"
"1426","P33755","YBR170C","S+KZC"
"1427","P33757","YBR250W","S+KZC"
"1428","P33759","YBR251W","S+KZC"
"1429","P33760","YNL329C","S+KZC"
"1430","P33767","YEL002C","S+KZC"
"1431","P33775","YDL095W","S+KZC"
"1432","P33890","YOR010C","S+KZC"
"1433","P33891","YGL145W","S+KZC"
"1434","P33892","YGL195W","S+KZC"
"1435","P33893","YBL080C","S+KZC"
"1436","P33894","YOR219C","S+KZC"
"1437","P33895","YOL069W","S+KZC"
"1438","P34072","YNL076W","S+KZC"
"1439","P34077","YFR002W","S+KZC"
"1440","P34078","YKL143W","S+KZC"
"1441","P34087","YDR404C","S+KZC"
"1442","P34110","YJL154C","S+KZC"
"1443","P34111","YAL001C","S+KZC"
"1444","P34160","YMR125W","S+KZC"
"1445","P34161","YML027W","S+KZC"
"1446","P34162","YHR041C","S+KZC"
"1447","P34163","YKL140W","S+KZC"
"1448","P34165","YDR461W","S+KZC"
"1449","P34166","YNL145W","S+KZC"
"1450","P34167","YPR163C","S+KZC"
"1451","P34216","YBL047C","S+KZC"
"1452","P34217","YBL051C","S+KZC"
"1453","P34218","YBL052C","S+KZC"
"1454","P34219","YBL054W","S+KZC"
"1455","P34220","YBL055C","S+KZC"
"1456","P34221","YBL056W","S+KZC"
"1457","P34222","YBL057C","S+KZC"
"1458","P34223","YBL058W","S+KZC"
"1459","P34224","YBL059W","S+KZC"
"1460","P34225","YBL060W","S+KZC"
"1461","P34226","YBL061C","S+KZC"
"1462","P34227","YBL064C","S+KZC"
"1463","P34228","YBL066C","S+KZC"
"1464","P34230","YKL188C","S+KZC"
"1465","P34231","YKL187C","S+KZC"
"1466","P34232","YKL186C","S+KZC"
"1467","P34233","YKL185W","S+KZC"
"1468","P34234","YKL183W","S+KZC"
"1469","P34237","YKL179C","S+KZC"
"1470","P34239","YKL176C","S+KZC"
"1471","P34240","YKL175W","S+KZC"
"1472","P34241","YKL014C","S+KZC"
"1473","P34243","YKL017C","S+KZC"
"1474","P34244","YKL101W","S+KZC"
"1475","P34246","YKL098W","S+KZC"
"1476","P34247","YKL099C","S+KZC"
"1477","P34248","YKL100C","S+KZC"
"1478","P34252","YKL108W","S+KZC"
"1479","P34253","YKL110C","S+KZC"
"1480","P34756","YFR019W","S+KZC"
"1481","P34758","YOR329C","S+KZC"
"1482","P34760","YML028W","S+KZC"
"1483","P34761","YNL197C","S+KZC"
"1484","P34909","YER068W","S+KZC"
"1485","P35056","YDR244W","S+KZC"
"1486","P35127","YJR099W","S+KZC"
"1487","P35169","YJR066W","S+KZC"
"1488","P35172","YBR001C","S+KZC"
"1489","P35176","YDR304C","S+KZC"
"1490","P35177","YBR081C","S+KZC"
"1491","P35178","YDR087C","S+KZC"
"1492","P35179","YDR086C","S+KZC"
"1493","P35180","YGR082W","S+KZC"
"1494","P35181","YLR170C","S+KZC"
"1495","P35182","YDL006W","S+KZC"
"1496","P35183","YBL069W","S+KZC"
"1497","P35184","YIR012W","S+KZC"
"1498","P35187","YMR190C","S+KZC"
"1499","P35189","YPL129W","S+KZC"
"1500","P35190","YGL215W","S+KZC"
"1501","P35191","YFL016C","S+KZC"
"1502","P35192","YMR021C","S+KZC"
"1503","P35193","YOL082W","S+KZC"
"1504","P35194","YBL004W","S+KZC"
"1505","P35195","YBL001C","S+KZC"
"1506","P35196","YBR002C","S+KZC"
"1507","P35197","YDL226C","S+KZC"
"1508","P35198","YDR277C","S+KZC"
"1509","P35200","YLR168C","S+KZC"
"1510","P35201","YKL089W","S+KZC"
"1511","P35202","YOR143C","S+KZC"
"1512","P35203","YMR094W","S+KZC"
"1513","P35206","YBR036C","S+KZC"
"1514","P35207","YLR398C","S+KZC"
"1515","P35208","YJL127C","S+KZC"
"1516","P35209","YMR179W","S+KZC"
"1517","P35210","YKL020C","S+KZC"
"1518","P35497","YJR159W","S+KZC"
"1519","P35688","YDL240W","S+KZC"
"1520","P35691","YKL056C","S+KZC"
"1521","P35718","YKL144C","S+KZC"
"1522","P35719","YKL142W","S+KZC"
"1523","P35723","YKL065C","S+KZC"
"1524","P35724","YKL064W","S+KZC"
"1525","P35725","YKL063C","S+KZC"
"1526","P35727","YKL061W","S+KZC"
"1527","P35728","YKL059C","S+KZC"
"1528","P35729","YKL057C","S+KZC"
"1529","P35731","YKL055C","S+KZC"
"1530","P35732","YKL054C","S+KZC"
"1531","P35734","YKL052C","S+KZC"
"1532","P35735","YKL051W","S+KZC"
"1533","P35817","YLR399C","S+KZC"
"1534","P35842","YAR071W","S+KZC"
"1535","P35844","YPL145C","S+KZC"
"1536","P35845","YAR042W","S+KZC"
"1537","P35994","YKL224C","S+KZC"
"1538","P35995","YKL222C","S+KZC"
"1539","P35996","YKL170W","S+KZC"
"1540","P35997","YKL156W","S+KZC"
"1541","P35999","YKL134C","S+KZC"
"1542","P36000","YKL135C","S+KZC"
"1543","P36002","YKL198C","S+KZC"
"1544","P36003","YKL171W","S+KZC"
"1545","P36004","YKL168C","S+KZC"
"1546","P36006","YKL129C","S+KZC"
"1547","P36008","YKL081W","S+KZC"
"1548","P36009","YKL078W","S+KZC"
"1549","P36010","YKL067W","S+KZC"
"1550","P36012","YKL049C","S+KZC"
"1551","P36013","YKL029C","S+KZC"
"1552","P36015","YKL196C","S+KZC"
"1553","P36016","YKL073W","S+KZC"
"1554","P36017","YOR089C","S+KZC"
"1555","P36018","YKR014C","S+KZC"
"1556","P36022","YKR054C","S+KZC"
"1557","P36023","YKR064W","S+KZC"
"1558","P36024","YKR072C","S+KZC"
"1559","P36025","YOR062C","S+KZC"
"1560","P36026","YKR098C","S+KZC"
"1561","P36027","YLR332W","S+KZC"
"1562","P36029","YKL174C","S+KZC"
"1563","P36032","YKL221W","S+KZC"
"1564","P36033","YKL220C","S+KZC"
"1565","P36035","YKL217W","S+KZC"
"1566","P36036","YKL214C","S+KZC"
"1567","P36037","YKL213C","S+KZC"
"1568","P36038","YKL208W","S+KZC"
"1569","P36039","YKL207W","S+KZC"
"1570","P36040","YKL206C","S+KZC"
"1571","P36041","YKL204W","S+KZC"
"1572","P36044","YKL201C","S+KZC"
"1573","P36046","YKL195W","S+KZC"
"1574","P36047","YKL193C","S+KZC"
"1575","P36048","YKL173W","S+KZC"
"1576","P36049","YKL172W","S+KZC"
"1577","P36051","YKL165C","S+KZC"
"1578","P36052","YKL162C","S+KZC"
"1579","P36053","YKL160W","S+KZC"
"1580","P36054","YKL159C","S+KZC"
"1581","P36056","YKL155C","S+KZC"
"1582","P36057","YKL154W","S+KZC"
"1583","P36059","YKL151C","S+KZC"
"1584","P36060","YKL150W","S+KZC"
"1585","P36062","YKL146W","S+KZC"
"1586","P36064","YKL137W","S+KZC"
"1587","P36068","YKL130C","S+KZC"
"1588","P36069","YKL128C","S+KZC"
"1589","P36070","YKL125W","S+KZC"
"1590","P36075","YKL090W","S+KZC"
"1591","P36076","YKL088W","S+KZC"
"1592","P36077","YKL086W","S+KZC"
"1593","P36078","YKL084W","S+KZC"
"1594","P36080","YKL082C","S+KZC"
"1595","P36081","YKL077W","S+KZC"
"1596","P36083","YKL075C","S+KZC"
"1597","P36084","YKL074C","S+KZC"
"1598","P36085","YKL072W","S+KZC"
"1599","P36087","YKL070W","S+KZC"
"1600","P36088","YKL069W","S+KZC"
"1601","P36090","YKL047W","S+KZC"
"1602","P36091","YKL046C","S+KZC"
"1603","P36093","YKL043W","S+KZC"
"1604","P36094","YKL042W","S+KZC"
"1605","P36095","YKL041W","S+KZC"
"1606","P36096","YKL034W","S+KZC"
"1607","P36097","YKL033W","S+KZC"
"1608","P36100","YKL028W","S+KZC"
"1609","P36101","YKL027W","S+KZC"
"1610","P36102","YKL025C","S+KZC"
"1611","P36104","YKL018W","S+KZC"
"1612","P36105","YKL006W","S+KZC"
"1613","P36106","YKL005C","S+KZC"
"1614","P36107","YKL004W","S+KZC"
"1615","P36108","YKL002W","S+KZC"
"1616","P36110","YKR013W","S+KZC"
"1617","P36111","YKR015C","S+KZC"
"1618","P36112","YKR016W","S+KZC"
"1619","P36113","YKR017C","S+KZC"
"1620","P36114","YKR018C","S+KZC"
"1621","P36115","YKR019C","S+KZC"
"1622","P36116","YKR020W","S+KZC"
"1623","P36118","YKR022C","S+KZC"
"1624","P36119","YKR023W","S+KZC"
"1625","P36120","YKR024C","S+KZC"
"1626","P36121","YKR025W","S+KZC"
"1627","P36122","YKR027W","S+KZC"
"1628","P36123","YKR028W","S+KZC"
"1629","P36124","YKR029C","S+KZC"
"1630","P36125","YKR030W","S+KZC"
"1631","P36126","YKR031C","S+KZC"
"1632","P36131","YKR037C","S+KZC"
"1633","P36132","YKR038C","S+KZC"
"1634","P36134","YKR041W","S+KZC"
"1635","P36135","YKR042W","S+KZC"
"1636","P36136","YKR043C","S+KZC"
"1637","P36137","YKR044W","S+KZC"
"1638","P36138","YKR045C","S+KZC"
"1639","P36139","YKR046C","S+KZC"
"1640","P36141","YKR049C","S+KZC"
"1641","P36142","YKR051W","S+KZC"
"1642","P36143","YKR058W","S+KZC"
"1643","P36144","YKR060W","S+KZC"
"1644","P36145","YKR062W","S+KZC"
"1645","P36146","YKR063C","S+KZC"
"1646","P36147","YKR065C","S+KZC"
"1647","P36148","YKR067W","S+KZC"
"1648","P36149","YKR068C","S+KZC"
"1649","P36150","YKR069W","S+KZC"
"1650","P36151","YKR070W","S+KZC"
"1651","P36152","YKR071C","S+KZC"
"1652","P36154","YKR074W","S+KZC"
"1653","P36155","YKR075C","S+KZC"
"1654","P36156","YKR076W","S+KZC"
"1655","P36159","YKR079C","S+KZC"
"1656","P36160","YKR081C","S+KZC"
"1657","P36161","YKR082W","S+KZC"
"1658","P36162","YKR083C","S+KZC"
"1659","P36163","YKR087C","S+KZC"
"1660","P36164","YKR088C","S+KZC"
"1661","P36165","YKR089C","S+KZC"
"1662","P36166","YKR090W","S+KZC"
"1663","P36167","YKR091W","S+KZC"
"1664","P36168","YKR096W","S+KZC"
"1665","P36169","YKR100C","S+KZC"
"1666","P36170","YKR102W","S+KZC"
"1667","P36224","YMR294W","S+KZC"
"1668","P36421","YGR185C","S+KZC"
"1669","P36516","YMR024W","S+KZC"
"1670","P36517","YLR439W","S+KZC"
"1671","P36519","YDR237W","S+KZC"
"1672","P36520","YNL284C","S+KZC"
"1673","P36521","YDL202W","S+KZC"
"1674","P36523","YLR312W-A","S+KZC"
"1675","P36525","YMR193W","S+KZC"
"1676","P36526","YBR282W","S+KZC"
"1677","P36527","YDR462W","S+KZC"
"1678","P36528","YNL252C","S+KZC"
"1679","P36531","YBR122C","S+KZC"
"1680","P36532","YBR268W","S+KZC"
"1681","P36533","YML009C","S+KZC"
"1682","P36534","YPL173W","S+KZC"
"1683","P36775","YBL022C","S+KZC"
"1684","P37012","YMR105C","S+KZC"
"1685","P37020","YJR040W","S+KZC"
"1686","P37254","YNR033W","S+KZC"
"1687","P37263","YCR087C-A","S+KZC"
"1688","P37267","YGR174C","S+KZC"
"1689","P37291","YLR058C","S+KZC"
"1690","P37292","YBR263W","S+KZC"
"1691","P37293","YGR147C","S+KZC"
"1692","P37296","YMR054W","S+KZC"
"1693","P37297","YLR305C","S+KZC"
"1694","P37298","YDR178W","S+KZC"
"1695","P37299","YHR001W-A","S+KZC"
"1696","P37302","YBR286W","S+KZC"
"1697","P37303","YEL046C","S+KZC"
"1698","P37366","YPR025C","S+KZC"
"1699","P37370","YLR337C","S+KZC"
"1700","P37838","YPL043W","S+KZC"
"1701","P37898","YHR047C","S+KZC"
"1702","P38009","YMR120C","S+KZC"
"1703","P38011","YMR116C","S+KZC"
"1704","P38013","YLR109W","S+KZC"
"1705","P38042","YBL084C","S+KZC"
"1706","P38061","YBL092W","S+KZC"
"1707","P38063","YBL068W","S+KZC"
"1708","P38064","YBL038W","S+KZC"
"1709","P38065","YBL037W","S+KZC"
"1710","P38066","YBL033C","S+KZC"
"1711","P38067","YBR006W","S+KZC"
"1712","P38068","YBR014C","S+KZC"
"1713","P38069","YBR015C","S+KZC"
"1714","P38070","YBR028C","S+KZC"
"1715","P38071","YBR026C","S+KZC"
"1716","P38072","YBR024W","S+KZC"
"1717","P38074","YBR034C","S+KZC"
"1718","P38075","YBR035C","S+KZC"
"1719","P38077","YBR039W","S+KZC"
"1720","P38079","YBR054W","S+KZC"
"1721","P38080","YBR059C","S+KZC"
"1722","P38081","YBR056W","S+KZC"
"1723","P38082","YBR066C","S+KZC"
"1724","P38084","YBR068C","S+KZC"
"1725","P38086","YBR073W","S+KZC"
"1726","P38087","YBR104W","S+KZC"
"1727","P38088","YBR121C","S+KZC"
"1728","P38089","YBR125C","S+KZC"
"1729","P38090","YBR132C","S+KZC"
"1730","P38109","YBR139W","S+KZC"
"1731","P38110","YBL088C","S+KZC"
"1732","P38111","YBR136W","S+KZC"
"1733","P38112","YBR142W","S+KZC"
"1734","P38114","YBR150C","S+KZC"
"1735","P38115","YBR149W","S+KZC"
"1736","P38116","YBR164C","S+KZC"
"1737","P38120","YBR146W","S+KZC"
"1738","P38121","YBL035C","S+KZC"
"1739","P38122","YBR176W","S+KZC"
"1740","P38123","YBR175W","S+KZC"
"1741","P38124","YBR008C","S+KZC"
"1742","P38125","YBR180W","S+KZC"
"1743","P38126","YBR186W","S+KZC"
"1744","P38127","YBR192W","S+KZC"
"1745","P38128","YBR182C","S+KZC"
"1746","P38129","YBR198C","S+KZC"
"1747","P38130","YBR205W","S+KZC"
"1748","P38131","YBR199W","S+KZC"
"1749","P38132","YBR202W","S+KZC"
"1750","P38137","YBR222C","S+KZC"
"1751","P38138","YBR229C","S+KZC"
"1752","P38139","YBR204C","S+KZC"
"1753","P38140","YBR239C","S+KZC"
"1754","P38141","YBR240C","S+KZC"
"1755","P38142","YBR241C","S+KZC"
"1756","P38143","YBR244W","S+KZC"
"1757","P38144","YBR245C","S+KZC"
"1758","P38145","YBR256C","S+KZC"
"1759","P38146","YBR264C","S+KZC"
"1760","P38147","YBR274W","S+KZC"
"1761","P38148","YBR276C","S+KZC"
"1762","P38149","YBR281C","S+KZC"
"1763","P38151","YBR233W","S+KZC"
"1764","P38152","YBR291C","S+KZC"
"1765","P38153","YBR288C","S+KZC"
"1766","P38155","YBR301W","S+KZC"
"1767","P38157","YBR297W","S+KZC"
"1768","P38162","YBL107C","S+KZC"
"1769","P38163","YBL106C","S+KZC"
"1770","P38164","YBL104C","S+KZC"
"1771","P38165","YBL103C","S+KZC"
"1772","P38166","YBL102W","S+KZC"
"1773","P38167","YBL101C","S+KZC"
"1774","P38169","YBL098W","S+KZC"
"1775","P38170","YBL097W","S+KZC"
"1776","P38172","YBL095W","S+KZC"
"1777","P38174","YBL091C","S+KZC"
"1778","P38175","YBL090W","S+KZC"
"1779","P38177","YBL086C","S+KZC"
"1780","P38179","YBL082C","S+KZC"
"1781","P38180","YBL081W","S+KZC"
"1782","P38181","YBL079W","S+KZC"
"1783","P38182","YBL078C","S+KZC"
"1784","P38187","YBL067C","S+KZC"
"1785","P38191","YBL049W","S+KZC"
"1786","P38193","YBL046W","S+KZC"
"1787","P38195","YBL043W","S+KZC"
"1788","P38196","YBL042C","S+KZC"
"1789","P38197","YBL036C","S+KZC"
"1790","P38198","YBL034C","S+KZC"
"1791","P38199","YBL032W","S+KZC"
"1792","P38200","YBL031W","S+KZC"
"1793","P38201","YBL029W","S+KZC"
"1794","P38202","YBL028C","S+KZC"
"1795","P38203","YBL026W","S+KZC"
"1796","P38204","YBL025W","S+KZC"
"1797","P38205","YBL024W","S+KZC"
"1798","P38206","YBL020W","S+KZC"
"1799","P38207","YBL019W","S+KZC"
"1800","P38208","YBL018C","S+KZC"
"1801","P38210","YBL006C","S+KZC"
"1802","P38211","YBR004C","S+KZC"
"1803","P38212","YBR005W","S+KZC"
"1804","P38213","YBR007C","S+KZC"
"1805","P38216","YBR016W","S+KZC"
"1806","P38217","YBR017C","S+KZC"
"1807","P38218","YBR022W","S+KZC"
"1808","P38219","YBR025C","S+KZC"
"1809","P38221","YBR029C","S+KZC"
"1810","P38222","YBR030W","S+KZC"
"1811","P38224","YBR040W","S+KZC"
"1812","P38225","YBR041W","S+KZC"
"1813","P38226","YBR042C","S+KZC"
"1814","P38227","YBR043C","S+KZC"
"1815","P38228","YBR044C","S+KZC"
"1816","P38230","YBR046C","S+KZC"
"1817","P38231","YBR047W","S+KZC"
"1818","P38235","YBR053C","S+KZC"
"1819","P38236","YBR057C","S+KZC"
"1820","P38237","YBR058C","S+KZC"
"1821","P38238","YBR061C","S+KZC"
"1822","P38239","YBR062C","S+KZC"
"1823","P38241","YBR065C","S+KZC"
"1824","P38242","YBR070C","S+KZC"
"1825","P38243","YBR071W","S+KZC"
"1826","P38244","YBR074W","S+KZC"
"1827","P38246","YBR076W","S+KZC"
"1828","P38247","YBR077C","S+KZC"
"1829","P38248","YBR078W","S+KZC"
"1830","P38249","YBR079C","S+KZC"
"1831","P38250","YBR086C","S+KZC"
"1832","P38251","YBR087W","S+KZC"
"1833","P38254","YBR094W","S+KZC"
"1834","P38255","YBR095C","S+KZC"
"1835","P38256","YBR096W","S+KZC"
"1836","P38257","YBR098W","S+KZC"
"1837","P38260","YBR101C","S+KZC"
"1838","P38261","YBR102C","S+KZC"
"1839","P38262","YBR103W","S+KZC"
"1840","P38263","YBR105C","S+KZC"
"1841","P38264","YBR106W","S+KZC"
"1842","P38265","YBR107C","S+KZC"
"1843","P38266","YBR108W","S+KZC"
"1844","P38270","YBR128C","S+KZC"
"1845","P38271","YBR129C","S+KZC"
"1846","P38272","YBR130C","S+KZC"
"1847","P38273","YBR131W","S+KZC"
"1848","P38274","YBR133C","S+KZC"
"1849","P38276","YBR137W","S+KZC"
"1850","P38277","YBR138C","S+KZC"
"1851","P38278","YBR141C","S+KZC"
"1852","P38281","YBR151W","S+KZC"
"1853","P38282","YBR152W","S+KZC"
"1854","P38283","YBR156C","S+KZC"
"1855","P38284","YBR157C","S+KZC"
"1856","P38285","YBR158W","S+KZC"
"1857","P38286","YBR159W","S+KZC"
"1858","P38287","YBR161W","S+KZC"
"1859","P38288","YBR162C","S+KZC"
"1860","P38289","YBR163W","S+KZC"
"1861","P38290","YBR165W","S+KZC"
"1862","P38291","YBR167C","S+KZC"
"1863","P38292","YBR168W","S+KZC"
"1864","P38293","YBR173C","S+KZC"
"1865","P38295","YBR177C","S+KZC"
"1866","P38297","YBR179C","S+KZC"
"1867","P38298","YBR183W","S+KZC"
"1868","P38300","YBR185C","S+KZC"
"1869","P38301","YBR187W","S+KZC"
"1870","P38304","YBR193C","S+KZC"
"1871","P38305","YBR194W","S+KZC"
"1872","P38306","YBR197C","S+KZC"
"1873","P38307","YBR201W","S+KZC"
"1874","P38308","YBR203W","S+KZC"
"1875","P38310","YBR207W","S+KZC"
"1876","P38313","YBR211C","S+KZC"
"1877","P38314","YBR214W","S+KZC"
"1878","P38315","YBR216C","S+KZC"
"1879","P38316","YBR217W","S+KZC"
"1880","P38318","YBR220C","S+KZC"
"1881","P38319","YBR223C","S+KZC"
"1882","P38321","YBR225W","S+KZC"
"1883","P38323","YBR227C","S+KZC"
"1884","P38324","YBR228W","S+KZC"
"1885","P38325","YBR230C","S+KZC"
"1886","P38326","YBR231C","S+KZC"
"1887","P38328","YBR234C","S+KZC"
"1888","P38329","YBR235W","S+KZC"
"1889","P38330","YBR238C","S+KZC"
"1890","P38331","YBR242W","S+KZC"
"1891","P38332","YBR246W","S+KZC"
"1892","P38333","YBR247C","S+KZC"
"1893","P38334","YBR254C","S+KZC"
"1894","P38335","YBR255W","S+KZC"
"1895","P38336","YBR257W","S+KZC"
"1896","P38337","YBR258C","S+KZC"
"1897","P38338","YBR259W","S+KZC"
"1898","P38339","YBR260C","S+KZC"
"1899","P38340","YBR261C","S+KZC"
"1900","P38341","YBR262C","S+KZC"
"1901","P38342","YBR265W","S+KZC"
"1902","P38344","YBR267W","S+KZC"
"1903","P38345","YBR269C","S+KZC"
"1904","P38346","YBR270C","S+KZC"
"1905","P38347","YBR271W","S+KZC"
"1906","P38348","YBR272C","S+KZC"
"1907","P38349","YBR273C","S+KZC"
"1908","P38351","YBR279W","S+KZC"
"1909","P38352","YBR280C","S+KZC"
"1910","P38353","YBR283C","S+KZC"
"1911","P38355","YBR287W","S+KZC"
"1912","P38356","YBR290W","S+KZC"
"1913","P38358","YBR293W","S+KZC"
"1914","P38359","YBR294W","S+KZC"
"1915","P38361","YBR296C","S+KZC"
"1916","P38374","YBR162W-A","S+KZC"
"1917","P38426","YMR261C","S+KZC"
"1918","P38427","YML100W","S+KZC"
"1919","P38428","YMR264W","S+KZC"
"1920","P38429","YMR263W","S+KZC"
"1921","P38430","YMR262W","S+KZC"
"1922","P38431","YPR041W","S+KZC"
"1923","P38439","YOR123C","S+KZC"
"1924","P38523","YOR232W","S+KZC"
"1925","P38555","YER031C","S+KZC"
"1926","P38590","YNL053W","S+KZC"
"1927","P38604","YHR072W","S+KZC"
"1928","P38615","YMR139W","S+KZC"
"1929","P38616","YNL160W","S+KZC"
"1930","P38620","YER099C","S+KZC"
"1931","P38623","YLR248W","S+KZC"
"1932","P38624","YJL001W","S+KZC"
"1933","P38625","YMR217W","S+KZC"
"1934","P38626","YIL043C","S+KZC"
"1935","P38628","YEL058W","S+KZC"
"1936","P38629","YNL290W","S+KZC"
"1937","P38630","YOR217W","S+KZC"
"1938","P38631","YLR342W","S+KZC"
"1939","P38632","YEL019C","S+KZC"
"1940","P38633","YGL127C","S+KZC"
"1941","P38634","YLR079W","S+KZC"
"1942","P38635","YFR025C","S+KZC"
"1943","P38636","YNL259C","S+KZC"
"1944","P38637","YIR011C","S+KZC"
"1945","P38682","YER122C","S+KZC"
"1946","P38687","YPL243W","S+KZC"
"1947","P38688","YPL210C","S+KZC"
"1948","P38689","YHL011C","S+KZC"
"1949","P38691","YHR082C","S+KZC"
"1950","P38692","YHR102W","S+KZC"
"1951","P38693","YHR215W","S+KZC"
"1952","P38694","YHR039C","S+KZC"
"1953","P38695","YHR096C","S+KZC"
"1954","P38696","YHR129C","S+KZC"
"1955","P38697","YHR216W","S+KZC"
"1956","P38698","YHR201C","S+KZC"
"1957","P38699","YHR178W","S+KZC"
"1958","P38700","YHL019C","S+KZC"
"1959","P38701","YHL015W","S+KZC"
"1960","P38702","YHR002W","S+KZC"
"1961","P38703","YHL003C","S+KZC"
"1962","P38704","YHR006W","S+KZC"
"1963","P38705","YHR011W","S+KZC"
"1964","P38707","YHR019C","S+KZC"
"1965","P38708","YHR020W","S+KZC"
"1966","P38710","YHR046C","S+KZC"
"1967","P38711","YHR021C","S+KZC"
"1968","P38712","YHR065C","S+KZC"
"1969","P38713","YHR073W","S+KZC"
"1970","P38715","YHR104W","S+KZC"
"1971","P38716","YHR112C","S+KZC"
"1972","P38717","YNL257C","S+KZC"
"1973","P38719","YHR169W","S+KZC"
"1974","P38720","YHR183W","S+KZC"
"1975","P38724","YHL047C","S+KZC"
"1976","P38725","YHL046C","S+KZC"
"1977","P38731","YHL040C","S+KZC"
"1978","P38732","YHL039W","S+KZC"
"1979","P38734","YHL036W","S+KZC"
"1980","P38736","YHL031C","S+KZC"
"1981","P38737","YHL030W","S+KZC"
"1982","P38738","YHL029C","S+KZC"
"1983","P38739","YHL028W","S+KZC"
"1984","P38740","YHL026C","S+KZC"
"1985","P38741","YHL024W","S+KZC"
"1986","P38742","YHL023C","S+KZC"
"1987","P38744","YHL018W","S+KZC"
"1988","P38746","YHL014C","S+KZC"
"1989","P38747","YHL013C","S+KZC"
"1990","P38748","YHL010C","S+KZC"
"1991","P38749","YHL009C","S+KZC"
"1992","P38750","YHL008C","S+KZC"
"1993","P38751","YHL006C","S+KZC"
"1994","P38753","YHL002W","S+KZC"
"1995","P38754","YHL001W","S+KZC"
"1996","P38755","YHR001W","S+KZC"
"1997","P38757","YHR004C","S+KZC"
"1998","P38758","YHR009C","S+KZC"
"1999","P38759","YHR012W","S+KZC"
"2000","P38760","YHR015W","S+KZC"
"2001","P38763","YHR022C","S+KZC"
"2002","P38764","YHR027C","S+KZC"
"2003","P38765","YHR029C","S+KZC"
"2004","P38766","YHR031C","S+KZC"
"2005","P38767","YHR032W","S+KZC"
"2006","P38768","YHR034C","S+KZC"
"2007","P38769","YHR035W","S+KZC"
"2008","P38770","YHR036W","S+KZC"
"2009","P38771","YHR038W","S+KZC"
"2010","P38772","YHR040W","S+KZC"
"2011","P38773","YHR043C","S+KZC"
"2012","P38774","YHR044C","S+KZC"
"2013","P38775","YHR045W","S+KZC"
"2014","P38776","YHR048W","S+KZC"
"2015","P38777","YHR049W","S+KZC"
"2016","P38778","YHR050W","S+KZC"
"2017","P38779","YHR052W","S+KZC"
"2018","P38782","YHR058C","S+KZC"
"2019","P38783","YHR059W","S+KZC"
"2020","P38784","YHR060W","S+KZC"
"2021","P38785","YHR061C","S+KZC"
"2022","P38786","YHR062C","S+KZC"
"2023","P38787","YHR063C","S+KZC"
"2024","P38788","YHR064C","S+KZC"
"2025","P38789","YHR066W","S+KZC"
"2026","P38790","YHR067W","S+KZC"
"2027","P38791","YHR068W","S+KZC"
"2028","P38792","YHR069C","S+KZC"
"2029","P38793","YHR070W","S+KZC"
"2030","P38794","YHR071W","S+KZC"
"2031","P38795","YHR074W","S+KZC"
"2032","P38796","YHR075C","S+KZC"
"2033","P38797","YHR076W","S+KZC"
"2034","P38798","YHR077C","S+KZC"
