Orthogroup	S.cerevisiae	C.glabrata	K.marxianus	Z.rouxii
OG0002464	P41546	tr|Q6FLY3|Q6FLY3_CANGA	KMXK_0B03180	tr|C5DX88|C5DX88_ZYGRC
OG0002465	Q08496	tr|Q6FMS5|Q6FMS5_CANGA	KMXK_0A04360	tr|C5E0P3|C5E0P3_ZYGRC
OG0002466	P41819	sp|Q6FKY3|DIM1_CANGA	KMXK_0G00240	tr|C5DWX1|C5DWX1_ZYGRC
OG0002467	P47027	tr|Q6FLH3|Q6FLH3_CANGA	KMXK_0C01680	tr|C5E0S3|C5E0S3_ZYGRC
OG0002468	P47138	sp|Q6FWM1|DPH4_CANGA	KMXK_0A07190	tr|C5DYV1|C5DYV1_ZYGRC
OG0002469	P38791	sp|Q6FRN2|DHYS_CANGA	KMXK_0H03670	tr|C5DU70|C5DU70_ZYGRC
OG0002470	P69771	tr|Q6FLI4|Q6FLI4_CANGA	KMXK_0D02560	tr|C5DV49|C5DV49_ZYGRC
OG0002471	Q03652	sp|Q6FUF9|DML1_CANGA	KMXK_0D04470	tr|C5DY13|C5DY13_ZYGRC
OG0002472	P40553	tr|Q6FWQ1|Q6FWQ1_CANGA	KMXK_0E04100	tr|C5DT39|C5DT39_ZYGRC
OG0002473	P38821	tr|Q6FR33|Q6FR33_CANGA	KMXK_0G04090	tr|C5DY29|C5DY29_ZYGRC
OG0002474	P14284	tr|Q6FK10|Q6FK10_CANGA	KMXK_0C04500	tr|C5DXU0|C5DXU0_ZYGRC
OG0002475	Q06063	tr|Q6FJ17|Q6FJ17_CANGA	KMXK_0D04750	tr|C5DS07|C5DS07_ZYGRC
OG0002476	P47128	sp|Q6FJ46|EAF6_CANGA	KMXK_0H01240	tr|C5E111|C5E111_ZYGRC
OG0002477	P32525	tr|Q6FUL8|Q6FUL8_CANGA	KMXK_0A07040	tr|C5DUM6|C5DUM6_ZYGRC
OG0002478	Q02202	tr|Q6FLM6|Q6FLM6_CANGA	KMXK_0C06240	tr|C5DQM7|C5DQM7_ZYGRC
OG0002479	P40526	tr|Q6FLU0|Q6FLU0_CANGA	KMXK_0H01850	tr|C5DWQ9|C5DWQ9_ZYGRC
OG0002480	Q05031	tr|Q6FJM7|Q6FJM7_CANGA	KMXK_0F02860	tr|C5DYD7|C5DYD7_ZYGRC
OG0002481	P38859	tr|Q6FQZ6|Q6FQZ6_CANGA	KMXK_0A05340	tr|C5DTV1|C5DTV1_ZYGRC
OG0002482	Q12429	tr|Q6FJQ0|Q6FJQ0_CANGA	KMXK_0E05180	tr|C5DYL5|C5DYL5_ZYGRC
OG0002483	P38332	tr|Q6FWZ7|Q6FWZ7_CANGA	KMXK_0B04230	tr|C5E1K9|C5E1K9_ZYGRC
OG0002484	P14020	tr|Q6FSK1|Q6FSK1_CANGA	KMXK_0D04940	tr|C5DUS4|C5DUS4_ZYGRC
OG0002485	Q05521	tr|Q6FSE5|Q6FSE5_CANGA	KMXK_0C04090	tr|C5E0Y6|C5E0Y6_ZYGRC
OG0002486	P36108	tr|Q6FN46|Q6FN46_CANGA	KMXK_0C00750	tr|C5DQM2|C5DQM2_ZYGRC
OG0002487	Q07505	tr|Q6FL14|Q6FL14_CANGA	KMXK_0B03920	tr|C5DQ28|C5DQ28_ZYGRC
OG0002488	P36037	tr|Q6FNF8|Q6FNF8_CANGA	KMXK_0C00290	tr|C5DZ91|C5DZ91_ZYGRC
OG0002489	P32461	sp|Q6FPD9|DPH2_CANGA	KMXK_0A02050	tr|C5DS32|C5DS32_ZYGRC
OG0002490	Q06819	sp|Q6FMI2|DIB1_CANGA	KMXK_0G03220	tr|C5DUH7|C5DUH7_ZYGRC
OG0002491	P32469	sp|Q6FXK9|DPH5_CANGA	KMXK_0D03130	tr|C5E4E4|C5E4E4_ZYGRC
OG0002492	P53063	sp|Q6FWY5|DXO_CANGA	KMXK_0H03760	tr|C5E4X9|C5E4X9_ZYGRC
OG0002493	P39995	sp|Q6FJV4|EAF5_CANGA	KMXK_0A02770	tr|C5E476|C5E476_ZYGRC
OG0002494	P07807	tr|Q6FPH0|Q6FPH0_CANGA	KMXK_0B07920	tr|C5DXQ4|C5DXQ4_ZYGRC
OG0002495	P21951	sp|Q6FNY7|DPOE_CANGA	KMXK_0A07370	tr|C5DYX0|C5DYX0_ZYGRC
OG0002496	P38121	tr|Q6FUD5|Q6FUD5_CANGA	KMXK_0H03440	tr|C5E0J3|C5E0J3_ZYGRC
OG0002497	P40077	sp|Q6FN70|DSE1_CANGA	KMXK_0H04090	tr|C5E431|C5E431_ZYGRC
OG0002498	P38844	sp|Q6FT26|DSE2_CANGA	KMXK_0B07710	tr|C5DZK1|C5DZK1_ZYGRC
OG0002499	P53095	tr|Q6FWA0|Q6FWA0_CANGA	KMXK_0B02380	tr|C5E1A7|C5E1A7_ZYGRC
OG0002500	Q04110	tr|Q6FMQ5|Q6FMQ5_CANGA	KMXK_0D06110	tr|C5DWB4|C5DWB4_ZYGRC
OG0002501	P54858	tr|Q6FT57|Q6FT57_CANGA	KMXK_0B00410	tr|C5DZS5|C5DZS5_ZYGRC
OG0002502	P47120	sp|Q6FUV3|DOHH_CANGA	KMXK_0C00430	tr|C5DZ78|C5DZ78_ZYGRC
OG0002503	Q04603	sp|Q6FXD0|DPB4_CANGA	KMXK_0D01750	tr|C5DVH9|C5DVH9_ZYGRC
OG0002504	P53255	tr|Q6FTE8|Q6FTE8_CANGA	KMXK_0E04300	tr|C5DTZ0|C5DTZ0_ZYGRC
OG0002505	P40516	tr|Q6FIQ2|Q6FIQ2_CANGA	KMXK_0H01700	tr|C5DTH0|C5DTH0_ZYGRC
OG0002506	Q05871	tr|Q6FUA2|Q6FUA2_CANGA	KMXK_0A06440	tr|C5DWF9|C5DWF9_ZYGRC
OG0002507	P47144	tr|Q6FWK5|Q6FWK5_CANGA	KMXK_0F01360	tr|C5DUW6|C5DUW6_ZYGRC
OG0002508	P38737	tr|Q6FV91|Q6FV91_CANGA	KMXK_0B04550	tr|C5DZW8|C5DZW8_ZYGRC
OG0002509	P39985	tr|Q6FXI9|Q6FXI9_CANGA	KMXK_0G00310	tr|C5DWX7|C5DWX7_ZYGRC
OG0002510	P32892	sp|Q6FW42|DRS1_CANGA	KMXK_0C02290	tr|C5DRQ3|C5DRQ3_ZYGRC
OG0002511	Q06349	tr|Q6FY52|Q6FY52_CANGA	KMXK_0B06300	tr|C5DY42|C5DY42_ZYGRC
OG0002512	P38836	tr|Q6FT18|Q6FT18_CANGA	KMXK_0D03800	tr|C5DZM0|C5DZM0_ZYGRC
OG0002513	P34216	tr|Q6FUC2|Q6FUC2_CANGA	KMXK_0H00960	tr|C5E146|C5E146_ZYGRC
OG0002514	P40318	tr|Q6FPN1|Q6FPN1_CANGA	KMXK_0D03700	tr|C5DWL9|C5DWL9_ZYGRC
OG0002515	P54861	tr|Q6FVT2|Q6FVT2_CANGA	KMXK_0B01220	tr|C5DRP3|C5DRP3_ZYGRC
OG0002516	Q04089	sp|Q6FNM5|DOT1_CANGA	KMXK_0D06180	tr|C5DWA5|C5DWA5_ZYGRC
OG0002517	Q12432	sp|Q6FN68|EAF3_CANGA	KMXK_0H04070	tr|C5E433|C5E433_ZYGRC
OG0002518	P32471	tr|Q6FTV4|Q6FTV4_CANGA	KMXK_0D00420	tr|C5E089|C5E089_ZYGRC
OG0002519	P04819	tr|Q6FQU8|Q6FQU8_CANGA	KMXK_0E03260	tr|C5DYA8|C5DYA8_ZYGRC
OG0002520	Q03921	tr|Q6FXA2|Q6FXA2_CANGA	KMXK_0D01090	tr|C5DVE0|C5DVE0_ZYGRC
OG0002521	P15801	tr|Q6FV24|Q6FV24_CANGA	KMXK_0E01190	tr|C5DV65|C5DV65_ZYGRC
OG0002522	P36041	tr|Q6FNE8|Q6FNE8_CANGA	KMXK_0C00460	tr|C5DZ75|C5DZ75_ZYGRC
OG0002523	Q08387	sp|Q6FVD8|DNLI4_CANGA	KMXK_0G00430	tr|C5DTE3|C5DTE3_ZYGRC
OG0002524	P24482	sp|Q6FSK8|DPB2_CANGA	KMXK_0B05160	tr|C5DUT2|C5DUT2_ZYGRC
OG0002525	P36049	tr|Q6FLV6|Q6FLV6_CANGA	KMXK_0A04740	tr|C5E174|C5E174_ZYGRC
OG0002526	Q03212	tr|Q6FTY7|Q6FTY7_CANGA	KMXK_0B06850	tr|C5DPY6|C5DPY6_ZYGRC
OG0002527	P40487	sp|Q6FTG1|DPH1_CANGA	KMXK_0G01540	tr|C5DUZ6|C5DUZ6_ZYGRC
OG0002528	P38213	tr|F2Z663|F2Z663_CANGA	KMXK_0F04430	tr|C5DPN3|C5DPN3_ZYGRC
OG0002529	P31385	tr|Q6FRS3|Q6FRS3_CANGA	KMXK_0B03720	tr|C5DVC9|C5DVC9_ZYGRC
OG0002530	P53911	tr|Q6FMA2|Q6FMA2_CANGA	KMXK_0A02650	tr|C5DZN8|C5DZN8_ZYGRC
OG0002531	P35195	tr|Q6FWM9|Q6FWM9_CANGA	KMXK_0F04550	tr|C5DPM1|C5DPM1_ZYGRC
OG0002532	Q3E840	sp|Q6FXS6|DPH3_CANGA	KMXK_0G03700	tr|C5DQV9|C5DQV9_ZYGRC
OG0002533	P38347	tr|Q6FQ37|Q6FQ37_CANGA	KMXK_0B04650	tr|C5E1F4|C5E1F4_ZYGRC
OG0002534	P47163	tr|Q6FK74|Q6FK74_CANGA	KMXK_0D05380	tr|C5DS94|C5DS94_ZYGRC
OG0002535	P40319	tr|Q6FT73|Q6FT73_CANGA	KMXK_0E02740	tr|C5DRC9|C5DRC9_ZYGRC
OG0002536	P39013	sp|Q6FP98|END3_CANGA	KMXK_0C03820	tr|C5DUA9|C5DUA9_ZYGRC
OG0002537	P42842	tr|Q6FVI7|Q6FVI7_CANGA	KMXK_0H01630	tr|C5DSU0|C5DSU0_ZYGRC
OG0002538	Q04406	tr|Q6FMR6|Q6FMR6_CANGA	KMXK_0A07910	tr|C5DZ25|C5DZ25_ZYGRC
OG0002539	P32626	sp|Q6FLR5|ENOPH_CANGA	KMXK_0A01350	sp|C5DXI0|ENOPH_ZYGRC
OG0002540	P46984	sp|Q6FUH3|GON7_CANGA	KMXK_0A04940	tr|C5DWR9|C5DWR9_ZYGRC
OG0002541	Q08651	tr|Q6FMC5|Q6FMC5_CANGA	KMXK_0H00150	tr|C5DXT0|C5DXT0_ZYGRC
OG0002542	Q3E705	sp|Q6FTQ8|EFG1P_CANGA	KMXK_0A03450	tr|C5DVK0|C5DVK0_ZYGRC
OG0002543	Q03653	sp|Q6FUG0|EFR3_CANGA	KMXK_0D04500	tr|C5DY16|C5DY16_ZYGRC
OG0002544	Q02908	tr|Q6FJH0|Q6FJH0_CANGA	KMXK_0A00600	tr|C5DP18|C5DP18_ZYGRC
OG0002545	P40564	tr|Q6FPQ5|Q6FPQ5_CANGA	KMXK_0E03760	tr|C5DZF0|C5DZF0_ZYGRC
OG0002546	P25615	tr|Q6FKY2|Q6FKY2_CANGA	KMXK_0A03000	tr|C5E495|C5E495_ZYGRC
OG0002547	P33317	sp|Q6FKQ6|DUT_CANGA	KMXK_0E04610	tr|C5DWJ5|C5DWJ5_ZYGRC
OG0002548	P14741	tr|F2Z6A2|F2Z6A2_CANGA	KMXK_0B01510	tr|C5DX34|C5DX34_ZYGRC
OG0002549	P06103	sp|Q6FM92|EIF3B_CANGA	KMXK_0C05920	tr|C5DSK4|C5DSK4_ZYGRC
OG0002550	P53073	tr|Q6FRK0|Q6FRK0_CANGA	KMXK_0C06990	tr|C5E4W1|C5E4W1_ZYGRC
OG0002551	Q04868	tr|Q6FIJ3|Q6FIJ3_CANGA	KMXK_0A03320	tr|C5DSL6|C5DSL6_ZYGRC
OG0002552	P02994	tr|Q6FMI3|Q6FMI3_CANGA	KMXK_0G03180	tr|C5DUH3|C5DUH3_ZYGRC
OG0002553	Q06200	tr|Q6FK66|Q6FK66_CANGA	KMXK_0E01720	tr|C5DS68|C5DS68_ZYGRC
OG0002554	Q05775	sp|Q6FY89|EIF3J_CANGA	KMXK_0E03070	tr|C5DQS6|C5DQS6_ZYGRC
OG0002555	P39998	tr|Q6FJV2|Q6FJV2_CANGA	KMXK_0A02840	tr|C5E481|C5E481_ZYGRC
OG0002556	Q05902	tr|Q6FR69|Q6FR69_CANGA	KMXK_0A06280	tr|C5DWH7|C5DWH7_ZYGRC
OG0002557	P53200	tr|Q6FTV5|Q6FTV5_CANGA	KMXK_0A03910	tr|C5E085|C5E085_ZYGRC
OG0002558	P33412	tr|Q6FTU6|Q6FTU6_CANGA	KMXK_0D00570	tr|C5E0A5|C5E0A5_ZYGRC
OG0002559	P38249	sp|Q6FK21|EIF3A_CANGA	KMXK_0C05490	tr|C5E0H4|C5E0H4_ZYGRC
OG0002560	P32501	tr|Q6FX17|Q6FX17_CANGA	KMXK_0E01360	tr|C5DQ76|C5DQ76_ZYGRC
OG0002561	P53235	tr|Q6FMY0|Q6FMY0_CANGA	KMXK_0C06260	tr|C5DRF5|C5DRF5_ZYGRC
OG0002562	P32801	tr|Q6FIM8|Q6FIM8_CANGA	KMXK_0D03370	tr|C5DWZ8|C5DWZ8_ZYGRC
OG0002563	P43605	sp|Q6FQ55|ECO1_CANGA	KMXK_0E02310	tr|C5E1R1|C5E1R1_ZYGRC
OG0002564	Q12050	tr|Q6FMB4|Q6FMB4_CANGA	KMXK_0B05810	tr|C5DW27|C5DW27_ZYGRC
OG0002565	P38732	tr|Q6FV80|Q6FV80_CANGA	KMXK_0G04230	tr|C5DZV4|C5DZV4_ZYGRC
OG0002566	Q06337	tr|Q6FY62|Q6FY62_CANGA	KMXK_0B04610	tr|C5DY22|C5DY22_ZYGRC
OG0002567	P09032	tr|Q6FMD7|Q6FMD7_CANGA	KMXK_0C04650	tr|C5DYC6|C5DYC6_ZYGRC
OG0002568	P47133	tr|Q6FJ51|Q6FJ51_CANGA	KMXK_0H01130	tr|C5E120|C5E120_ZYGRC
OG0002569	P35193, Q12292		KMXK_0C03920	tr|C5DR64|C5DR64_ZYGRC
OG0002570	P38182	sp|Q6FXR8|ATG8_CANGA	KMXK_0G03760	tr|C5DQW5|C5DQW5_ZYGRC
OG0002571	Q12142	sp|Q6FQT7|ATG9_CANGA	KMXK_0H02370	tr|C5DY94|C5DY94_ZYGRC
OG0002572	P31384	sp|Q6FRT2|CCR4_CANGA	KMXK_0C02350	tr|C5DVB2|C5DVB2_ZYGRC
OG0002573	P40202	sp|Q6FU61|CCS1_CANGA	KMXK_0D03340	tr|C5DWZ5|C5DWZ5_ZYGRC
OG0002574	Q12359	tr|Q6FYA8|Q6FYA8_CANGA	KMXK_0B06000	tr|C5DQR7|C5DQR7_ZYGRC
OG0002575	O13547	tr|Q6FRS0|Q6FRS0_CANGA	KMXK_0H00590	tr|C5DRY9|C5DRY9_ZYGRC
OG0002576	P22135	tr|Q6FSV6|Q6FSV6_CANGA	KMXK_0A04900	tr|C5DWR5|C5DWR5_ZYGRC
OG0002577	P81451	tr|B4UN19|B4UN19_CANGA	KMXK_0F04310	tr|C5DR56|C5DR56_ZYGRC
OG0002578	P38273	sp|Q6FX38|CCZ1_CANGA	KMXK_0B07310	tr|C5DUJ1|C5DUJ1_ZYGRC
OG0002579	P53722	sp|Q6FIY7|ATP23_CANGA	KMXK_0C04830	tr|C5DVR0|C5DVR0_ZYGRC
OG0002580	Q03153	sp|Q6FPT1|ATP25_CANGA	KMXK_0C05670	sp|C5DZB2|ATP25_ZYGRC
OG0002581	P21306	tr|Q6FXW3|Q6FXW3_CANGA	KMXK_0G00300	tr|C5DWX6|C5DWX6_ZYGRC
OG0002582	P09798	tr|Q6FKP5|Q6FKP5_CANGA	KMXK_0D03910	tr|C5DUQ7|C5DUQ7_ZYGRC
OG0002583	P34243	tr|Q6FKP9|Q6FKP9_CANGA	KMXK_0F04180	tr|C5DUR6|C5DUR6_ZYGRC
OG0002584	P18411	tr|Q6FWU8|Q6FWU8_CANGA	KMXK_0B03600	tr|C5E1T9|C5E1T9_ZYGRC
OG0002585	P38783	sp|Q6FW13|FYV4_CANGA	KMXK_0C04380	tr|C5DU52|C5DU52_ZYGRC
OG0002586	Q08271	tr|Q6FVI6|Q6FVI6_CANGA	KMXK_0D04210	tr|C5DST8|C5DST8_ZYGRC
OG0002587	P06174	tr|Q6FKJ8|Q6FKJ8_CANGA	KMXK_0A05470	tr|C5DPU3|C5DPU3_ZYGRC
OG0002588	P22023	tr|Q6FV20|Q6FV20_CANGA	KMXK_0E01120	tr|C5DV72|C5DV72_ZYGRC
OG0002589	P33399	tr|Q6FRJ9|Q6FRJ9_CANGA	KMXK_0F01140	tr|C5DRC5|C5DRC5_ZYGRC
OG0002590	P08638	tr|Q6FSH9|Q6FSH9_CANGA	KMXK_0F01220	tr|C5DUV2|C5DUV2_ZYGRC
OG0002591	Q02796	sp|Q6FJC7|LGE1_CANGA	KMXK_0C03500	tr|C5DXY4|C5DXY4_ZYGRC
OG0002592	P32875	sp|Q6FPY0|LIPA_CANGA	KMXK_0E00360	sp|C5DY71|LIPA_ZYGRC
OG0002593	P43586	sp|Q6FUM3|LOC1_CANGA	KMXK_0H04440	tr|C5DXE6|C5DXE6_ZYGRC
OG0002594	Q04396	tr|Q6FNW8|Q6FNW8_CANGA	KMXK_0A07740	tr|C5DZ09|C5DZ09_ZYGRC
OG0002595	Q04005	sp|Q6FU75|LIC4_CANGA	KMXK_0E05570	tr|C5DSY9|C5DSY9_ZYGRC
OG0002596	P38162	tr|Q6FJ44|Q6FJ44_CANGA	KMXK_0H01270	tr|C5DYI7|C5DYI7_ZYGRC
OG0002597	Q10740	sp|Q6FTM0|LKHA4_CANGA	KMXK_0G01580	tr|C5DUZ2|C5DUZ2_ZYGRC
OG0002598	Q06508	tr|Q6FVW8|Q6FVW8_CANGA	KMXK_0H02850	tr|C5DQZ7|C5DQZ7_ZYGRC
OG0002599	P36146	tr|Q6FJJ2|Q6FJJ2_CANGA	KMXK_0A05010	tr|C5DUX3|C5DUX3_ZYGRC
OG0002600	Q04377	sp|Q6FNX0|LCD1_CANGA	KMXK_0A07680	tr|C5DZ03|C5DZ03_ZYGRC
OG0002601	Q12502	tr|Q6FUT8|Q6FUT8_CANGA	KMXK_0E01300	tr|C5DVA9|C5DVA9_ZYGRC
OG0002602	P07264	tr|Q6FXV1|Q6FXV1_CANGA	KMXK_0E01590	tr|C5E063|C5E063_ZYGRC
OG0002603	P50087	tr|Q6FTY1|Q6FTY1_CANGA	KMXK_0F05300	tr|C5DS96|C5DS96_ZYGRC
OG0002604	Q03579	sp|Q6FIK6|LIP1_CANGA	KMXK_0A03410	tr|C5DVJ6|C5DVJ6_ZYGRC
OG0002605	P40079	tr|Q6FN73|Q6FN73_CANGA	KMXK_0H04130	tr|C5E190|C5E190_ZYGRC
OG0002606	P38210	tr|Q6FVD5|Q6FVD5_CANGA	KMXK_0E01630	tr|C5E067|C5E067_ZYGRC
OG0002607	Q02799	tr|Q6FJC6|Q6FJC6_CANGA	KMXK_0C03480	tr|C5DXY2|C5DXY2_ZYGRC
OG0002608	P42838	tr|Q6FW73|Q6FW73_CANGA	KMXK_0B06340	tr|C5DSV6|C5DSV6_ZYGRC
OG0002609	P04173	sp|O14429|LEU3_CANGA	KMXK_0B04960	sp|Q96WI0|LEU3_ZYGRC
OG0002610	Q96VH5	tr|Q6FX67|Q6FX67_CANGA	KMXK_0A08250	tr|C5DZ59|C5DZ59_ZYGRC
OG0002611	P43594	tr|Q6FM68|Q6FM68_CANGA	KMXK_0A03110	tr|C5E1T2|C5E1T2_ZYGRC
OG0002612	P50107	tr|Q6FKY4|Q6FKY4_CANGA	KMXK_0F01010	tr|C5DVS6|C5DVS6_ZYGRC
OG0002613	Q06005	tr|Q6FSR5|Q6FSR5_CANGA	KMXK_0E05770	tr|C5DT09|C5DT09_ZYGRC
OG0002614	P39946	sp|Q6FWT9|LIS1_CANGA	KMXK_0D04400	sp|C5DY07|LIS1_ZYGRC
OG0002615	P53153	sp|Q6FS62|LCL3_CANGA	KMXK_0F02120	sp|C5DZY8|LCL3_ZYGRC
OG0002616	Q12342	tr|Q6FQT5|Q6FQT5_CANGA	KMXK_0H02330	tr|C5DY90|C5DY90_ZYGRC
OG0002617	P38341	sp|Q6FQ45|MIC12_CANGA	KMXK_0E00970	sp|C5DRK2|MIC12_ZYGRC
OG0002618	P36112	sp|Q6FSU7|MIC60_CANGA	KMXK_0A02320	tr|C5E1J1|C5E1J1_ZYGRC
OG0002619	P38873	tr|Q6FIL8|Q6FIL8_CANGA	KMXK_0A03630	tr|C5DVL9|C5DVL9_ZYGRC
OG0002620	P53158	sp|Q6FS55|KXD1_CANGA	KMXK_0F01990	sp|C5E000|KXD1_ZYGRC
OG0002621	P36046	sp|Q6FW26|MIA40_CANGA	KMXK_0A02160	tr|C5DS42|C5DS42_ZYGRC
OG0002622	Q08045	sp|Q6FIV0|LCL2_CANGA	KMXK_0D01940	sp|C5DVG0|LCL2_ZYGRC
OG0002623	P39518	tr|Q6FRD4|Q6FRD4_CANGA	KMXK_0H03120	tr|C5DWJ0|C5DWJ0_ZYGRC
OG0002624	P40970	tr|Q6FT63|Q6FT63_CANGA	KMXK_0A02400	tr|C5E025|C5E025_ZYGRC
OG0002625	Q04081	sp|Q6FUI5|LCMT1_CANGA	KMXK_0D06280	tr|C5DW96|C5DW96_ZYGRC
OG0002626	Q01846	tr|Q6FP53|Q6FP53_CANGA	KMXK_0A02490	tr|C5E0L6|C5E0L6_ZYGRC
OG0002627	P35191	tr|Q6FPF5|Q6FPF5_CANGA	KMXK_0B07830	tr|C5DXB3|C5DXB3_ZYGRC
OG0002628	P18409	sp|Q6FWV0|MDM10_CANGA	KMXK_0B03630	sp|C5E1U4|MDM10_ZYGRC
OG0002629	P53083	sp|Q6FQE0|MDM34_CANGA	KMXK_0C06770	sp|C5E4T8|MDM34_ZYGRC
OG0002630	O60200	tr|Q6FIN3|Q6FIN3_CANGA	KMXK_0G02690	tr|C5E4K1|C5E4K1_ZYGRC
OG0002631	Q06820	tr|Q6FMI1|Q6FMI1_CANGA	KMXK_0B07230	tr|C5DUI2|C5DUI2_ZYGRC
OG0002632	P15807	tr|Q6FMN1|Q6FMN1_CANGA	KMXK_0A06150	tr|C5DT33|C5DT33_ZYGRC
OG0002633	P39014	tr|Q6FLT6|Q6FLT6_CANGA	KMXK_0D03610	tr|C5DWQ5|C5DWQ5_ZYGRC
OG0002634	Q02455	tr|Q6FTH3|Q6FTH3_CANGA	KMXK_0C07200	tr|C5DZR5|C5DZR5_ZYGRC
OG0002635	P41800	sp|Q6FVT7|MMM1_CANGA	KMXK_0C02310	sp|C5DRQ1|MMM1_ZYGRC
OG0002636	Q3E772, Q3E827	tr|Q6FQ66|Q6FQ66_CANGA, tr|Q6FSY8|Q6FSY8_CANGA		
OG0002637	Q06436	tr|Q6FPD0|Q6FPD0_CANGA	KMXK_0A02220	tr|C5DS48|C5DS48_ZYGRC
OG0002638	P20484	tr|Q6FU28|Q6FU28_CANGA	KMXK_0D03930	tr|C5DUQ9|C5DUQ9_ZYGRC
OG0002639	O14467	sp|Q6FJN0|MBF1_CANGA	KMXK_0F02830	tr|C5DSK8|C5DSK8_ZYGRC
OG0002640	Q08777	tr|Q6FQ24|Q6FQ24_CANGA, tr|Q6FQ25|Q6FQ25_CANGA	KMXK_0B03410	
OG0002641	Q01159	sp|Q6FQ31|MCE1_CANGA	KMXK_0D05760	tr|C5E4L8|C5E4L8_ZYGRC
OG0002642	P41910	sp|Q6FIZ7|MAF1_CANGA	KMXK_0F04440	tr|C5DPN2|C5DPN2_ZYGRC
OG0002643	P38174	tr|Q6FTC2|Q6FTC2_CANGA	KMXK_0H01480	tr|C5DQY8|C5DQY8_ZYGRC
OG0002644	P39692	tr|Q6FVV5|Q6FVV5_CANGA	KMXK_0E04730	tr|C5DWK7|C5DWK7_ZYGRC
OG0002645	P41821	tr|Q6FJU2|Q6FJU2_CANGA	KMXK_0H03920	tr|C5DSQ2|C5DSQ2_ZYGRC
OG0002646	P36060	sp|Q6FUX5|MCR1_CANGA	KMXK_0B04790	tr|C5DTR9|C5DTR9_ZYGRC
OG0002647	P41948	tr|Q6FP76|Q6FP76_CANGA	KMXK_0B07790	tr|C5DZK9|C5DZK9_ZYGRC
OG0002648	P38300	tr|Q6FJG9|Q6FJG9_CANGA	KMXK_0A00620	tr|C5DP16|C5DP16_ZYGRC
OG0002649	P32585	sp|Q6FSU0|MED18_CANGA	KMXK_0E04470	tr|C5DU08|C5DU08_ZYGRC
OG0002650	P32259	sp|Q6FP10|MED16_CANGA	KMXK_0E06220	tr|C5DYT2|C5DYT2_ZYGRC
OG0002651	P34162	sp|Q6FVZ8|MED20_CANGA	KMXK_0C04110	tr|C5E0Y8|C5E0Y8_ZYGRC
OG0002652	P53114	sp|Q6FV36|MED5_CANGA	KMXK_0G01110	tr|C5DPE0|C5DPE0_ZYGRC
OG0002653	Q02205	tr|Q6FLM8|Q6FLM8_CANGA	KMXK_0C06200	tr|C5DQN0|C5DQN0_ZYGRC
OG0002654	Q06164	tr|Q6FXX2|Q6FXX2_CANGA	KMXK_0D00480	tr|C5E096|C5E096_ZYGRC
OG0002655	P57743	tr|B4UN56|B4UN56_CANGA	KMXK_0E01820	tr|C5DS59|C5DS59_ZYGRC
OG0002656	P23060	tr|Q6FKX4|Q6FKX4_CANGA	KMXK_0A02860	tr|C5E483|C5E483_ZYGRC
OG0002657	P22134	tr|Q6FQE8|Q6FQE8_CANGA	KMXK_0B00440	tr|C5DZS8|C5DZS8_ZYGRC
OG0002658	P40070	tr|Q6FTD0|Q6FTD0_CANGA	KMXK_0G03860	tr|C5DQX5|C5DQX5_ZYGRC
OG0002659	P40971	tr|Q6FM11|Q6FM11_CANGA	KMXK_0F00150	tr|C5DPF9|C5DPF9_ZYGRC
OG0002660	Q01662	tr|Q6FSS2|Q6FSS2_CANGA	KMXK_0E05620	tr|C5DSZ4|C5DSZ4_ZYGRC
OG0002661	P36775	sp|Q6FPE6|LONM_CANGA	KMXK_0B00460	tr|C5E015|C5E015_ZYGRC
OG0002662	P47051	tr|Q6FPC8|Q6FPC8_CANGA	KMXK_0E01040	tr|C5DRJ5|C5DRJ5_ZYGRC
OG0002663	P40089	tr|Q6FQF2|Q6FQF2_CANGA	KMXK_0B00370	tr|C5E0Q2|C5E0Q2_ZYGRC
OG0002664	P47017	tr|Q6FL78|Q6FL78_CANGA	KMXK_0F05520	tr|C5DV30|C5DV30_ZYGRC
OG0002665	P40513	tr|Q6FIP8|Q6FIP8_CANGA	KMXK_0D04300	tr|C5DTI1|C5DTI1_ZYGRC
OG0002666	Q06406	sp|Q6FYB6|LSM6_CANGA	KMXK_0B06150	tr|C5E1V6|C5E1V6_ZYGRC
OG0002667	P33308	sp|Q6FQJ5|MED9_CANGA	KMXK_0F01050	tr|C5DT46|C5DT46_ZYGRC
OG0002668	P32389	tr|Q6FSZ3|Q6FSZ3_CANGA	KMXK_0G02440	tr|C5DRM4|C5DRM4_ZYGRC
OG0002669	P18408	tr|Q6FQ76|Q6FQ76_CANGA	KMXK_0H02710	tr|C5DUU1|C5DUU1_ZYGRC
OG0002670	Q03735	tr|Q6FXF4|Q6FXF4_CANGA	KMXK_0G00570	tr|C5E0N5|C5E0N5_ZYGRC
OG0002671	P38795	tr|Q6FNL5|Q6FNL5_CANGA	KMXK_0E03510	tr|C5DVZ9|C5DVZ9_ZYGRC
OG0002672	P27929	tr|Q6FMA1|Q6FMA1_CANGA	KMXK_0A02660	tr|C5DZN7|C5DZN7_ZYGRC
OG0002673	Q12374	tr|Q6FUB2|Q6FUB2_CANGA	KMXK_0B05580	tr|C5DVV3|C5DVV3_ZYGRC
