Orthogroup	A_s288c	K.marxianus	L.fermentati	Z.rouxii
OG0002568	Q03153	KMXK_0C05670	tr|A0A1G4MKW9|A0A1G4MKW9_LACFM	sp|C5DZB2|ATP25_ZYGRC
OG0002569	P21306	KMXK_0G00300	tr|A0A1G4MC48|A0A1G4MC48_LACFM	tr|C5DWX6|C5DWX6_ZYGRC
OG0002570	Q06703	KMXK_0C03110	tr|A0A1G4MKI3|A0A1G4MKI3_LACFM	tr|C5DQI2|C5DQI2_ZYGRC
OG0002571	P09798	KMXK_0D03910	tr|A0A1G4MAN7|A0A1G4MAN7_LACFM	tr|C5DUQ7|C5DUQ7_ZYGRC
OG0002572	P34243	KMXK_0F04180	tr|A0A1G4MAX9|A0A1G4MAX9_LACFM	tr|C5DUR6|C5DUR6_ZYGRC
OG0002573	P18411	KMXK_0B03600	tr|A0A1G4MC40|A0A1G4MC40_LACFM	tr|C5E1T9|C5E1T9_ZYGRC
OG0002574	P38783	KMXK_0C04380	tr|A0A1G4M8K2|A0A1G4M8K2_LACFM	tr|C5DU52|C5DU52_ZYGRC
OG0002575	Q08271	KMXK_0D04210	tr|A0A1G4MIY8|A0A1G4MIY8_LACFM	tr|C5DST8|C5DST8_ZYGRC
OG0002576	P06174	KMXK_0A05470	tr|A0A1G4MDG3|A0A1G4MDG3_LACFM	tr|C5DPU3|C5DPU3_ZYGRC
OG0002577	P22023	KMXK_0E01120	tr|A0A1G4MC84|A0A1G4MC84_LACFM	tr|C5DV72|C5DV72_ZYGRC
OG0002578	P33399	KMXK_0F01140	tr|A0A1G4MDC7|A0A1G4MDC7_LACFM	tr|C5DRC5|C5DRC5_ZYGRC
OG0002579	P08638	KMXK_0F01220	tr|A0A1G4MIM7|A0A1G4MIM7_LACFM	tr|C5DUV2|C5DUV2_ZYGRC
OG0002580	Q02796	KMXK_0C03500	tr|A0A1G4MIC5|A0A1G4MIC5_LACFM	tr|C5DXY4|C5DXY4_ZYGRC
OG0002581	P32875	KMXK_0E00360	tr|A0A1G4MHW4|A0A1G4MHW4_LACFM	sp|C5DY71|LIPA_ZYGRC
OG0002582	P43586	KMXK_0H04440	tr|A0A1G4M897|A0A1G4M897_LACFM	tr|C5DXE6|C5DXE6_ZYGRC
OG0002583	Q04396	KMXK_0A07740	tr|A0A1G4MGW3|A0A1G4MGW3_LACFM	tr|C5DZ09|C5DZ09_ZYGRC
OG0002584	Q04005	KMXK_0E05570	tr|A0A1G4MJR7|A0A1G4MJR7_LACFM	tr|C5DSY9|C5DSY9_ZYGRC
OG0002585	P38162	KMXK_0H01270	tr|A0A1G4M8J4|A0A1G4M8J4_LACFM	tr|C5DYI7|C5DYI7_ZYGRC
OG0002586	Q10740	KMXK_0G01580	tr|A0A1G4MDH2|A0A1G4MDH2_LACFM	tr|C5DUZ2|C5DUZ2_ZYGRC
OG0002587	Q06508	KMXK_0H02850	tr|A0A1G4MEL2|A0A1G4MEL2_LACFM	tr|C5DQZ7|C5DQZ7_ZYGRC
OG0002588	P43560	KMXK_0H00400	tr|A0A1G4M7J1|A0A1G4M7J1_LACFM	tr|C5DX62|C5DX62_ZYGRC
OG0002589	P36146	KMXK_0A05010	tr|A0A1G4MHF2|A0A1G4MHF2_LACFM	tr|C5DUX3|C5DUX3_ZYGRC
OG0002590	Q04377	KMXK_0A07680	tr|A0A1G4MGN7|A0A1G4MGN7_LACFM	tr|C5DZ03|C5DZ03_ZYGRC
OG0002591	Q12502	KMXK_0E01300	tr|A0A1G4MBZ7|A0A1G4MBZ7_LACFM	tr|C5DVA9|C5DVA9_ZYGRC
OG0002592	P07264	KMXK_0E01590	tr|A0A1G4MB39|A0A1G4MB39_LACFM	tr|C5E063|C5E063_ZYGRC
OG0002593	P50087	KMXK_0F05300	tr|A0A1G4MAK6|A0A1G4MAK6_LACFM	tr|C5DS96|C5DS96_ZYGRC
OG0002594	Q03579	KMXK_0A03410	tr|A0A1G4MED5|A0A1G4MED5_LACFM	tr|C5DVJ6|C5DVJ6_ZYGRC
OG0002595	P40079	KMXK_0H04130	tr|A0A1G4MAZ7|A0A1G4MAZ7_LACFM	tr|C5E190|C5E190_ZYGRC
OG0002596	P38210	KMXK_0E01630	tr|A0A1G4MAW2|A0A1G4MAW2_LACFM	tr|C5E067|C5E067_ZYGRC
OG0002597	Q02799	KMXK_0C03480	tr|A0A1G4MIK6|A0A1G4MIK6_LACFM	tr|C5DXY2|C5DXY2_ZYGRC
OG0002598	P42838	KMXK_0B06340	tr|A0A1G4MJ86|A0A1G4MJ86_LACFM	tr|C5DSV6|C5DSV6_ZYGRC
OG0002599	P04173	KMXK_0B04960	tr|A0A1G4MFQ2|A0A1G4MFQ2_LACFM	sp|Q96WI0|LEU3_ZYGRC
OG0002600	Q96VH5	KMXK_0A08250	tr|A0A1G4MGJ1|A0A1G4MGJ1_LACFM	tr|C5DZ59|C5DZ59_ZYGRC
OG0002601	P43594	KMXK_0A03110	tr|A0A1G4MFV4|A0A1G4MFV4_LACFM	tr|C5E1T2|C5E1T2_ZYGRC
OG0002602	P50107	KMXK_0F01010	tr|A0A1G4M928|A0A1G4M928_LACFM	tr|C5DVS6|C5DVS6_ZYGRC
OG0002603	Q06005	KMXK_0E05770	tr|A0A1G4MJP3|A0A1G4MJP3_LACFM	tr|C5DT09|C5DT09_ZYGRC
OG0002604	P39946	KMXK_0D04400	tr|A0A1G4MD50|A0A1G4MD50_LACFM	sp|C5DY07|LIS1_ZYGRC
OG0002605	Q07684	KMXK_0E05970	tr|A0A1G4MJB0|A0A1G4MJB0_LACFM	tr|C5DTR3|C5DTR3_ZYGRC
OG0002606	P53153	KMXK_0F02120	tr|A0A1G4M9V5|A0A1G4M9V5_LACFM	sp|C5DZY8|LCL3_ZYGRC
OG0002607	Q12342	KMXK_0H02330	tr|A0A1G4M7M9|A0A1G4M7M9_LACFM	tr|C5DY90|C5DY90_ZYGRC
OG0002608	P38341	KMXK_0E00970	tr|A0A1G4MFH8|A0A1G4MFH8_LACFM	sp|C5DRK2|MIC12_ZYGRC
OG0002609	P36112	KMXK_0A02320	tr|A0A1G4MKR5|A0A1G4MKR5_LACFM	tr|C5E1J1|C5E1J1_ZYGRC
OG0002610	P38873	KMXK_0A03630	tr|A0A1G4ME17|A0A1G4ME17_LACFM	tr|C5DVL9|C5DVL9_ZYGRC
OG0002611	P53158	KMXK_0F01990	tr|A0A1G4M9C8|A0A1G4M9C8_LACFM	sp|C5E000|KXD1_ZYGRC
OG0002612	P36046	KMXK_0A02160	tr|A0A1G4M6G0|A0A1G4M6G0_LACFM	tr|C5DS42|C5DS42_ZYGRC
OG0002613	Q08045	KMXK_0D01940	tr|A0A1G4MKE6|A0A1G4MKE6_LACFM	sp|C5DVG0|LCL2_ZYGRC
OG0002614	P39518	KMXK_0H03120	tr|A0A1G4MEW0|A0A1G4MEW0_LACFM	tr|C5DWJ0|C5DWJ0_ZYGRC
OG0002615	P40970	KMXK_0A02400	tr|A0A1G4MKB9|A0A1G4MKB9_LACFM	tr|C5E025|C5E025_ZYGRC
OG0002616	Q04081	KMXK_0D06280	tr|A0A1G4MFY4|A0A1G4MFY4_LACFM	tr|C5DW96|C5DW96_ZYGRC
OG0002617	Q01846	KMXK_0A02490	tr|A0A1G4MHJ6|A0A1G4MHJ6_LACFM	tr|C5E0L6|C5E0L6_ZYGRC
OG0002618	P35191	KMXK_0B07830	tr|A0A1G4M830|A0A1G4M830_LACFM	tr|C5DXB3|C5DXB3_ZYGRC
OG0002619	P18409	KMXK_0B03630	tr|A0A1G4MBU5|A0A1G4MBU5_LACFM	sp|C5E1U4|MDM10_ZYGRC
OG0002620	P53083	KMXK_0C06770	tr|A0A1G4MGR3|A0A1G4MGR3_LACFM	sp|C5E4T8|MDM34_ZYGRC
OG0002621	O60200	KMXK_0G02690	tr|A0A1G4MFE9|A0A1G4MFE9_LACFM	tr|C5E4K1|C5E4K1_ZYGRC
OG0002622	Q06820	KMXK_0B07230	tr|A0A1G4MBR1|A0A1G4MBR1_LACFM	tr|C5DUI2|C5DUI2_ZYGRC
OG0002623	P29467	KMXK_0B05390	tr|A0A1G4M7W3|A0A1G4M7W3_LACFM	tr|C5DWN2|C5DWN2_ZYGRC
OG0002624	P15807	KMXK_0A06150	tr|A0A1G4M9P4|A0A1G4M9P4_LACFM	tr|C5DT33|C5DT33_ZYGRC
OG0002625	P39014	KMXK_0D03610	tr|A0A1G4M7T7|A0A1G4M7T7_LACFM	tr|C5DWQ5|C5DWQ5_ZYGRC
OG0002626	Q02455	KMXK_0C07200	tr|A0A1G4MEF0|A0A1G4MEF0_LACFM	tr|C5DZR5|C5DZR5_ZYGRC
OG0002627	P41800	KMXK_0C02310	tr|A0A1G4M722|A0A1G4M722_LACFM	sp|C5DRQ1|MMM1_ZYGRC
OG0002628	P40577	KMXK_0F04210	tr|A0A1G4MAJ4|A0A1G4MAJ4_LACFM	tr|C5DUR3|C5DUR3_ZYGRC
OG0002629	Q06436	KMXK_0A02220	tr|A0A1G4M6I3|A0A1G4M6I3_LACFM	tr|C5DS48|C5DS48_ZYGRC
OG0002630	P20484	KMXK_0D03930	tr|A0A1G4MAV0|A0A1G4MAV0_LACFM	tr|C5DUQ9|C5DUQ9_ZYGRC
OG0002631	O14467	KMXK_0F02830	tr|A0A1G4MBL6|A0A1G4MBL6_LACFM	tr|C5DSK8|C5DSK8_ZYGRC
OG0002632	Q01159	KMXK_0D05760	tr|A0A1G4M9A5|A0A1G4M9A5_LACFM	tr|C5E4L8|C5E4L8_ZYGRC
OG0002633	P41910	KMXK_0F04440	tr|A0A1G4M9X7|A0A1G4M9X7_LACFM	tr|C5DPN2|C5DPN2_ZYGRC
OG0002634	P38174	KMXK_0H01480	tr|A0A1G4M8L9|A0A1G4M8L9_LACFM	tr|C5DQY8|C5DQY8_ZYGRC
OG0002635	P39692	KMXK_0E04730	tr|A0A1G4MB87|A0A1G4MB87_LACFM	tr|C5DWK7|C5DWK7_ZYGRC
OG0002636	P41821	KMXK_0H03920	tr|A0A1G4ML68|A0A1G4ML68_LACFM	tr|C5DSQ2|C5DSQ2_ZYGRC
OG0002637	P36060	KMXK_0B04790	tr|A0A1G4M6R9|A0A1G4M6R9_LACFM	tr|C5DTR9|C5DTR9_ZYGRC
OG0002638	P41948	KMXK_0B07790	tr|A0A1G4MJG1|A0A1G4MJG1_LACFM	tr|C5DZK9|C5DZK9_ZYGRC
OG0002639	P38300	KMXK_0A00620	tr|A0A1G4MI90|A0A1G4MI90_LACFM	tr|C5DP16|C5DP16_ZYGRC
OG0002640	P32585	KMXK_0E04470	tr|A0A1G4MB63|A0A1G4MB63_LACFM	tr|C5DU08|C5DU08_ZYGRC
OG0002641	P32259	KMXK_0E06220	tr|A0A1G4MJE6|A0A1G4MJE6_LACFM	tr|C5DYT2|C5DYT2_ZYGRC
OG0002642	P34162	KMXK_0C04110	tr|A0A1G4MFJ9|A0A1G4MFJ9_LACFM	tr|C5E0Y8|C5E0Y8_ZYGRC
OG0002643	P53114	KMXK_0G01110	tr|A0A1G4MDC0|A0A1G4MDC0_LACFM	tr|C5DPE0|C5DPE0_ZYGRC
OG0002644	Q02205	KMXK_0C06200	tr|A0A1G4MKQ7|A0A1G4MKQ7_LACFM	tr|C5DQN0|C5DQN0_ZYGRC
OG0002645	P16523	KMXK_0E05890	tr|A0A1G4MJ93|A0A1G4MJ93_LACFM	tr|C5DTQ6|C5DTQ6_ZYGRC
OG0002646	Q06164	KMXK_0D00480	tr|A0A1G4MAQ9|A0A1G4MAQ9_LACFM	tr|C5E096|C5E096_ZYGRC
OG0002647	P57743	KMXK_0E01820	tr|A0A1G4M6D1|A0A1G4M6D1_LACFM	tr|C5DS59|C5DS59_ZYGRC
OG0002648	P23060	KMXK_0A02860	tr|A0A1G4MFY3|A0A1G4MFY3_LACFM	tr|C5E483|C5E483_ZYGRC
OG0002649	P22134	KMXK_0B00440	tr|A0A1G4MKE0|A0A1G4MKE0_LACFM	tr|C5DZS8|C5DZS8_ZYGRC
OG0002650	P40070	KMXK_0G03860	tr|A0A1G4M8B9|A0A1G4M8B9_LACFM	tr|C5DQX5|C5DQX5_ZYGRC
OG0002651	P40971	KMXK_0F00150	tr|A0A1G4MCL9|A0A1G4MCL9_LACFM	tr|C5DPF9|C5DPF9_ZYGRC
OG0002652	Q01662	KMXK_0E05620	tr|A0A1G4MK57|A0A1G4MK57_LACFM	tr|C5DSZ4|C5DSZ4_ZYGRC
OG0002653	P36775	KMXK_0B00460	tr|A0A1G4MKG2|A0A1G4MKG2_LACFM	tr|C5E015|C5E015_ZYGRC
OG0002654	P47051	KMXK_0E01040	tr|A0A1G4MFC3|A0A1G4MFC3_LACFM	tr|C5DRJ5|C5DRJ5_ZYGRC
OG0002655	P40089	KMXK_0B00370	tr|A0A1G4MKE3|A0A1G4MKE3_LACFM	tr|C5E0Q2|C5E0Q2_ZYGRC
OG0002656	P47017	KMXK_0F05520	tr|A0A1G4MHL9|A0A1G4MHL9_LACFM	tr|C5DV30|C5DV30_ZYGRC
OG0002657	P40513	KMXK_0D04300	tr|A0A1G4M7Q7|A0A1G4M7Q7_LACFM	tr|C5DTI1|C5DTI1_ZYGRC
OG0002658	Q06406	KMXK_0B06150	tr|A0A1G4MEZ4|A0A1G4MEZ4_LACFM	tr|C5E1V6|C5E1V6_ZYGRC
OG0002659	P33308	KMXK_0F01050	tr|A0A1G4M962|A0A1G4M962_LACFM	tr|C5DT46|C5DT46_ZYGRC
OG0002660	P32389	KMXK_0G02440	tr|A0A1G4MET7|A0A1G4MET7_LACFM	tr|C5DRM4|C5DRM4_ZYGRC
OG0002661	P47164	KMXK_0D05350	tr|A0A1G4M6A3|A0A1G4M6A3_LACFM	tr|C5DRG8|C5DRG8_ZYGRC
OG0002662	P18408	KMXK_0H02710	tr|A0A1G4MIR3|A0A1G4MIR3_LACFM	tr|C5DUU1|C5DUU1_ZYGRC
OG0002663	Q03735	KMXK_0G00570	tr|A0A1G4MH92|A0A1G4MH92_LACFM	tr|C5E0N5|C5E0N5_ZYGRC
OG0002664	P38795	KMXK_0E03510	tr|A0A1G4M707|A0A1G4M707_LACFM	tr|C5DVZ9|C5DVZ9_ZYGRC
OG0002665	P27929	KMXK_0A02660	tr|A0A1G4MI78|A0A1G4MI78_LACFM	tr|C5DZN7|C5DZN7_ZYGRC
OG0002666	Q12374	KMXK_0B05580	tr|A0A1G4MG62|A0A1G4MG62_LACFM	tr|C5DVV3|C5DVV3_ZYGRC
OG0002667	P25625	KMXK_0A07590	tr|A0A1G4MGU9|A0A1G4MGU9_LACFM	tr|C5DYZ4|C5DYZ4_ZYGRC
OG0002668	P40096	KMXK_0F03710	tr|A0A1G4MKE2|A0A1G4MKE2_LACFM	tr|C5DRU6|C5DRU6_ZYGRC
OG0002669	Q02783	KMXK_0D03840	tr|A0A1G4MI35|A0A1G4MI35_LACFM	tr|C5DXZ5|C5DXZ5_ZYGRC
OG0002670	P34234	KMXK_0D05530	tr|A0A1G4MD94|A0A1G4MD94_LACFM	tr|C5DS18|C5DS18_ZYGRC
OG0002671	P38139	KMXK_0A00980	tr|A0A1G4MIK0|A0A1G4MIK0_LACFM	tr|C5DXZ7|C5DXZ7_ZYGRC
OG0002672	P38702	KMXK_0F02340	tr|A0A1G4MKR1|A0A1G4MKR1_LACFM	tr|C5DQN9|C5DQN9_ZYGRC
OG0002673	P50945	KMXK_0G02400	tr|A0A1G4MF62|A0A1G4MF62_LACFM	sp|C5DRL9|MIC27_ZYGRC
OG0002674	P36016	KMXK_0F03790	tr|A0A1G4MJI5|A0A1G4MJI5_LACFM	tr|C5E3Z5|C5E3Z5_ZYGRC
OG0002675	P38852	KMXK_0A07350	tr|A0A1G4MH04|A0A1G4MH04_LACFM	tr|C5DYW8|C5DYW8_ZYGRC
OG0002676	Q03667	KMXK_0A05920	tr|A0A1G4MC92|A0A1G4MC92_LACFM	tr|C5DTC7|C5DTC7_ZYGRC
OG0002677	P53919	KMXK_0F03200	tr|A0A1G4MEQ7|A0A1G4MEQ7_LACFM	tr|C5DZQ6|C5DZQ6_ZYGRC
OG0002678	Q06504	KMXK_0H02990	tr|A0A1G4MEU5|A0A1G4MEU5_LACFM	tr|C5DR10|C5DR10_ZYGRC
OG0002679	Q08920	KMXK_0C03230	tr|A0A1G4M9S2|A0A1G4M9S2_LACFM	tr|C5E1C3|C5E1C3_ZYGRC
OG0002680	P34160	KMXK_0D00900	tr|A0A1G4MA39|A0A1G4MA39_LACFM	tr|C5DQ64|C5DQ64_ZYGRC
OG0002681	P16603	KMXK_0B07400	tr|A0A1G4M6V9|A0A1G4M6V9_LACFM	tr|C5E0Y1|C5E0Y1_ZYGRC
OG0002682	P40360	KMXK_0B08320	tr|A0A1G4MKN6|A0A1G4MKN6_LACFM	tr|C5E1I0|C5E1I0_ZYGRC
OG0002683	P25293	KMXK_0F05570	tr|A0A1G4MH43|A0A1G4MH43_LACFM	tr|C5DV35|C5DV35_ZYGRC
OG0002684	P53914	KMXK_0F03100	tr|A0A1G4MEX0|A0A1G4MEX0_LACFM	tr|C5DZP6|C5DZP6_ZYGRC
OG0002685	Q12163	KMXK_0E05130	tr|A0A1G4MJW6|A0A1G4MJW6_LACFM	tr|C5DYL0|C5DYL0_ZYGRC
OG0002686	Q12366	KMXK_0G02860	tr|A0A1G4MCS2|A0A1G4MCS2_LACFM	tr|C5DRA1|C5DRA1_ZYGRC
OG0002687	Q02197	KMXK_0C06620	tr|A0A1G4MG37|A0A1G4MG37_LACFM	tr|C5DW70|C5DW70_ZYGRC
OG0002688	P38879	KMXK_0D05310	tr|A0A1G4M6N2|A0A1G4M6N2_LACFM	tr|C5DRH2|C5DRH2_ZYGRC
OG0002689	P12945	KMXK_0B03450	tr|A0A1G4MCU4|A0A1G4MCU4_LACFM	tr|C5DR29|C5DR29_ZYGRC
OG0002690	P37293	KMXK_0B00680	tr|A0A1G4MKJ5|A0A1G4MKJ5_LACFM	tr|C5E038|C5E038_ZYGRC
OG0002691	Q12144	KMXK_0H00520	tr|A0A1G4M7A4|A0A1G4M7A4_LACFM	tr|C5DX77|C5DX77_ZYGRC
OG0002692	P38626	KMXK_0D03670	tr|A0A1G4M7V0|A0A1G4M7V0_LACFM	tr|C5DWP9|C5DWP9_ZYGRC
OG0002693	P30771	KMXK_0E02230	tr|A0A1G4MFB2|A0A1G4MFB2_LACFM	tr|C5DZE5|C5DZE5_ZYGRC
OG0002694	Q00539	KMXK_0C01930	tr|A0A1G4MBG7|A0A1G4MBG7_LACFM	tr|C5DPX9|C5DPX9_ZYGRC
OG0002695	Q08689	KMXK_0C04530	tr|A0A1G4MHU4|A0A1G4MHU4_LACFM	tr|C5DW07|C5DW07_ZYGRC
OG0002696	Q03920	KMXK_0D01100	tr|A0A1G4MKC9|A0A1G4MKC9_LACFM	tr|C5DVE1|C5DVE1_ZYGRC
OG0002697	Q12093	KMXK_0F02970	tr|A0A1G4MCS4|A0A1G4MCS4_LACFM	tr|C5DR24|C5DR24_ZYGRC
OG0002698	P53238	KMXK_0E02910	tr|A0A1G4MDA6|A0A1G4MDA6_LACFM	tr|C5DRE5|C5DRE5_ZYGRC
OG0002699	P38880	KMXK_0D05300	tr|A0A1G4M698|A0A1G4M698_LACFM	tr|C5DRH3|C5DRH3_ZYGRC
OG0002700	P32569	KMXK_0F01310	tr|A0A1G4MIV0|A0A1G4MIV0_LACFM	tr|C5DUW1|C5DUW1_ZYGRC
OG0002701	Q06580	KMXK_0D04990	tr|A0A1G4ML57|A0A1G4ML57_LACFM	tr|C5DUR9|C5DUR9_ZYGRC
OG0002702	P40484	KMXK_0G01610	tr|A0A1G4MDR6|A0A1G4MDR6_LACFM	tr|C5DUY9|C5DUY9_ZYGRC
OG0002703	P07884	KMXK_0D04480	tr|A0A1G4MDE4|A0A1G4MDE4_LACFM	tr|C5DY14|C5DY14_ZYGRC
OG0002704	P47025	KMXK_0D02580	tr|A0A1G4M8Y2|A0A1G4M8Y2_LACFM	tr|C5DV47|C5DV47_ZYGRC
OG0002705	P40356	KMXK_0B00560	tr|A0A1G4MBB3|A0A1G4MBB3_LACFM	tr|C5E049|C5E049_ZYGRC
OG0002706	P08536	KMXK_0G00710	tr|A0A1G4M6Z8|A0A1G4M6Z8_LACFM	tr|C5E0E3|C5E0E3_ZYGRC
OG0002707	P47169	KMXK_0D05180	tr|A0A1G4M6B2|A0A1G4M6B2_LACFM	tr|C5DRI3|C5DRI3_ZYGRC
OG0002708	P08465	KMXK_0A07630	tr|A0A1G4MGL9|A0A1G4MGL9_LACFM	tr|C5DYZ8|C5DYZ8_ZYGRC
OG0002709	Q03218	KMXK_0H02290	tr|A0A1G4M985|A0A1G4M985_LACFM	tr|C5E4N7|C5E4N7_ZYGRC
OG0002710	Q12205	KMXK_0B03210	tr|A0A1G4M8D8|A0A1G4M8D8_LACFM	tr|C5DX91|C5DX91_ZYGRC
OG0002711	Q99257	KMXK_0C04550	tr|A0A1G4MHG2|A0A1G4MHG2_LACFM	tr|C5DW09|C5DW09_ZYGRC
OG0002712	P53152	KMXK_0F02140	tr|A0A1G4M9G3|A0A1G4M9G3_LACFM	tr|C5DZY6|C5DZY6_ZYGRC
OG0002713	P32419	KMXK_0D00690	tr|A0A1G4MAC3|A0A1G4MAC3_LACFM	tr|C5DQ42|C5DQ42_ZYGRC
OG0002714	P40573	KMXK_0H03250	tr|A0A1G4MHV2|A0A1G4MHV2_LACFM	tr|C5DZF9|C5DZF9_ZYGRC
OG0002715	P34072	KMXK_0D03980	tr|A0A1G4MDM8|A0A1G4MDM8_LACFM	tr|C5DU96|C5DU96_ZYGRC
OG0002716	P38257	KMXK_0B00920	tr|A0A1G4MBI4|A0A1G4MBI4_LACFM	tr|C5DUD7|C5DUD7_ZYGRC
OG0002717	P38191	KMXK_0H01000	tr|A0A1G4MJ17|A0A1G4MJ17_LACFM	tr|C5E150|C5E150_ZYGRC
OG0002718	P48563	KMXK_0A04430	tr|A0A1G4ML09|A0A1G4ML09_LACFM	tr|C5DSQ9|C5DSQ9_ZYGRC
OG0002719	P53583	KMXK_0A07210	tr|A0A1G4MGT9|A0A1G4MGT9_LACFM	tr|C5DYV3|C5DYV3_ZYGRC
OG0002720	P39016	KMXK_0H04110	tr|A0A1G4MAY1|A0A1G4MAY1_LACFM	tr|C5E188|C5E188_ZYGRC
OG0002721	Q05930	KMXK_0E02780	tr|A0A1G4MD29|A0A1G4MD29_LACFM	tr|C5DRD3|C5DRD3_ZYGRC
OG0002722	Q06213	KMXK_0H02720	tr|A0A1G4MIR1|A0A1G4MIR1_LACFM	tr|C5DUU0|C5DUU0_ZYGRC
OG0002723	Q12171	KMXK_0A05770	tr|A0A1G4MGM2|A0A1G4MGM2_LACFM	tr|C5DW29|C5DW29_ZYGRC
OG0002724	P19263	KMXK_0H00410	tr|A0A1G4M793|A0A1G4M793_LACFM	tr|C5DX63|C5DX63_ZYGRC
OG0002725	Q99278	KMXK_0C01160	tr|A0A1G4MA03|A0A1G4MA03_LACFM	tr|C5E1D2|C5E1D2_ZYGRC
OG0002726	P25046	KMXK_0H01450	tr|A0A1G4M8S6|A0A1G4M8S6_LACFM	tr|C5E430|C5E430_ZYGRC
OG0002727	Q02574	KMXK_0A06370	tr|A0A1G4MA16|A0A1G4MA16_LACFM	tr|C5DWG6|C5DWG6_ZYGRC
OG0002728	Q12343	KMXK_0D02080	tr|A0A1G4MA76|A0A1G4MA76_LACFM	tr|C5DWE6|C5DWE6_ZYGRC
OG0002729	P24719	KMXK_0F03490	tr|A0A1G4MC36|A0A1G4MC36_LACFM	tr|C5DV87|C5DV87_ZYGRC
OG0002730	P38304	KMXK_0A00720	tr|A0A1G4MI70|A0A1G4MI70_LACFM	tr|C5DP05|C5DP05_ZYGRC
OG0002731	Q08176	KMXK_0H03220	tr|A0A1G4MHV4|A0A1G4MHV4_LACFM	tr|C5DZG2|C5DZG2_ZYGRC
OG0002732	P53141	KMXK_0B02550	tr|A0A1G4M9N1|A0A1G4M9N1_LACFM	tr|C5E1J8|C5E1J8_ZYGRC
OG0002733	P40850	KMXK_0G02130	tr|A0A1G4ME47|A0A1G4ME47_LACFM	tr|C5DUB1|C5DUB1_ZYGRC
OG0002734	P53102	KMXK_0C03160	tr|A0A1G4MB73|A0A1G4MB73_LACFM	tr|C5E195|C5E195_ZYGRC
OG0002735	P38888	KMXK_0D05040	tr|A0A1G4M688|A0A1G4M688_LACFM	tr|C5E1Q7|C5E1Q7_ZYGRC
OG0002736	P23748	KMXK_0D03380	tr|A0A1G4MEX8|A0A1G4MEX8_LACFM	tr|C5DWZ9|C5DWZ9_ZYGRC
OG0002737	P42834	KMXK_0B06400	tr|A0A1G4MIY2|A0A1G4MIY2_LACFM	tr|C5DSW2|C5DSW2_ZYGRC
OG0002738	Q08278	KMXK_0H01580	tr|A0A1G4MIW8|A0A1G4MIW8_LACFM	tr|C5DSU5|C5DSU5_ZYGRC
OG0002739	P38782	KMXK_0C04370	tr|A0A1G4MFM2|A0A1G4MFM2_LACFM	tr|C5DU51|C5DU51_ZYGRC
OG0002740	P32489	KMXK_0E00500	tr|A0A1G4MHU7|A0A1G4MHU7_LACFM	tr|C5DY84|C5DY84_ZYGRC
OG0002741	P32179	KMXK_0F02960	tr|A0A1G4MCI8|A0A1G4MCI8_LACFM	tr|C5DR25|C5DR25_ZYGRC
OG0002742	Q12041	KMXK_0F01820	tr|A0A1G4MI04|A0A1G4MI04_LACFM	tr|C5DXV8|C5DXV8_ZYGRC
OG0002743	P32906	KMXK_0D05340	tr|A0A1G4M6B6|A0A1G4M6B6_LACFM	tr|C5DRG9|C5DRG9_ZYGRC
OG0002744	P32783	KMXK_0B02510	tr|A0A1G4M9V6|A0A1G4M9V6_LACFM	tr|C5E0R3|C5E0R3_ZYGRC
OG0002745	P36032	KMXK_0A05680, KMXK_0C03050	tr|A0A1G4MG99|A0A1G4MG99_LACFM	
OG0002746	P29496	KMXK_0B07190	tr|A0A1G4MA79|A0A1G4MA79_LACFM	tr|C5DWF1|C5DWF1_ZYGRC
OG0002747	P38132	KMXK_0A00910	tr|A0A1G4MI93|A0A1G4MI93_LACFM	tr|C5DY05|C5DY05_ZYGRC
OG0002748	P17505	KMXK_0F04010	tr|A0A1G4MAS0|A0A1G4MAS0_LACFM	tr|C5E3W9|C5E3W9_ZYGRC
OG0002749	Q92328	KMXK_0A05950	tr|A0A1G4MCL6|A0A1G4MCL6_LACFM	sp|C5DTC4|MDM12_ZYGRC
OG0002750	P19659	KMXK_0B03840	tr|A0A1G4MC86|A0A1G4MC86_LACFM	tr|C5DVB5|C5DVB5_ZYGRC
OG0002751	Q12124	KMXK_0C01880	tr|A0A1G4M9X5|A0A1G4M9X5_LACFM	tr|C5DPL2|C5DPL2_ZYGRC
OG0002752	P40469	KMXK_0F00300	tr|A0A1G4ME18|A0A1G4ME18_LACFM	tr|C5DP86|C5DP86_ZYGRC
OG0002753	Q08601	KMXK_0E00400	tr|A0A1G4MHV6|A0A1G4MHV6_LACFM	tr|C5DY73|C5DY73_ZYGRC
OG0002754	P36051	KMXK_0E02530	tr|A0A1G4MH98|A0A1G4MH98_LACFM	tr|C5E165|C5E165_ZYGRC
OG0002755	P21965	KMXK_0D04170	tr|A0A1G4MIS8|A0A1G4MIS8_LACFM	tr|C5DST1|C5DST1_ZYGRC
OG0002756	P32354	KMXK_0C07210	tr|A0A1G4MEK8|A0A1G4MEK8_LACFM	tr|C5DZR4|C5DZR4_ZYGRC
OG0002757	P29469	KMXK_0C01390	tr|A0A1G4MKE4|A0A1G4MKE4_LACFM	tr|C5E018|C5E018_ZYGRC
